period,variant,session,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,server_00_07,35,13,22,37.14,-130.71,0.884,-3.73,-0.067,363.52,3.57,6,-318.23,200.72,-331.43,-150.45,19.74,68.57,51.43,2.8,4.2,0.1534,0.4344,53.95,2.646,0.229,0.69
2024,current_thirdwave_current_sl_1_5R,server_08_15,82,38,44,46.34,785.49,1.352,9.58,0.189,486.38,4.45,8,-407.73,36.2,749.29,276.31,509.18,67.07,59.76,2.995,4.493,0.136,0.518,52.2,2.857,0.169,0.67
2024,current_thirdwave_current_sl_1_5R,server_16_23,61,27,34,44.26,59.47,1.033,0.97,0.1,395.86,3.89,6,-327.97,-80.28,139.75,417.02,-357.55,70.49,63.93,3.484,5.226,0.123,0.433,53.02,3.347,0.14,0.55
2024,v4_micro_or_candle_lower_tf_sl_1_2R,server_00_07,52,18,34,34.62,-594.45,0.629,-11.43,-0.244,651.57,6.52,7,-330.54,-157.62,-436.83,-355.87,-238.58,76.92,51.92,2.317,2.781,0.1432,0.485,60.95,2.417,0.211,0.68
2024,v4_micro_or_candle_lower_tf_sl_1_2R,server_08_15,101,49,52,48.51,365.65,1.148,3.62,0.086,278.81,2.7,4,-191.31,65.55,300.1,192.72,172.93,64.36,62.38,2.33,2.797,0.1395,0.5649,55.21,2.342,0.204,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,server_16_23,87,42,45,48.28,-193.55,0.915,-2.22,0.041,858.34,8.52,5,-267.48,-67.09,-126.46,113.62,-307.17,63.22,54.02,2.348,2.818,0.1316,0.4353,55.38,2.389,0.19,0.71
2024,v4_micro_or_candle_lower_tf_sl_1_3R,server_00_07,52,17,35,32.69,-618.02,0.625,-11.88,-0.253,680.42,6.8,7,-328.15,-138.53,-479.49,-424.46,-193.56,76.92,51.92,2.331,3.03,0.1434,0.4852,61.07,2.43,0.21,0.68
2024,v4_micro_or_candle_lower_tf_sl_1_3R,server_08_15,98,46,52,46.94,402.04,1.163,4.1,0.097,277.35,2.67,4,-189.85,80.51,321.53,320.24,81.8,64.29,62.24,2.325,3.023,0.1398,0.5673,55.06,2.34,0.206,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,server_16_23,88,41,47,46.59,-151.07,0.936,-1.72,0.051,831.8,8.32,5,-265.75,-2.77,-148.3,225.93,-377.0,63.64,53.41,2.342,3.045,0.131,0.4327,55.63,2.382,0.188,0.71
2024,v4_without_weak_lower_tf_sl_1_3R,server_00_07,69,23,46,33.33,-758.11,0.641,-10.99,-0.239,758.11,7.58,9,-409.98,-114.15,-643.96,-420.74,-337.37,66.67,39.13,2.249,2.923,0.145,0.446,60.11,2.302,0.213,0.65
2024,v4_without_weak_lower_tf_sl_1_3R,server_08_15,109,49,60,44.95,291.61,1.106,2.68,0.06,331.96,3.12,6,-274.58,41.67,249.94,352.35,-60.74,66.06,55.96,2.287,2.973,0.1381,0.5721,54.04,2.284,0.207,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,server_16_23,107,47,60,43.93,-445.38,0.849,-4.16,-0.011,1043.9,10.44,7,-344.71,-379.03,-66.35,221.85,-667.23,57.01,43.93,2.271,2.952,0.1343,0.421,56.34,2.283,0.198,0.61
2025,current_thirdwave_current_sl_1_5R,server_00_07,67,24,43,35.82,-360.94,0.818,-5.39,-0.106,966.55,9.35,7,-313.13,-253.03,-107.91,119.66,-480.6,77.61,58.21,3.115,4.672,0.1023,0.3988,56.35,2.99,0.101,0.41
2025,current_thirdwave_current_sl_1_5R,server_08_15,101,46,55,45.54,645.16,1.251,6.39,0.135,336.96,3.07,6,-271.87,457.5,187.66,-203.53,848.69,82.18,63.37,3.089,4.634,0.0908,0.5428,57.39,2.978,0.094,0.34
2025,current_thirdwave_current_sl_1_5R,server_16_23,101,36,65,35.64,-716.2,0.775,-7.09,-0.089,1048.21,10.42,11,-574.49,-615.29,-100.91,-466.65,-249.55,68.32,56.44,3.218,4.828,0.105,0.4517,52.19,3.089,0.115,0.8
2025,v4_micro_or_candle_lower_tf_sl_1_2R,server_00_07,86,37,49,43.02,-226.24,0.905,-2.63,-0.053,550.26,5.5,5,-245.67,-141.57,-84.67,139.21,-365.45,79.07,53.49,2.315,2.778,0.1039,0.4332,56.02,2.394,0.146,0.5
2025,v4_micro_or_candle_lower_tf_sl_1_2R,server_08_15,113,61,52,53.98,969.27,1.38,8.58,0.188,278.84,2.64,4,-193.5,-27.5,996.77,694.14,275.13,84.07,64.6,2.479,2.975,0.084,0.5509,56.47,2.449,0.119,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,server_16_23,138,65,73,47.1,100.58,1.027,0.73,0.052,664.32,6.63,7,-362.16,85.91,14.67,555.88,-455.3,60.87,50.0,2.324,2.788,0.1082,0.4289,54.28,2.242,0.185,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,server_00_07,86,36,50,41.86,-166.15,0.931,-1.93,-0.039,513.37,5.13,5,-245.67,-111.7,-54.45,113.44,-279.59,79.07,53.49,2.316,3.011,0.1039,0.4327,56.33,2.396,0.143,0.49
2025,v4_micro_or_candle_lower_tf_sl_1_3R,server_08_15,112,56,56,50.0,776.55,1.288,6.93,0.156,379.67,3.6,4,-193.5,-92.6,869.15,612.23,164.32,83.93,64.29,2.482,3.227,0.0835,0.5554,56.25,2.454,0.117,0.82
2025,v4_micro_or_candle_lower_tf_sl_1_3R,server_16_23,137,62,75,45.26,114.45,1.031,0.84,0.056,774.64,7.73,11,-553.52,-80.36,194.81,549.59,-435.14,61.31,49.64,2.31,3.003,0.1077,0.4278,54.48,2.229,0.182,0.83
2025,v4_without_weak_lower_tf_sl_1_3R,server_00_07,109,45,64,41.28,-264.97,0.914,-2.43,-0.051,455.83,4.56,7,-337.52,-79.32,-185.65,118.83,-383.8,73.39,42.2,2.302,2.993,0.1086,0.407,55.91,2.284,0.158,0.6
2025,v4_without_weak_lower_tf_sl_1_3R,server_08_15,127,61,66,48.03,564.79,1.175,4.45,0.109,383.55,3.54,6,-282.09,-423.19,987.98,605.29,-40.5,77.17,56.69,2.428,3.156,0.0922,0.5251,56.32,2.371,0.141,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,server_16_23,152,73,79,48.03,818.53,1.211,5.39,0.144,699.1,6.88,12,-595.87,-18.12,836.65,543.16,275.37,59.21,44.74,2.327,3.025,0.1066,0.4237,54.53,2.199,0.174,0.77
2026YTD,current_thirdwave_current_sl_1_5R,server_00_07,23,13,10,56.52,637.86,2.437,27.73,0.408,127.57,1.22,3,-127.57,0,637.86,129.63,508.23,100.0,52.17,3.322,4.983,0.0425,0.3512,56.67,3.212,0.03,0.11
2026YTD,current_thirdwave_current_sl_1_5R,server_08_15,37,14,23,37.84,-87.97,0.92,-2.38,-0.061,416.92,4.13,4,-191.49,-74.17,-13.8,-112.41,24.44,89.19,40.54,2.733,4.099,0.0573,0.4623,56.77,2.632,0.054,0.27
2026YTD,current_thirdwave_current_sl_1_5R,server_16_23,35,17,18,48.57,315.86,1.345,9.02,0.234,145.66,1.39,3,-161.62,83.81,232.05,86.78,229.08,82.86,28.57,2.881,4.322,0.0655,0.4547,59.95,2.766,0.072,0.44
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,server_00_07,30,14,16,46.67,128.26,1.165,4.28,0.028,222.47,2.16,3,-152.15,-50.38,178.64,-104.71,232.97,96.67,50.0,2.493,2.992,0.0471,0.3319,53.33,2.621,0.041,0.22
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,server_08_15,44,26,18,59.09,601.28,1.603,13.67,0.3,329.0,3.05,6,-316.58,328.57,272.71,370.69,230.59,79.55,31.82,2.338,2.805,0.0688,0.467,58.69,2.277,0.092,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,server_16_23,48,23,25,47.92,192.12,1.151,4.0,0.081,386.98,3.67,6,-345.51,127.99,64.13,-284.71,476.83,81.25,31.25,2.384,2.861,0.0662,0.4099,57.39,2.378,0.089,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,server_00_07,30,14,16,46.67,191.05,1.239,6.37,0.072,222.69,2.15,3,-152.15,-50.38,241.43,-90.25,281.3,96.67,50.0,2.493,3.241,0.0471,0.3319,53.33,2.621,0.042,0.22
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,server_08_15,43,22,21,51.16,324.24,1.288,7.54,0.173,589.99,5.49,8,-388.87,236.58,87.66,299.61,24.63,79.07,32.56,2.357,3.064,0.0694,0.4674,58.06,2.263,0.092,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,server_16_23,49,23,26,46.94,269.55,1.209,5.5,0.098,414.16,3.9,7,-381.77,147.84,121.71,-277.03,546.58,81.63,30.61,2.324,3.022,0.066,0.4129,58.5,2.321,0.089,0.61
2026YTD,v4_without_weak_lower_tf_sl_1_3R,server_00_07,33,14,19,42.42,-41.59,0.956,-1.26,-0.027,309.66,3.02,3,-137.93,-105.25,63.66,-82.02,40.43,93.94,45.45,2.371,3.083,0.0521,0.3193,52.58,2.481,0.051,0.31
2026YTD,v4_without_weak_lower_tf_sl_1_3R,server_08_15,56,29,27,51.79,524.2,1.385,9.36,0.189,475.11,4.37,5,-253.57,282.71,241.49,301.71,222.49,76.79,25.0,2.279,2.962,0.0733,0.4538,57.82,2.23,0.11,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,server_16_23,58,26,32,44.83,192.28,1.122,3.32,0.023,467.17,4.41,5,-212.09,38.68,153.6,-261.46,453.74,81.03,25.86,2.399,3.119,0.0656,0.4058,56.36,2.363,0.09,0.6
