period,symbol,direction,entry_time,label,result_R,net_profit,scan_driver_symbol,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,h1_counter_trend_state,structural_bos_state,m15_confirmation_type,distance_bos_to_entry_atr,bars_since_bos,h1_bos_level_label
2025-02,EURJPY,SHORT,2025.02.03 01:50:00,chasing_entry,-1.017,-49.3,USDJPY,160.193,161.488,160.167,bullish_counter_nwave,h1_bos_confirmed,m15_bos_confirmed,2.41,7,h1_bos_level_too_old
2025-02,AUDJPY,SHORT,2025.02.03 01:50:00,chasing_entry,-1.0,-48.24,USDJPY,96.094,96.923,96.022,bullish_counter_nwave,h1_bos_confirmed,m15_bos_confirmed,2.82,7,h1_bos_level_too_old
2025-02,EURJPY,SHORT,2025.02.03 02:50:00,late_entry,-1.006,-48.85,USDJPY,160.193,161.488,160.167,bullish_counter_nwave,h1_bos_confirmed,m15_bos_confirmed,1.8,11,h1_bos_level_too_old
2025-02,AUDJPY,SHORT,2025.02.03 02:20:00,chasing_entry,2.0,97.9,USDJPY,96.094,96.923,96.022,bullish_counter_nwave,h1_bos_confirmed,m15_bos_confirmed,2.49,9,h1_bos_level_too_old
2025-02,EURJPY,SHORT,2025.02.04 08:05:00,clean_structural_bos,-1.01,-50.05,USDJPY,159.995,160.471,157.956,bullish_counter_nwave,h1_bos_confirmed,m15_retest_reclaim,0.84,4,h1_bos_level_valid
2025-02,GBPJPY,LONG,2025.02.25 15:50:00,clean_structural_bos,-1.008,-48.4,USDJPY,189.28,189.653,188.155,bearish_counter_nwave,h1_bos_confirmed,m15_retest_reclaim,0.46,5,h1_bos_level_valid
2026-Q1,USDJPY,LONG,2026.01.06 20:05:00,chasing_entry,-1.0,-49.79,USDJPY,156.47,156.790,156.155,bearish_counter_nwave,h1_bos_confirmed,m15_retest_reclaim,2.9,12,h1_bos_level_too_old
2026-Q1,GBPUSD,LONG,2026.01.21 17:20:00,clean_structural_bos,-1.0,-47.84,USDJPY,1.34483,1.34560,1.34006,bearish_counter_nwave,h1_bos_confirmed,m15_retest_reclaim,0.56,3,h1_bos_level_valid
2026-Q1,USDJPY,SHORT,2026.02.12 18:50:00,clean_structural_bos,-1.011,-53.14,USDJPY,152.793,153.750,152.261,bullish_counter_nwave,h1_bos_confirmed,m15_retest_reclaim,0.27,4,h1_bos_level_valid
2026-Q1,EURUSD,SHORT,2026.02.12 19:20:00,clean_structural_bos,2.005,100.89,USDJPY,1.18661,1.18870,1.18515,bullish_counter_nwave,m15_countertrend_bos_confirmed,m15_bos_confirmed,0.44,1,h1_bos_level_valid
2026-Q1,GBPJPY,SHORT,2026.02.19 16:50:00,clean_structural_bos,-1.0,-49.39,USDJPY,208.627,209.524,208.571,bullish_counter_nwave,h1_bos_confirmed,m15_bos_confirmed,0.38,1,h1_bos_level_valid
2026-Q1,USDJPY,LONG,2026.02.26 09:35:00,clean_structural_bos,-1.014,-49.07,USDJPY,156.089,156.533,155.746,bearish_counter_nwave,m15_countertrend_bos_confirmed,m15_retest_reclaim,0.19,2,h1_bos_level_valid
2026-Q1,EURUSD,LONG,2026.03.23 15:50:00,late_entry,-1.004,-47.66,USDJPY,1.15456,1.15519,1.15199,bearish_counter_nwave,h1_bos_confirmed,m15_retest_reclaim,1.72,7,h1_bos_level_valid
