period,year,run,scenario,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,max_balance_dd,max_balance_dd_pct,max_consecutive_losses,long_trades,long_net_profit,short_trades,short_net_profit,xauusd_trades,xauusd_trade_share_pct,xauusd_net_profit,fx_trades,fx_net_profit,usdjpy_short_trades,usdjpy_short_net_profit,major_winning_symbols,major_losing_symbols,evaluations,regime_allowed,regime_blocked,regime_trend_up,regime_trend_down,regime_range,regime_transition,regime_exhaustion,regime_unknown,top_structure_stage_fail_reason,top_structure_stage_fail_reason_rows,top_execution_block_reason,top_execution_block_reason_rows
2024,2024,A,ThirdWave_original_BOTH,712.3,355,136,219,38.31,-914.04,0.911,-2.57,1661.14,15.97,9,193,-501.32,162,-412.72,265,74.65,-1000.83,90,86.79,19,266.88,GBPJPY:500.64; USDJPY:355.73,XAUUSD:-1000.83; GBPUSD:-301.61; EURJPY:-282.47,1039906,0,0,0,0,0,0,0,0,no_higher_tf_trend,736080,spread_guard,4431
2024,2024,B,ThirdWave_regime_BOTH,690.9,159,71,88,44.65,832.41,1.183,5.24,493.75,4.53,8,99,670.03,60,162.38,119,74.84,603.25,40,229.16,9,306.12,XAUUSD:603.25; USDJPY:498.12; GBPJPY:345.30,EURJPY:-351.77; GBPUSD:-160.37; AUDJPY:-52.20,1039906,146036,893870,171066,121006,87016,630892,29926,0,regime_requires_trend_down,459450,spread_guard,2068
2024,2024,C,ThirdWave_regime_LONG_ONLY,690.0,100,46,54,46.0,595.83,1.213,5.96,527.2,4.98,5,100,595.83,0,0,79,79.0,533.08,21,62.75,0,0,XAUUSD:533.08; USDJPY:195.89; GBPJPY:172.09,EURJPY:-194.18; GBPUSD:-111.05,519953,85533,434420,85533,60503,43508,315446,14963,0,regime_requires_trend_up,434420,spread_guard,1015
2024,2024,D,ThirdWave_regime_SHORT_ONLY,689.3,65,28,37,43.08,257.93,1.143,3.97,402.19,3.82,4,0,0,65,257.93,42,64.62,46.28,23,211.65,10,243.96,USDJPY:243.96; GBPJPY:194.49; XAUUSD:46.28,EURJPY:-75.36; AUDJPY:-52.20; EURUSD:-49.92,519953,60503,459450,85533,60503,43508,315446,14963,0,regime_requires_trend_down,459450,spread_guard,1053
2025,2025,A,ThirdWave_original_BOTH,682.2,451,179,272,39.69,-464.41,0.963,-1.03,1880.64,17.62,9,262,-1051.26,189,586.85,357,79.16,-401.84,94,-62.57,36,206.22,EURJPY:154.73; AUDJPY:69.22,XAUUSD:-401.84; GBPUSD:-98.44; GBPJPY:-89.54,1031072,0,0,0,0,0,0,0,0,no_higher_tf_trend,723569,spread_guard,4401
2025,2025,B,ThirdWave_regime_BOTH,651.0,247,95,152,38.46,-567.02,0.92,-2.3,1248.88,11.74,14,151,-776.56,96,209.54,192,77.73,-85.02,55,-482.0,23,100.12,EURJPY:20.33,GBPUSD:-244.40; EURUSD:-145.93; XAUUSD:-85.02,1031072,153583,877489,176254,130912,86598,606696,30612,0,regime_requires_trend_down,450080,spread_guard,2111
2025,2025,C,ThirdWave_regime_LONG_ONLY,640.0,156,59,97,37.82,-660.2,0.854,-4.23,1215.43,11.71,10,156,-660.2,0,0,130,83.33,-368.33,26,-291.87,0,0,,XAUUSD:-368.33; GBPUSD:-145.37; USDJPY:-119.48,515536,88127,427409,88127,65456,43299,303348,15306,0,regime_requires_trend_up,427409,spread_guard,948
2025,2025,D,ThirdWave_regime_SHORT_ONLY,640.3,104,40,64,38.46,-75.55,0.975,-0.73,718.68,6.95,7,0,0,104,-75.55,70,67.31,234.51,34,-310.06,27,-96.77,XAUUSD:234.51; EURJPY:24.56,USDJPY:-96.77; GBPUSD:-96.46; AUDJPY:-49.40,515536,65456,450080,88127,65456,43299,303348,15306,0,regime_requires_trend_down,450080,spread_guard,1163
2026YTD,2026YTD,A,ThirdWave_original_BOTH,306.5,189,82,107,43.39,856.11,1.169,4.53,759.07,6.89,10,92,128.51,97,727.6,172,91.01,952.55,17,-96.44,5,-3.15,XAUUSD:952.55; EURUSD:135.14,USDJPY:-103.85; GBPUSD:-74.23; GBPJPY:-53.50,433776,0,0,0,0,0,0,0,0,no_higher_tf_trend,303091,spread_guard,1679
2026YTD,2026YTD,B,ThirdWave_regime_BOTH,295.8,88,41,47,46.59,809.15,1.354,9.19,228.29,2.19,5,37,104.0,51,705.15,80,90.91,830.42,8,-21.27,2,20.07,XAUUSD:830.42; EURUSD:110.22,GBPUSD:-101.79; USDJPY:-29.70,433776,65065,368711,75066,55064,33894,257628,12124,0,regime_requires_trend_down,189356,spread_guard,773
2026YTD,2026YTD,C,ThirdWave_regime_LONG_ONLY,285.9,37,16,21,43.24,116.2,1.115,3.14,323.43,3.13,4,37,116.2,0,0,36,97.3,165.97,1,-49.77,0,0,XAUUSD:165.97,USDJPY:-49.77,216888,37533,179355,37533,27532,16947,128814,6062,0,regime_requires_trend_up,179355,spread_guard,395
2026YTD,2026YTD,D,ThirdWave_regime_SHORT_ONLY,285.1,52,25,27,48.08,674.93,1.524,12.98,209.76,1.93,4,0,0,52,674.93,44,84.62,696.07,8,-21.14,3,-27.6,XAUUSD:696.07; EURUSD:108.25,GBPUSD:-101.79; USDJPY:-27.60,216888,27532,189356,37533,27532,16947,128814,6062,0,regime_requires_trend_down,189356,spread_guard,378
