variant,sl_mode,is_xauusd,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,FX,54,54,27,27,50.0,476.12,1.357,8.82,0.167,389.79,3.66,50.0,44.44,0,0,0,0,0.766,0.979,237046111.111,316061481.481,0.272
current_thirdwave,CURRENT_SL,XAUUSD,273,273,136,137,49.82,2418.74,1.386,8.86,0.157,859.35,7.74,49.45,47.99,0,0,0,0,0.818,1.046,19968571428.571,26624761904.762,0.047
current_thirdwave,LOWER_TF_REVERSAL_SL,FX,54,42,24,18,57.14,723.41,1.821,17.22,0.333,447.15,4.28,44.44,33.33,0,0,9,3,0.755,0.996,142845000.0,190460000.0,0.381
current_thirdwave,LOWER_TF_REVERSAL_SL,XAUUSD,273,195,72,123,36.92,-1166.91,0.787,-5.98,-0.132,2121.08,20.24,25.64,42.86,0,3,72,3,0.893,0.872,11645692307.692,15527589743.59,0.068
current_thirdwave,MID_TF_STRUCTURE_SL,FX,54,54,27,27,50.0,476.12,1.357,8.82,0.167,389.79,3.66,50.0,44.44,0,0,0,0,0.766,0.979,237046111.111,316061481.481,0.272
current_thirdwave,MID_TF_STRUCTURE_SL,XAUUSD,273,273,136,137,49.82,2418.74,1.386,8.86,0.157,859.35,7.74,49.45,47.99,0,0,0,0,0.818,1.046,19968571428.571,26624761904.762,0.047
v4_all_signals,CURRENT_SL,FX,150,150,77,73,51.33,1571.59,1.432,10.48,0.208,838.8,7.63,51.33,44.67,0,0,0,0,0.719,1.063,212240800.0,282987733.333,0.345
v4_all_signals,CURRENT_SL,XAUUSD,432,432,209,223,48.38,3769.21,1.356,8.73,0.127,1156.45,7.81,48.38,51.62,0,0,0,0,0.851,1.014,19604583333.333,26139444444.444,0.063
v4_all_signals,LOWER_TF_REVERSAL_SL,FX,150,129,59,70,45.74,544.85,1.159,4.22,0.084,919.47,8.96,38.67,40.67,0,0,9,12,0.741,0.962,207237674.419,276316899.225,0.334
v4_all_signals,LOWER_TF_REVERSAL_SL,XAUUSD,432,390,197,193,50.51,4072.8,1.468,10.44,0.174,1183.61,7.96,42.36,41.9,0,6,30,6,0.838,1.02,17558384615.385,23411179487.179,0.063
v4_all_signals,MID_TF_STRUCTURE_SL,FX,150,150,77,73,51.33,1571.59,1.432,10.48,0.208,838.8,7.63,51.33,44.67,0,0,0,0,0.719,1.063,212240800.0,282987733.333,0.345
v4_all_signals,MID_TF_STRUCTURE_SL,XAUUSD,432,432,209,223,48.38,3769.21,1.356,8.73,0.127,1156.45,7.81,48.38,51.62,0,0,0,0,0.851,1.014,19604583333.333,26139444444.444,0.063
v4_candle_reversal_only,CURRENT_SL,FX,81,81,46,35,56.79,1351.63,1.757,16.69,0.321,1010.58,9.47,56.79,43.21,0,0,0,0,0.699,1.157,216829259.259,289105679.012,0.312
v4_candle_reversal_only,CURRENT_SL,XAUUSD,288,288,141,147,48.96,2992.18,1.431,10.39,0.139,1235.83,8.69,48.96,51.04,0,0,0,0,0.807,1.054,21165104166.667,28220138888.889,0.063
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,FX,81,66,34,32,51.52,650.03,1.397,9.85,0.197,757.35,7.37,41.98,39.51,0,0,9,6,0.73,1.083,195961818.182,261282424.242,0.342
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,XAUUSD,288,234,118,116,50.43,2661.47,1.513,11.37,0.175,961.35,7.22,38.54,37.15,0,9,45,0,0.77,1.031,19261153846.154,25681538461.538,0.063
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,FX,81,81,46,35,56.79,1351.63,1.757,16.69,0.321,1010.58,9.47,56.79,43.21,0,0,0,0,0.699,1.157,216829259.259,289105679.012,0.312
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,XAUUSD,288,288,141,147,48.96,2992.18,1.431,10.39,0.139,1235.83,8.69,48.96,51.04,0,0,0,0,0.807,1.054,21165104166.667,28220138888.889,0.063
v4_micro_break_only,CURRENT_SL,FX,42,42,24,18,57.14,670.49,1.756,15.96,0.326,347.93,3.38,57.14,35.71,0,0,0,0,0.707,1.093,214412142.857,285882857.143,0.296
v4_micro_break_only,CURRENT_SL,XAUUSD,162,162,75,87,46.3,432.07,1.104,2.67,0.077,980.5,8.59,46.3,53.7,1,0,0,0,0.827,1.089,18656851851.852,24875802469.136,0.052
v4_micro_break_only,LOWER_TF_REVERSAL_SL,FX,42,36,24,12,66.67,937.47,2.589,26.04,0.531,198.59,1.91,54.76,28.57,0,0,6,0,0.618,1.203,203070833.333,270761111.111,0.268
