run,scenario,skip_reason,rows
A,ThirdWave_BOTH,no_higher_tf_trend,139895
A,ThirdWave_BOTH,trend_broken,8987
A,ThirdWave_BOTH,pullback_too_shallow,8048
A,ThirdWave_BOTH,pullback_too_deep,12634
A,ThirdWave_BOTH,no_lower_reversal,26053
A,ThirdWave_BOTH,sl_too_close,144
A,ThirdWave_BOTH,sl_too_wide,2627
A,ThirdWave_BOTH,spread_guard,831344
B,ThirdWave_LONG_ONLY,no_higher_tf_trend,66916
B,ThirdWave_LONG_ONLY,trend_broken,4212
B,ThirdWave_LONG_ONLY,pullback_too_shallow,5730
B,ThirdWave_LONG_ONLY,pullback_too_deep,6331
B,ThirdWave_LONG_ONLY,no_lower_reversal,14248
B,ThirdWave_LONG_ONLY,sl_too_close,64
B,ThirdWave_LONG_ONLY,sl_too_wide,1615
B,ThirdWave_LONG_ONLY,spread_guard,415672
C,ThirdWave_SHORT_ONLY,no_higher_tf_trend,72979
C,ThirdWave_SHORT_ONLY,trend_broken,4775
C,ThirdWave_SHORT_ONLY,pullback_too_shallow,2318
C,ThirdWave_SHORT_ONLY,pullback_too_deep,6303
C,ThirdWave_SHORT_ONLY,no_lower_reversal,11805
C,ThirdWave_SHORT_ONLY,sl_too_close,80
C,ThirdWave_SHORT_ONLY,sl_too_wide,1012
C,ThirdWave_SHORT_ONLY,spread_guard,415672
