period,run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2025,A,ThirdWave_BOTH,AUDJPY,1,1,0,100.0,69.22,69.22,0.0,,69.22,69.22,0.0
2025,A,ThirdWave_BOTH,EURJPY,12,6,6,50.0,154.73,444.39,-289.66,1.534,12.89,74.06,-48.28
2025,A,ThirdWave_BOTH,EURUSD,13,5,8,38.46,-30.86,355.76,-386.62,0.92,-2.37,71.15,-48.33
2025,A,ThirdWave_BOTH,GBPJPY,7,2,5,28.57,-89.54,146.68,-236.22,0.621,-12.79,73.34,-47.24
2025,A,ThirdWave_BOTH,GBPUSD,2,0,2,0.0,-98.44,0.0,-98.44,0.0,-49.22,0.0,-49.22
2025,A,ThirdWave_BOTH,USDJPY,59,23,36,38.98,-67.68,1654.94,-1722.62,0.961,-1.15,71.95,-47.85
2025,A,ThirdWave_BOTH,XAUUSD,357,142,215,39.78,-401.84,9329.61,-9731.45,0.959,-1.13,65.7,-45.26
2025,B,ThirdWave_LONG_ONLY,AUDJPY,1,1,0,100.0,66.74,66.74,0.0,,66.74,66.74,0.0
2025,B,ThirdWave_LONG_ONLY,EURJPY,9,4,5,44.44,49.64,284.98,-235.34,1.211,5.52,71.24,-47.07
2025,B,ThirdWave_LONG_ONLY,EURUSD,7,3,4,42.86,18.81,209.03,-190.22,1.099,2.69,69.68,-47.56
2025,B,ThirdWave_LONG_ONLY,GBPJPY,2,0,2,0.0,-92.63,0.0,-92.63,0.0,-46.31,0.0,-46.31
2025,B,ThirdWave_LONG_ONLY,GBPUSD,4,0,4,0.0,-190.27,0.0,-190.27,0.0,-47.57,0.0,-47.57
2025,B,ThirdWave_LONG_ONLY,USDJPY,24,7,17,29.17,-366.16,463.15,-829.31,0.558,-15.26,66.16,-48.78
2025,B,ThirdWave_LONG_ONLY,XAUUSD,224,86,138,38.39,-850.69,5233.06,-6083.75,0.86,-3.8,60.85,-44.09
2025,C,ThirdWave_SHORT_ONLY,AUDJPY,1,0,1,0.0,-47.38,0.0,-47.38,0.0,-47.38,0.0,-47.38
2025,C,ThirdWave_SHORT_ONLY,EURJPY,4,2,2,50.0,44.07,145.76,-101.69,1.433,11.02,72.88,-50.84
2025,C,ThirdWave_SHORT_ONLY,EURUSD,6,2,4,33.33,-46.02,150.38,-196.4,0.766,-7.67,75.19,-49.1
2025,C,ThirdWave_SHORT_ONLY,GBPJPY,4,1,3,25.0,-74.44,71.78,-146.22,0.491,-18.61,71.78,-48.74
2025,C,ThirdWave_SHORT_ONLY,GBPUSD,1,0,1,0.0,-51.2,0.0,-51.2,0.0,-51.2,0.0,-51.2
2025,C,ThirdWave_SHORT_ONLY,USDJPY,41,16,25,39.02,-59.17,1170.1,-1229.27,0.952,-1.44,73.13,-49.17
2025,C,ThirdWave_SHORT_ONLY,XAUUSD,151,64,87,42.38,480.84,4489.97,-4009.13,1.12,3.18,70.16,-46.08
