time,event,last_scan_bar_time,scan_elapsed_ms,reason
2026.01.02 09:04:59,scan_executed_new_execution_bar,2026.01.02 08:55:00,0,
2026.01.02 09:09:59,scan_executed_new_execution_bar,2026.01.02 09:00:00,0,
2026.01.02 09:14:59,scan_executed_new_execution_bar,2026.01.02 09:05:00,0,
2026.01.02 09:19:59,scan_executed_new_execution_bar,2026.01.02 09:10:00,0,
2026.01.02 09:24:59,scan_executed_new_execution_bar,2026.01.02 09:15:00,0,
2026.01.02 09:29:59,scan_executed_new_execution_bar,2026.01.02 09:20:00,0,
2026.01.02 09:34:59,scan_executed_new_execution_bar,2026.01.02 09:25:00,0,
2026.01.02 09:39:59,scan_executed_new_execution_bar,2026.01.02 09:30:00,0,
2026.01.02 09:44:59,scan_executed_new_execution_bar,2026.01.02 09:35:00,0,
2026.01.02 09:49:59,scan_executed_new_execution_bar,2026.01.02 09:40:00,0,
2026.01.02 09:54:58,scan_executed_new_execution_bar,2026.01.02 09:45:00,0,
2026.01.02 09:59:59,scan_executed_new_execution_bar,2026.01.02 09:50:00,0,
2026.01.02 10:05:00,scan_executed_new_execution_bar,2026.01.02 09:55:00,0,
2026.01.02 10:09:59,scan_executed_new_execution_bar,2026.01.02 10:00:00,0,
2026.01.02 10:14:59,scan_executed_new_execution_bar,2026.01.02 10:05:00,0,
2026.01.02 10:19:59,scan_executed_new_execution_bar,2026.01.02 10:10:00,0,
2026.01.02 10:25:00,scan_executed_new_execution_bar,2026.01.02 10:15:00,0,
2026.01.02 10:29:59,scan_executed_new_execution_bar,2026.01.02 10:20:00,0,
2026.01.02 10:34:59,scan_executed_new_execution_bar,2026.01.02 10:25:00,0,
2026.01.02 10:39:59,scan_executed_new_execution_bar,2026.01.02 10:30:00,0,
2026.01.02 10:44:59,scan_executed_new_execution_bar,2026.01.02 10:35:00,0,
2026.01.02 10:49:59,scan_executed_new_execution_bar,2026.01.02 10:40:00,0,
2026.01.02 10:54:59,scan_executed_new_execution_bar,2026.01.02 10:45:00,0,
2026.01.02 10:59:59,scan_executed_new_execution_bar,2026.01.02 10:50:00,0,
2026.01.02 11:04:59,scan_executed_new_execution_bar,2026.01.02 10:55:00,0,
2026.01.02 11:09:59,scan_executed_new_execution_bar,2026.01.02 11:00:00,0,
2026.01.02 11:14:59,scan_executed_new_execution_bar,2026.01.02 11:05:00,0,
2026.01.02 11:19:59,scan_executed_new_execution_bar,2026.01.02 11:10:00,0,
2026.01.02 11:24:59,scan_executed_new_execution_bar,2026.01.02 11:15:00,15,
2026.01.02 11:29:59,scan_executed_new_execution_bar,2026.01.02 11:20:00,0,
2026.01.02 11:34:59,scan_executed_new_execution_bar,2026.01.02 11:25:00,0,
2026.01.02 11:39:59,scan_executed_new_execution_bar,2026.01.02 11:30:00,0,
2026.01.02 11:44:59,scan_executed_new_execution_bar,2026.01.02 11:35:00,0,
2026.01.02 11:49:59,scan_executed_new_execution_bar,2026.01.02 11:40:00,0,
2026.01.02 11:55:00,scan_executed_new_execution_bar,2026.01.02 11:50:00,0,
2026.01.02 11:59:59,scan_skipped_same_execution_bar,2026.01.02 11:50:00,0,
2026.01.02 12:04:59,scan_executed_new_execution_bar,2026.01.02 11:55:00,0,
2026.01.02 12:09:57,scan_executed_new_execution_bar,2026.01.02 12:00:00,0,
2026.01.02 12:14:59,scan_executed_new_execution_bar,2026.01.02 12:05:00,0,
2026.01.02 12:19:59,scan_executed_new_execution_bar,2026.01.02 12:10:00,0,
2026.01.02 12:24:59,scan_executed_new_execution_bar,2026.01.02 12:15:00,0,
2026.01.02 12:29:59,scan_executed_new_execution_bar,2026.01.02 12:20:00,0,
2026.01.02 12:34:59,scan_executed_new_execution_bar,2026.01.02 12:25:00,0,
2026.01.02 12:39:59,scan_executed_new_execution_bar,2026.01.02 12:30:00,0,
2026.01.02 12:44:59,scan_executed_new_execution_bar,2026.01.02 12:35:00,0,
2026.01.02 12:49:59,scan_executed_new_execution_bar,2026.01.02 12:40:00,0,
2026.01.02 12:54:59,scan_executed_new_execution_bar,2026.01.02 12:45:00,0,
2026.01.02 12:59:59,scan_executed_new_execution_bar,2026.01.02 12:50:00,0,
2026.01.02 13:04:59,scan_executed_new_execution_bar,2026.01.02 12:55:00,0,
2026.01.02 13:09:59,scan_executed_new_execution_bar,2026.01.02 13:00:00,0,
2026.01.02 13:14:59,scan_executed_new_execution_bar,2026.01.02 13:05:00,0,
2026.01.02 13:19:59,scan_executed_new_execution_bar,2026.01.02 13:10:00,0,
2026.01.02 13:24:59,scan_executed_new_execution_bar,2026.01.02 13:15:00,0,
2026.01.02 13:29:59,scan_executed_new_execution_bar,2026.01.02 13:20:00,0,
2026.01.02 13:34:59,scan_executed_new_execution_bar,2026.01.02 13:25:00,0,
2026.01.02 13:39:59,scan_executed_new_execution_bar,2026.01.02 13:30:00,0,
2026.01.02 13:44:59,scan_executed_new_execution_bar,2026.01.02 13:35:00,0,
2026.01.02 13:49:59,scan_executed_new_execution_bar,2026.01.02 13:40:00,0,
2026.01.02 13:54:59,scan_executed_new_execution_bar,2026.01.02 13:45:00,0,
2026.01.02 13:59:59,scan_executed_new_execution_bar,2026.01.02 13:50:00,0,
2026.01.02 14:04:59,scan_executed_new_execution_bar,2026.01.02 13:55:00,0,
2026.01.02 14:09:59,scan_executed_new_execution_bar,2026.01.02 14:00:00,0,
2026.01.02 14:14:59,scan_executed_new_execution_bar,2026.01.02 14:05:00,0,
2026.01.02 14:19:59,scan_executed_new_execution_bar,2026.01.02 14:10:00,0,
2026.01.02 14:24:59,scan_executed_new_execution_bar,2026.01.02 14:15:00,0,
2026.01.02 14:29:59,scan_executed_new_execution_bar,2026.01.02 14:20:00,0,
