run,scenario,prefix,elapsed_seconds
A,ThirdWave_regime_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_02_thirdwave_v4_A_current_regime_all_5m,73
B,ThirdWave_v2_audit_filtered_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_02_thirdwave_v4_B_v2_audit_filtered_all_5m,62.7
C,ThirdWave_v3_entry_timing_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_02_thirdwave_v4_C_v3_entry_timing_all_5m,62.6
D,ThirdWave_v4_early_reversal_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_02_thirdwave_v4_D_v4_early_reversal_all_5m,62.9
