run,scenario,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,gross_profit,gross_loss,avg_win,avg_loss,max_balance_dd,max_balance_dd_pct,max_balance_dd_time,max_consecutive_losses,max_consecutive_losses_amount,long_trades,long_net_profit,short_trades,short_net_profit,xauusd_trades,xauusd_trade_share_pct,xauusd_net_profit,usdjpy_short_trades,usdjpy_short_net_profit,major_winning_symbols,major_losing_symbols,thirdwave_evaluations,thirdwave_setup_pass,thirdwave_entry_pass,thirdwave_orders_sent,thirdwave_top_skip_reason
A,ThirdWave_BOTH,671.9,451,179,272,39.69,-464.41,0.963,-1.03,12000.6,-12465.01,67.04,-45.83,1880.64,17.62,2025.06.06 15:08:26,9,-461.86,262,-1051.26,189,586.85,357,79.16,-401.84,36,206.22,EURJPY:154.73; AUDJPY:69.22,XAUUSD:-401.84; GBPUSD:-98.44; GBPJPY:-89.54,1031072,30164,1340,451,spread_guard
B,ThirdWave_LONG_ONLY,650.9,271,101,170,37.27,-1364.56,0.821,-5.04,6256.96,-7621.52,61.95,-44.83,1891.26,18.44,2025.09.19 14:33:50,11,-533.47,271,-1364.56,0,0,224,82.66,-850.69,0,0,AUDJPY:66.74; EURJPY:49.64; EURUSD:18.81,XAUUSD:-850.69; USDJPY:-366.16; GBPUSD:-190.27,515536,16675,748,271,spread_guard
C,ThirdWave_SHORT_ONLY,650.1,208,85,123,40.87,246.7,1.043,1.19,6027.99,-5781.29,70.92,-47.0,1237.82,11.82,2025.06.06 15:08:26,9,-409.14,0,0,208,246.7,151,72.6,480.84,41,-59.17,XAUUSD:480.84; EURJPY:44.07,GBPJPY:-74.44; USDJPY:-59.17; GBPUSD:-51.20,515536,13489,592,208,spread_guard
