scenario,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,63,26.98,0.737,-0.19,-603.67,1184.23,11.19,1.19,1.088,65.08,49.21,26.98,28,35,-192.2,-411.47,-0.138,-0.231,6,12,AUDJPY:2;EURJPY:9;EURUSD:8;GBPJPY:6;GBPUSD:11;USDJPY:27,2025-01:7;2025-02:4;2025-03:7;2025-04:10;2025-05:1;2025-06:4;2025-07:6;2025-08:8;2025-09:5;2025-10:3;2025-11:6;2025-12:2,LONG:28;SHORT:35
B_relaxed_entry,28,28.57,0.792,-0.146,-206.85,450.79,4.42,1.22,1.13,71.43,57.14,28.57,13,15,-57.93,-148.92,-0.08,-0.202,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:4;USDJPY:14,2025-01:4;2025-02:2;2025-03:2;2025-04:4;2025-06:2;2025-07:4;2025-08:4;2025-09:2;2025-10:1;2025-11:3,LONG:13;SHORT:15
C_relaxed_room_to_1r,24,29.17,0.815,-0.128,-156.45,450.18,4.39,1.323,1.135,79.17,62.5,29.17,10,14,-57.32,-99.13,-0.104,-0.145,6,9,AUDJPY:1;EURJPY:2;EURUSD:3;GBPJPY:2;GBPUSD:4;USDJPY:12,2025-01:3;2025-02:2;2025-03:2;2025-04:4;2025-06:2;2025-07:3;2025-08:3;2025-09:2;2025-11:3,LONG:10;SHORT:14
D_relaxed_room_to_2r,17,35.29,1.091,0.056,49.82,194.69,1.91,1.392,1.13,82.35,70.59,35.29,7,10,-52.17,101.99,-0.148,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:7;SHORT:10
E_relaxed_room_to_2r_no_round_or_major_obstacle,8,37.5,1.206,0.121,50.94,100.01,0.99,1.487,1.25,100.0,75.0,37.5,4,4,-55.1,106.04,-0.255,0.497,2,6,EURUSD:2;USDJPY:6,2025-01:1;2025-02:1;2025-06:1;2025-07:2;2025-09:1;2025-11:2,LONG:4;SHORT:4
