period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,server_00_07,24,10,14,41.67,56.19,770.7,-714.51,1.079,2.34,77.07,-51.04
2024,all,10,server_08_15,61,29,32,47.54,581.28,2212.9,-1631.62,1.356,9.53,76.31,-50.99
2024,all,10,server_16_23,47,20,27,42.55,-71.65,1329.86,-1401.51,0.949,-1.52,66.49,-51.91
2024,all,15,server_00_07,13,4,9,30.77,-139.77,288.54,-428.31,0.674,-10.75,72.14,-47.59
2024,all,15,server_08_15,42,18,24,42.86,139.45,1294.0,-1154.55,1.121,3.32,71.89,-48.11
2024,all,15,server_16_23,44,18,26,40.91,-243.03,1109.76,-1352.79,0.82,-5.52,61.65,-52.03
2024,all,5,server_00_07,35,13,22,37.14,-130.71,993.27,-1123.98,0.884,-3.73,76.41,-51.09
2024,all,5,server_08_15,80,38,42,47.5,890.73,3016.59,-2125.86,1.419,11.13,79.38,-50.62
2024,all,5,server_16_23,63,27,36,42.86,-45.77,1849.08,-1894.85,0.976,-0.73,68.48,-52.63
2024,best,10,server_00_07,24,10,14,41.67,62.9,770.51,-707.61,1.089,2.62,77.05,-50.54
2024,best,10,server_08_15,51,25,26,49.02,596.07,1917.67,-1321.6,1.451,11.69,76.71,-50.83
2024,best,10,server_16_23,47,20,27,42.55,-74.29,1329.86,-1404.15,0.947,-1.58,66.49,-52.01
2024,best,15,server_00_07,11,3,8,27.27,-166.98,215.45,-382.43,0.563,-15.18,71.82,-47.8
2024,best,15,server_08_15,38,16,22,42.11,96.0,1151.84,-1055.84,1.091,2.53,71.99,-47.99
2024,best,15,server_16_23,43,18,25,41.86,-194.06,1107.71,-1301.77,0.851,-4.51,61.54,-52.07
2024,best,5,server_00_07,32,12,20,37.5,-115.79,924.01,-1039.8,0.889,-3.62,77.0,-51.99
2024,best,5,server_08_15,67,33,34,49.25,926.49,2643.77,-1717.28,1.54,13.83,80.11,-50.51
2024,best,5,server_16_23,60,26,34,43.33,21.71,1804.32,-1782.61,1.012,0.36,69.4,-52.43
2025,all,10,server_00_07,47,17,30,36.17,-222.35,1141.4,-1363.75,0.837,-4.73,67.14,-45.46
2025,all,10,server_08_15,77,32,45,41.56,192.03,2228.32,-2036.29,1.094,2.49,69.64,-45.25
2025,all,10,server_16_23,78,25,53,32.05,-732.31,1747.2,-2479.51,0.705,-9.39,69.89,-46.78
2025,all,15,server_00_07,37,14,23,37.84,-92.05,978.66,-1070.71,0.914,-2.49,69.9,-46.55
2025,all,15,server_08_15,54,27,27,50.0,595.35,1860.69,-1265.34,1.471,11.03,68.91,-46.86
2025,all,15,server_16_23,56,19,37,33.93,-622.21,1264.99,-1887.2,0.67,-11.11,66.58,-51.01
2025,all,5,server_00_07,66,24,42,36.36,-314.38,1621.76,-1936.14,0.838,-4.76,67.57,-46.1
2025,all,5,server_08_15,102,46,56,45.1,598.6,3211.66,-2613.06,1.229,5.87,69.82,-46.66
2025,all,5,server_16_23,101,36,65,35.64,-716.2,2469.43,-3185.63,0.775,-7.09,68.6,-49.01
2025,best,10,server_00_07,44,16,28,36.36,-193.42,1074.04,-1267.46,0.847,-4.4,67.13,-45.27
2025,best,10,server_08_15,75,31,44,41.33,146.96,2135.63,-1988.67,1.074,1.96,68.89,-45.2
2025,best,10,server_16_23,74,24,50,32.43,-661.96,1684.09,-2346.05,0.718,-8.95,70.17,-46.92
2025,best,15,server_00_07,35,13,22,37.14,-122.54,892.78,-1015.32,0.879,-3.5,68.68,-46.15
2025,best,15,server_08_15,54,27,27,50.0,595.35,1860.69,-1265.34,1.471,11.03,68.91,-46.86
2025,best,15,server_16_23,53,17,36,32.08,-693.05,1127.81,-1820.86,0.619,-13.08,66.34,-50.58
2025,best,5,server_00_07,60,21,39,35.0,-358.47,1417.35,-1775.82,0.798,-5.97,67.49,-45.53
2025,best,5,server_08_15,95,43,52,45.26,591.18,2970.46,-2379.28,1.248,6.22,69.08,-45.76
2025,best,5,server_16_23,92,31,61,33.7,-799.73,2116.73,-2916.46,0.726,-8.69,68.28,-47.81
2026YTD,all,10,server_00_07,15,9,6,60.0,541.81,813.7,-271.89,2.993,36.12,90.41,-45.31
2026YTD,all,10,server_08_15,26,9,17,34.62,-244.18,589.87,-834.05,0.707,-9.39,65.54,-49.06
2026YTD,all,10,server_16_23,20,11,9,55.0,307.31,718.15,-410.84,1.748,15.37,65.29,-45.65
2026YTD,all,15,server_00_07,10,4,6,40.0,15.86,272.42,-256.56,1.062,1.59,68.11,-42.76
2026YTD,all,15,server_08_15,16,4,12,25.0,-243.47,318.34,-561.81,0.567,-15.22,79.59,-46.82
2026YTD,all,15,server_16_23,17,9,8,52.94,268.02,615.92,-347.9,1.77,15.77,68.44,-43.49
2026YTD,all,5,server_00_07,22,13,9,59.09,677.66,1081.78,-404.12,2.677,30.8,83.21,-44.9
2026YTD,all,5,server_08_15,36,12,24,33.33,-274.84,858.18,-1133.02,0.757,-7.63,71.51,-47.21
2026YTD,all,5,server_16_23,34,17,17,50.0,355.81,1232.03,-876.22,1.406,10.46,72.47,-51.54
2026YTD,best,10,server_00_07,15,9,6,60.0,541.81,813.7,-271.89,2.993,36.12,90.41,-45.31
2026YTD,best,10,server_08_15,26,9,17,34.62,-244.18,589.87,-834.05,0.707,-9.39,65.54,-49.06
2026YTD,best,10,server_16_23,20,11,9,55.0,307.31,718.15,-410.84,1.748,15.37,65.29,-45.65
2026YTD,best,15,server_00_07,10,4,6,40.0,15.86,272.42,-256.56,1.062,1.59,68.11,-42.76
2026YTD,best,15,server_08_15,16,4,12,25.0,-243.47,318.34,-561.81,0.567,-15.22,79.59,-46.82
2026YTD,best,15,server_16_23,17,9,8,52.94,268.02,615.92,-347.9,1.77,15.77,68.44,-43.49
2026YTD,best,5,server_00_07,21,13,8,61.9,715.0,1081.78,-366.78,2.949,34.05,83.21,-45.85
2026YTD,best,5,server_08_15,35,12,23,34.29,-242.92,858.18,-1101.1,0.779,-6.94,71.51,-47.87
2026YTD,best,5,server_16_23,32,16,16,50.0,337.07,1155.23,-818.16,1.412,10.53,72.2,-51.13
