run,scenario,prefix,elapsed_seconds
A,ThirdWave_regime_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_thirdwave_v3_A_current_regime_all_5m,73
B,ThirdWave_v2_audit_filtered_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_thirdwave_v3_B_v2_audit_filtered_all_5m,72.9
C,ThirdWave_v3_entry_timing_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_2025_10_thirdwave_v3_C_v3_entry_timing_all_5m,72.7
