period,scenario,fx_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,10,2,8,20.0,-208.98,0.48,-20.9,0.0,247.01,2.47,-208.98,0,-203.62,-5.36,0.968,1.121,50.0,40.0,20.0,60.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,137.56,4.052,45.85,0.0,45.07,0.45,0,137.56,39.98,97.58,1.872,0.53,66.67,66.67,66.67,66.67
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,FX,9,1,8,11.11,-304.5,0.242,-33.83,0.0,304.5,3.04,-304.5,0,-203.62,-100.88,0.831,1.198,44.44,33.33,11.11,66.67
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,137.56,4.052,45.85,0.0,45.07,0.45,0,137.56,39.98,97.58,1.872,0.53,66.67,66.67,66.67,66.67
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,FX,4,0,4,0.0,-198.29,0.0,-49.57,0.0,198.29,1.98,-198.29,0,-50.82,-147.47,0.25,1.455,25.0,0.0,0.0,75.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,88.04,,88.04,0.0,0.0,0.0,0,88.04,88.04,0,2.138,0.057,100.0,100.0,100.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,FX,4,0,4,0.0,-198.29,0.0,-49.57,0.0,198.29,1.98,-198.29,0,-50.82,-147.47,0.25,1.455,25.0,0.0,0.0,75.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,88.04,,88.04,0.0,0.0,0.0,0,88.04,88.04,0,2.138,0.057,100.0,100.0,100.0,0.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,1,0,1,0.0,-52.77,0.0,-52.77,0.0,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,79.91,,79.91,0.0,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
