period,month,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,close_comment,session,label,neckline_break_label,breakout_quality_label,context_quality_label,context_quality_score,context_quality_reason,sl_atr,tp_atr,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_close_position_directional,breakout_directional_wick_ratio
2025-02,2025-02,A,instant_all_r12,1,2025-02-04 08:05:00,2025-02-04 09:37:57,EURJPY,FX,SHORT,-50.05,-1.01,sl 160.161,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.83,2.2,1.35,0.33,0.32,0.54,0.13
2025-02,2025-02,A,instant_all_r12,2,2025-02-04 19:35:00,2025-02-04 23:02:30,EURUSD,FX,SHORT,-49.3,-1.0,sl 1.03885,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.37,1.64,0.07,0.03,0.03,0.44,0.56
2025-02,2025-02,A,instant_all_r12,3,2025-02-06 22:35:00,2025-02-07 02:37:44,XAUUSD,XAUUSD,LONG,48.32,1.203,tp 2860.49,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.91,2.29,0.3,0.86,0.87,0.07,0.07
2025-02,2025-02,A,instant_all_r12,4,2025-02-11 18:05:00,2025-02-12 02:52:31,XAUUSD,XAUUSD,LONG,-44.93,-1.002,sl 2890.47,server_16_23,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,2.03,2.44,0.06,0.32,0.12,0.34,0.66
2025-02,2025-02,A,instant_all_r12,5,2025-02-13 20:20:00,2025-02-13 20:40:58,GBPJPY,FX,LONG,-50.82,-1.035,sl 191.637,server_16_23,clean_nested_nwave_entry,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,,0.78,0.93,0.05,0.66,0.54,0.9,0.1
2025-02,2025-02,A,instant_all_r12,6,2025-02-14 11:50:00,2025-02-14 18:20:48,GBPJPY,FX,LONG,-49.37,-1.0,sl 191.641,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.92,2.3,0.4,0.91,0.64,0.09,0.0
2025-02,2025-02,A,instant_all_r12,7,2025-02-21 06:05:00,2025-02-21 09:31:12,EURJPY,FX,SHORT,-47.47,-1.004,sl 158.112,server_00_07,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.33,1.59,0.05,0.2,0.13,0.28,0.52
2025-02,2025-02,A,instant_all_r12,8,2025-02-21 10:35:00,2025-02-21 13:00:07,EURJPY,FX,SHORT,58.12,1.201,tp 157.382,server_08_15,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,2.2,2.64,1.18,0.77,2.43,0.77,0.23
2025-02,2025-02,A,instant_all_r12,9,2025-02-24 01:05:00,2025-02-24 02:19:54,XAUUSD,XAUUSD,SHORT,58.94,1.213,tp 2935.38,server_00_07,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.16,1.4,0.61,0.63,0.56,0.78,0.22
2025-02,2025-02,A,instant_all_r12,10,2025-02-24 18:20:00,2025-02-25 01:10:06,USDJPY,FX,SHORT,-51.38,-1.0,sl 149.882,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.11,2.54,0.82,0.89,1.04,0.11,0.0
2025-02,2025-02,A,instant_all_r12,11,2025-02-24 18:35:00,2025-02-25 09:32:38,AUDJPY,FX,SHORT,56.5,1.201,tp 94.821,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.8,2.16,0.81,0.68,0.8,0.27,0.05
2025-02,2025-02,A,instant_all_r12,12,2025-02-25 13:05:00,2025-02-25 13:58:27,GBPJPY,FX,LONG,58.99,1.21,tp 189.524,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.33,1.59,0.09,0.34,0.22,0.59,0.06
2025-02,2025-02,A,instant_all_r12,13,2025-02-26 19:50:00,2025-02-27 02:58:37,EURUSD,FX,LONG,-54.67,-1.006,sl 1.04768,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.55,1.86,0.53,0.63,2.19,0.23,0.14
2025-02,2025-02,B,retest_all_r12,1,2025-02-04 08:50:00,2025-02-04 09:37:57,EURJPY,FX,SHORT,-50.34,-1.009,sl 160.161,server_08_15,retest_confirmation_entry,retest_confirmed,unclassified,not_evaluated,0.0,,1.86,2.23,3.96,0.85,3.99,0.85,0.15
2025-02,2025-02,B,retest_all_r12,2,2025-02-04 19:35:00,2025-02-04 23:02:30,EURUSD,FX,SHORT,-49.3,-1.0,sl 1.03885,server_16_23,retest_confirmation_entry,retest_confirmed,unclassified,not_evaluated,0.0,,1.37,1.64,0.02,0.87,0.43,0.93,0.07
2025-02,2025-02,B,retest_all_r12,3,2025-02-06 22:50:00,2025-02-07 02:21:56,XAUUSD,XAUUSD,LONG,50.08,1.208,tp 2859.94,server_16_23,retest_confirmation_entry,retest_confirmed,unclassified,not_evaluated,0.0,,1.93,2.31,0.13,0.89,1.21,0.92,0.08
2025-02,2025-02,B,retest_all_r12,4,2025-02-13 20:20:00,2025-02-13 20:40:58,GBPJPY,FX,LONG,-50.82,-1.035,sl 191.637,server_16_23,retest_then_go_after_return_inside,retest_confirmed,unclassified,not_evaluated,0.0,,0.78,0.93,0.22,0.61,0.4,0.98,0.02
2025-02,2025-02,B,retest_all_r12,5,2025-02-21 06:20:00,2025-02-21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,sl 158.112,server_00_07,retest_confirmation_entry,retest_confirmed,unclassified,not_evaluated,0.0,,1.61,1.93,0.18,0.76,1.03,0.76,0.24
2025-02,2025-02,C,breakout_router_all_r12,1,2025-02-21 06:20:00,2025-02-21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,sl 158.112,server_00_07,strong_breakout,router_strong_instant,strong_breakout,clean_context,7.0,h4_mid_pullback|neckline_touch_neutral|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.61,1.93,0.75,0.9,0.7,0.96,0.04
