run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
A,BOTH_5m_new_bar,AUDJPY:SHORT,9,4,5,44.44,60.71,261.43,-200.72,1.302,6.75,65.36,-40.14
A,BOTH_5m_new_bar,EURJPY:LONG,14,1,13,7.14,-486.83,75.19,-562.02,0.134,-34.77,75.19,-43.23
A,BOTH_5m_new_bar,EURJPY:SHORT,4,1,3,25.0,-69.37,66.69,-136.06,0.49,-17.34,66.69,-45.35
A,BOTH_5m_new_bar,EURUSD:LONG,25,13,12,52.0,328.7,842.11,-513.41,1.64,13.15,64.78,-42.78
A,BOTH_5m_new_bar,EURUSD:SHORT,9,2,7,22.22,-169.34,121.65,-290.99,0.418,-18.82,60.83,-41.57
A,BOTH_5m_new_bar,GBPJPY:LONG,3,3,0,100.0,204.33,204.33,0.0,,68.11,68.11,0.0
A,BOTH_5m_new_bar,GBPJPY:SHORT,17,7,10,41.18,5.68,450.69,-445.01,1.013,0.33,64.38,-44.5
A,BOTH_5m_new_bar,GBPUSD:LONG,14,6,8,42.86,23.96,376.11,-352.15,1.068,1.71,62.69,-44.02
A,BOTH_5m_new_bar,GBPUSD:SHORT,17,4,13,23.53,-324.09,238.61,-562.7,0.424,-19.06,59.65,-43.28
A,BOTH_5m_new_bar,USDJPY:LONG,151,57,94,37.75,-76.74,3909.4,-3986.14,0.981,-0.51,68.59,-42.41
A,BOTH_5m_new_bar,USDJPY:SHORT,206,61,145,29.61,-2297.25,4120.62,-6417.87,0.642,-11.15,67.55,-44.26
A,BOTH_5m_new_bar,XAUUSD:LONG,859,378,481,44.0,2648.44,22112.57,-19464.13,1.136,3.08,58.5,-40.47
A,BOTH_5m_new_bar,XAUUSD:SHORT,362,139,223,38.4,-599.11,8152.0,-8751.11,0.932,-1.65,58.65,-39.24
B,LONG_ONLY_5m_new_bar,EURJPY:LONG,15,1,14,6.67,-603.08,75.19,-678.27,0.111,-40.21,75.19,-48.45
B,LONG_ONLY_5m_new_bar,EURUSD:LONG,47,18,29,38.3,-56.74,1365.67,-1422.41,0.96,-1.21,75.87,-49.05
B,LONG_ONLY_5m_new_bar,GBPJPY:LONG,3,3,0,100.0,248.14,248.14,0.0,,82.71,82.71,0.0
B,LONG_ONLY_5m_new_bar,GBPUSD:LONG,15,7,8,46.67,103.96,505.91,-401.95,1.259,6.93,72.27,-50.24
B,LONG_ONLY_5m_new_bar,USDJPY:LONG,189,71,118,37.57,32.15,6191.37,-6159.22,1.005,0.17,87.2,-52.2
B,LONG_ONLY_5m_new_bar,XAUUSD:LONG,915,405,510,44.26,4053.39,30059.11,-26005.72,1.156,4.43,74.22,-50.99
C,SHORT_ONLY_5m_new_bar,AUDJPY:SHORT,9,4,5,44.44,49.88,247.75,-197.87,1.252,5.54,61.94,-39.57
C,SHORT_ONLY_5m_new_bar,EURJPY:SHORT,9,4,5,44.44,66.28,286.42,-220.14,1.301,7.36,71.6,-44.03
C,SHORT_ONLY_5m_new_bar,EURUSD:SHORT,17,4,13,23.53,-287.89,232.98,-520.87,0.447,-16.93,58.24,-40.07
C,SHORT_ONLY_5m_new_bar,GBPJPY:SHORT,19,6,13,31.58,-217.62,360.73,-578.35,0.624,-11.45,60.12,-44.49
C,SHORT_ONLY_5m_new_bar,GBPUSD:SHORT,22,8,14,36.36,-133.45,452.75,-586.2,0.772,-6.07,56.59,-41.87
C,SHORT_ONLY_5m_new_bar,USDJPY:SHORT,296,97,199,32.77,-2173.97,6034.1,-8208.07,0.735,-7.34,62.21,-41.25
C,SHORT_ONLY_5m_new_bar,XAUUSD:SHORT,385,148,237,38.44,-731.6,7732.23,-8463.83,0.914,-1.9,52.24,-35.71
D,LONG_ONLY_DowFractal_5m_new_bar,EURJPY:LONG,7,1,6,14.29,-241.75,75.04,-316.79,0.237,-34.54,75.04,-52.8
D,LONG_ONLY_DowFractal_5m_new_bar,EURUSD:LONG,29,10,19,34.48,-228.94,788.57,-1017.51,0.775,-7.89,78.86,-53.55
D,LONG_ONLY_DowFractal_5m_new_bar,GBPJPY:LONG,3,2,1,66.67,127.71,178.7,-50.99,3.505,42.57,89.35,-50.99
D,LONG_ONLY_DowFractal_5m_new_bar,GBPUSD:LONG,7,5,2,71.43,278.49,392.03,-113.54,3.453,39.78,78.41,-56.77
D,LONG_ONLY_DowFractal_5m_new_bar,USDJPY:LONG,95,42,53,44.21,539.69,3551.3,-3011.61,1.179,5.68,84.55,-56.82
D,LONG_ONLY_DowFractal_5m_new_bar,XAUUSD:LONG,534,238,296,44.57,2874.71,19371.38,-16496.67,1.174,5.38,81.39,-55.73
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,XAUUSD:LONG,549,244,305,44.44,2880.52,19731.29,-16850.77,1.171,5.25,80.87,-55.25
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,AUDJPY:SHORT,11,4,7,36.36,-33.38,278.57,-311.95,0.893,-3.03,69.64,-44.56
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,EURJPY:LONG,15,1,14,6.67,-549.68,75.19,-624.87,0.12,-36.65,75.19,-44.63
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,EURJPY:SHORT,7,1,6,14.29,-224.75,69.01,-293.76,0.235,-32.11,69.01,-48.96
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,EURUSD:LONG,41,18,23,43.9,203.12,1233.71,-1030.59,1.197,4.95,68.54,-44.81
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,EURUSD:SHORT,10,3,7,30.0,-118.78,198.81,-317.59,0.626,-11.88,66.27,-45.37
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,GBPJPY:LONG,3,3,0,100.0,224.98,224.98,0.0,,74.99,74.99,0.0
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,GBPJPY:SHORT,16,5,11,31.25,-165.71,343.62,-509.33,0.675,-10.36,68.72,-46.3
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,GBPUSD:LONG,15,7,8,46.67,86.46,463.36,-376.9,1.229,5.76,66.19,-47.11
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,GBPUSD:SHORT,17,4,13,23.53,-336.02,271.2,-607.22,0.447,-19.77,67.8,-46.71
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,USDJPY:LONG,151,57,94,37.75,35.89,4483.77,-4447.88,1.008,0.24,78.66,-47.32
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,XAUUSD:LONG,905,400,505,44.2,3647.81,26631.46,-22983.65,1.159,4.03,66.58,-45.51
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,XAUUSD:SHORT,375,146,229,38.93,-532.38,9493.86,-10026.24,0.947,-1.42,65.03,-43.78
