period,variant,scenario,signal_mode,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,elapsed_seconds,csv_bytes,fx_net,xauusd_net,xauusd_trade_share_pct,long_net,short_net,largest_direction_share_pct,chasing_entry_ratio_pct,third_wave_initial_ratio_pct,third_wave_middle_ratio_pct,good_label_ratio_pct
2025-02,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,5,3,2,60.0,109.22,2.099,21.84,0.499,99.42,0.99,62.7,515323,0,109.22,100.0,-28.12,137.34,60.0,100.0,0.0,0.0,0.0
2025-02,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,15,7,8,46.67,107.19,1.275,7.15,0.16,155.39,1.53,62.8,574028,65.71,41.48,60.0,-153.07,260.26,53.33,86.67,0.0,0.0,0.0
2025-02,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,18,9,9,50.0,190.77,1.427,10.6,0.246,167.39,1.64,62.8,664171,65.71,125.06,66.67,-135.71,326.48,55.56,88.89,0.0,0.0,0.0
2025-08,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,11,4,7,36.36,-46.67,0.863,-4.24,-0.096,196.53,1.95,72.9,557450,28.25,-74.92,81.82,69.15,-115.82,54.55,90.91,9.09,0.0,9.09
2025-08,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,22,10,12,45.45,131.47,1.221,5.98,0.143,201.37,1.96,72.9,646611,-154.05,285.52,86.36,215.08,-83.61,59.09,81.82,13.64,0.0,13.64
2025-08,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,26,11,15,42.31,66.5,1.09,2.56,0.064,266.48,2.61,73.0,728802,-126.38,192.88,80.77,218.81,-152.31,50.0,80.77,15.38,0.0,15.38
2025-10,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,15,7,8,46.67,115.76,1.311,7.72,0.165,96.61,0.95,72.9,607916,53.04,62.72,73.33,256.84,-141.08,80.0,93.33,6.67,0.0,6.67
2025-10,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,20,8,12,40.0,-2.23,0.996,-0.11,-0.004,164.29,1.64,73.0,717604,-14.48,12.25,75.0,60.13,-62.36,70.0,85.0,0.0,10.0,10.0
2025-10,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,25,12,13,48.0,229.65,1.386,9.19,0.198,139.18,1.39,73.1,826282,65.97,163.68,76.0,290.07,-60.42,76.0,88.0,0.0,8.0,8.0
2026-Q1,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,37,14,23,37.84,-124.41,0.889,-3.36,-0.055,319.97,3.14,174.5,1688070,-34.41,-90.0,78.38,-97.92,-26.49,59.46,78.38,2.7,8.11,10.81
2026-Q1,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,66,31,35,46.97,1019.26,1.587,15.44,0.186,454.55,3.99,174.9,2011491,240.11,779.15,80.3,137.37,881.89,63.64,90.91,1.52,4.55,6.06
2026-Q1,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,73,35,38,47.95,1156.36,1.61,15.84,0.21,483.84,4.19,184.8,2297417,131.18,1025.18,79.45,143.6,1012.76,60.27,86.3,2.74,5.48,8.22
