run,scenario,kind,group,rows
A,BOTH_5m_new_bar,entry_by_symbol,AUDJPY,38
A,BOTH_5m_new_bar,entry_by_symbol,EURJPY,92
A,BOTH_5m_new_bar,entry_by_symbol,EURUSD,138
A,BOTH_5m_new_bar,entry_by_symbol,GBPJPY,103
A,BOTH_5m_new_bar,entry_by_symbol,GBPUSD,124
A,BOTH_5m_new_bar,entry_by_symbol,USDJPY,1159
A,BOTH_5m_new_bar,entry_by_symbol,XAUUSD,3804
A,BOTH_5m_new_bar,entry_by_direction,LONG,3449
A,BOTH_5m_new_bar,entry_by_direction,SHORT,2009
A,BOTH_5m_new_bar,best_by_symbol,AUDJPY,3935
A,BOTH_5m_new_bar,best_by_symbol,EURJPY,5442
A,BOTH_5m_new_bar,best_by_symbol,EURUSD,2015
A,BOTH_5m_new_bar,best_by_symbol,GBPJPY,4286
A,BOTH_5m_new_bar,best_by_symbol,GBPUSD,2058
A,BOTH_5m_new_bar,best_by_symbol,USDJPY,17601
A,BOTH_5m_new_bar,best_by_symbol,XAUUSD,38311
A,BOTH_5m_new_bar,best_by_direction,LONG,41197
A,BOTH_5m_new_bar,best_by_direction,SHORT,32451
B,LONG_ONLY_5m_new_bar,entry_by_symbol,AUDJPY,9
B,LONG_ONLY_5m_new_bar,entry_by_symbol,EURJPY,52
B,LONG_ONLY_5m_new_bar,entry_by_symbol,EURUSD,156
B,LONG_ONLY_5m_new_bar,entry_by_symbol,GBPJPY,28
B,LONG_ONLY_5m_new_bar,entry_by_symbol,GBPUSD,59
B,LONG_ONLY_5m_new_bar,entry_by_symbol,USDJPY,614
B,LONG_ONLY_5m_new_bar,entry_by_symbol,XAUUSD,2863
B,LONG_ONLY_5m_new_bar,entry_by_direction,LONG,3781
B,LONG_ONLY_5m_new_bar,best_by_symbol,AUDJPY,3756
B,LONG_ONLY_5m_new_bar,best_by_symbol,EURJPY,5307
B,LONG_ONLY_5m_new_bar,best_by_symbol,EURUSD,2877
B,LONG_ONLY_5m_new_bar,best_by_symbol,GBPJPY,3455
B,LONG_ONLY_5m_new_bar,best_by_symbol,GBPUSD,2541
B,LONG_ONLY_5m_new_bar,best_by_symbol,USDJPY,15322
B,LONG_ONLY_5m_new_bar,best_by_symbol,XAUUSD,40390
B,LONG_ONLY_5m_new_bar,best_by_direction,LONG,73648
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,AUDJPY,12
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,EURJPY,31
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,EURUSD,28
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,GBPJPY,42
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,GBPUSD,35
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,USDJPY,309
C,SHORT_ONLY_5m_new_bar,entry_by_symbol,XAUUSD,389
C,SHORT_ONLY_5m_new_bar,entry_by_direction,SHORT,846
C,SHORT_ONLY_5m_new_bar,best_by_symbol,AUDJPY,2890
C,SHORT_ONLY_5m_new_bar,best_by_symbol,EURJPY,3243
C,SHORT_ONLY_5m_new_bar,best_by_symbol,EURUSD,3635
C,SHORT_ONLY_5m_new_bar,best_by_symbol,GBPJPY,2816
C,SHORT_ONLY_5m_new_bar,best_by_symbol,GBPUSD,3642
C,SHORT_ONLY_5m_new_bar,best_by_symbol,USDJPY,15160
C,SHORT_ONLY_5m_new_bar,best_by_symbol,XAUUSD,42262
C,SHORT_ONLY_5m_new_bar,best_by_direction,SHORT,73648
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,AUDJPY,9
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,EURJPY,28
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,EURUSD,97
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,GBPJPY,27
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,GBPUSD,34
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,USDJPY,311
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,XAUUSD,1683
D,LONG_ONLY_DowFractal_5m_new_bar,entry_by_direction,LONG,2189
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,AUDJPY,5175
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,EURJPY,5806
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,EURUSD,5822
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,GBPJPY,4882
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,GBPUSD,5171
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,USDJPY,13122
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,XAUUSD,33670
D,LONG_ONLY_DowFractal_5m_new_bar,best_by_direction,LONG,73648
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,entry_by_symbol,XAUUSD,575
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,entry_by_direction,LONG,575
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,best_by_symbol,XAUUSD,73648
