scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,max_consecutive_losses,monthly_net,monthly_trades,symbol_distribution,direction_distribution,FX_net,XAUUSD_net,LONG_net,SHORT_net,clean_or_acceptable_pct
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-01,8,37.5,1.354,0.224,87.94,198.5,1.97,1.329,1.413,50.0,50.0,37.5,4,2024-01:87.94,2024-01:8,EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:2;XAUUSD:3,LONG:5;SHORT:3,-100.42,188.36,87.51,0.43,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-02,5,0.0,0.0,-1.007,-248.04,248.04,2.48,0.55,1.387,40.0,20.0,0.0,5,2024-02:-248.04,2024-02:5,EURUSD:1;GBPJPY:1;USDJPY:1;XAUUSD:2,LONG:3;SHORT:2,-148.47,-99.57,-151.12,-96.92,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-03,10,50.0,2.013,0.529,247.08,147.83,1.44,1.601,0.719,80.0,60.0,50.0,3,2024-03:247.08,2024-03:10,EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:1;XAUUSD:5,LONG:6;SHORT:4,-97.3,344.38,299.16,-52.08,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-04,5,40.0,1.201,0.133,33.42,165.96,1.64,1.618,2.011,80.0,40.0,40.0,3,2024-04:33.42,2024-04:5,XAUUSD:5,LONG:3;SHORT:2,0,33.42,136.8,-103.38,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-05,1,0.0,0.0,-1.035,-49.7,49.7,0.5,0.917,1.719,100.0,0.0,0.0,1,2024-05:-49.7,2024-05:1,XAUUSD:1,LONG:1,0,-49.7,-49.7,0,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-06,7,57.14,2.691,0.721,251.08,51.52,0.51,1.77,0.804,71.43,71.43,57.14,2,2024-06:251.08,2024-06:7,GBPJPY:1;XAUUSD:6,LONG:2;SHORT:5,97.96,153.12,49.46,201.62,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-07,11,36.36,1.125,0.085,44.48,153.44,1.53,1.436,1.021,54.55,45.45,36.36,3,2024-07:44.48,2024-07:11,AUDJPY:1;EURJPY:1;GBPJPY:2;GBPUSD:1;USDJPY:1;XAUUSD:5,LONG:6;SHORT:5,147.31,-102.83,298.84,-254.36,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-08,5,20.0,0.464,-0.468,-119.88,172.1,1.72,1.334,1.031,40.0,20.0,20.0,3,2024-08:-119.88,2024-08:5,GBPJPY:1;USDJPY:2;XAUUSD:2,LONG:1;SHORT:4,-18.53,-101.35,-67.49,-52.39,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-09,10,20.0,0.473,-0.423,-214.79,257.8,2.58,0.955,1.423,60.0,30.0,20.0,5,2024-09:-214.79,2024-09:10,EURUSD:1;GBPJPY:1;USDJPY:2;XAUUSD:6,LONG:5;SHORT:5,-207.93,-6.86,46.71,-261.5,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-10,10,30.0,0.823,-0.118,-62.01,197.31,1.97,1.032,1.117,70.0,40.0,30.0,4,2024-10:-62.01,2024-10:10,EURJPY:1;GBPJPY:1;XAUUSD:8,LONG:4;SHORT:6,-97.39,35.38,-45.62,-16.39,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-11,7,28.57,0.834,-0.139,-39.94,143.13,1.42,1.489,1.004,71.43,42.86,28.57,3,2024-11:-39.94,2024-11:7,XAUUSD:7,LONG:1;SHORT:6,0,-39.94,-48.62,8.68,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2024-12,3,0.0,0.0,-1.005,-145.12,145.12,1.45,0.346,1.713,0.0,0.0,0.0,3,2024-12:-145.12,2024-12:3,USDJPY:1;XAUUSD:2,LONG:1;SHORT:2,-46.91,-98.21,-46.91,-98.21,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-01,6,33.33,1.314,0.219,63.35,201.5,1.96,1.189,1.207,50.0,33.33,33.33,4,2025-01:63.35,2025-01:6,AUDJPY:1;EURJPY:1;GBPUSD:1;XAUUSD:3,LONG:5;SHORT:1,215.03,-151.68,113.75,-50.4,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-02,6,33.33,0.961,-0.016,-7.86,153.38,1.53,1.381,1.218,83.33,66.67,33.33,3,2025-02:-7.86,2025-02:6,EURUSD:1;GBPJPY:1;USDJPY:1;XAUUSD:3,LONG:3;SHORT:3,-5.7,-2.16,-4.64,-3.22,100.0
