period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,2024-01,20,8,12,40.0,2.17,609.22,-607.05,1.004,0.11,76.15,-50.59
2024,all,10,2024-02,3,2,1,66.67,106.55,150.29,-43.74,3.436,35.52,75.15,-43.74
2024,all,10,2024-03,8,5,3,62.5,189.98,347.41,-157.43,2.207,23.75,69.48,-52.48
2024,all,10,2024-04,7,4,3,57.14,147.73,300.47,-152.74,1.967,21.1,75.12,-50.91
2024,all,10,2024-05,6,3,3,50.0,69.1,228.43,-159.33,1.434,11.52,76.14,-53.11
2024,all,10,2024-06,8,3,5,37.5,-34.8,223.86,-258.66,0.865,-4.35,74.62,-51.73
2024,all,10,2024-07,16,9,7,56.25,320.83,692.25,-371.42,1.864,20.05,76.92,-53.06
2024,all,10,2024-08,17,4,13,23.53,-382.28,285.04,-667.32,0.427,-22.49,71.26,-51.33
2024,all,10,2024-09,10,3,7,30.0,-152.4,218.58,-370.98,0.589,-15.24,72.86,-53.0
2024,all,10,2024-10,13,6,7,46.15,90.2,430.74,-340.54,1.265,6.94,71.79,-48.65
2024,all,10,2024-11,16,9,7,56.25,240.48,597.74,-357.26,1.673,15.03,66.42,-51.04
2024,all,10,2024-12,8,3,5,37.5,-31.74,229.43,-261.17,0.878,-3.97,76.48,-52.23
2024,all,15,2024-01,18,5,13,27.78,-289.33,371.28,-660.61,0.562,-16.07,74.26,-50.82
2024,all,15,2024-02,3,1,2,33.33,-19.76,71.22,-90.98,0.783,-6.59,71.22,-45.49
2024,all,15,2024-03,9,4,5,44.44,-20.7,270.9,-291.6,0.929,-2.3,67.72,-58.32
2024,all,15,2024-04,3,3,0,100.0,185.23,185.23,0.0,,61.74,61.74,0.0
2024,all,15,2024-05,3,0,3,0.0,-143.9,0.0,-143.9,0.0,-47.97,0.0,-47.97
2024,all,15,2024-06,5,2,3,40.0,-2.4,144.0,-146.4,0.984,-0.48,72.0,-48.8
2024,all,15,2024-07,12,7,5,58.33,243.38,489.61,-246.23,1.988,20.28,69.94,-49.25
2024,all,15,2024-08,11,4,7,36.36,-89.12,259.23,-348.35,0.744,-8.1,64.81,-49.76
2024,all,15,2024-09,5,1,4,20.0,-140.8,66.19,-206.99,0.32,-28.16,66.19,-51.75
2024,all,15,2024-10,9,4,5,44.44,23.84,259.08,-235.24,1.101,2.65,64.77,-47.05
