period,variant,context,scenario,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,max_drawdown,max_drawdown_pct,avg_R,elapsed_seconds,raw_wave_audit_rows,csv_bytes,xauusd_trade_share_pct,xauusd_net_profit,long_trades,long_net_profit,short_trades,short_net_profit,third_wave_initial_trades,third_wave_middle_trades,late_entry_trades,chasing_entry_trades,invalid_structure_trades,range_noise_trades,unclear_trades
2025-02,current,2025 losing-period sample,ThirdWave_regime_BOTH_all_5m,16,10,6,62.5,373.68,2.293,23.36,102.46,0.99,0.502,73.0,247,579884,81.25,270.71,10,237.09,6,136.59,0,1,0,15,0,0,0
2025-02,v2_audit_filtered,2025 losing-period sample,ThirdWave_v2_audit_filtered_BOTH_all_5m,3,3,0,100.0,214.6,,71.53,0.0,0.0,1.517,62.7,91,472791,33.33,64.96,2,139.66,1,74.94,0,1,0,2,0,0,0
2025-02,v3_entry_timing,2025 losing-period sample,ThirdWave_v3_entry_timing_BOTH_all_5m,1,1,0,100.0,73.77,,73.77,0.0,0.0,1.502,62.6,201,530543,0.0,0,1,73.77,0,0,0,1,0,0,0,0,0
2025-02,v4_early_reversal,2025 losing-period sample,ThirdWave_v4_early_reversal_BOTH_all_5m,27,13,14,48.15,278.18,1.422,10.3,199.11,1.95,0.226,62.9,631,811074,48.15,78.2,16,-26.73,11,304.91,1,0,2,23,0,0,1
2025-08,current,2025 comparison sample,ThirdWave_regime_BOTH_all_5m,13,5,8,38.46,-40.11,0.899,-3.09,247.81,2.45,-0.032,73.0,187,587739,92.31,-116.33,6,-70.61,7,30.5,0,1,0,11,0,0,1
2025-08,v2_audit_filtered,2025 comparison sample,ThirdWave_v2_audit_filtered_BOTH_all_5m,7,3,4,42.86,23.64,1.118,3.38,150.75,1.49,0.078,72.8,101,532463,85.71,-53.53,3,-28.71,4,52.35,0,2,0,5,0,0,0
2025-08,v3_entry_timing,2025 comparison sample,ThirdWave_v3_entry_timing_BOTH_all_5m,1,0,1,0.0,-51.0,0.0,-51.0,51.0,0.51,-1.027,72.6,150,547618,100.0,-51.0,0,0,1,-51.0,0,1,0,0,0,0,0
2025-08,v4_early_reversal,2025 comparison sample,ThirdWave_v4_early_reversal_BOTH_all_5m,33,15,18,45.45,195.88,1.215,5.94,385.97,3.67,0.142,73.1,641,883189,84.85,322.8,19,276.69,14,-80.81,4,0,2,27,0,0,0
2025-10,current,2025 comparison sample,ThirdWave_regime_BOTH_all_5m,20,11,9,55.0,345.18,1.823,17.26,176.76,1.75,0.378,83.1,278,671823,80.0,292.68,15,236.4,5,108.78,0,0,1,19,0,0,0
2025-10,v2_audit_filtered,2025 comparison sample,ThirdWave_v2_audit_filtered_BOTH_all_5m,15,10,5,66.67,478.4,3.043,31.89,98.94,0.98,0.673,73.0,170,609383,80.0,370.67,11,425.04,4,53.36,0,0,1,14,0,0,0
2025-10,v3_entry_timing,2025 comparison sample,ThirdWave_v3_entry_timing_BOTH_all_5m,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,72.7,215,601430,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,v4_early_reversal,2025 comparison sample,ThirdWave_v4_early_reversal_BOTH_all_5m,38,16,22,42.11,79.24,1.077,2.09,253.1,2.48,0.048,73.1,845,1042588,73.68,94.1,28,222.62,10,-143.38,0,3,0,33,0,0,2
2026-Q1,current,2026YTD sample,ThirdWave_regime_BOTH_all_5m,60,27,33,45.0,610.21,1.402,10.17,278.5,2.65,0.154,185.1,852,1948911,83.33,600.57,29,87.84,31,522.37,1,3,1,55,0,0,0
2026-Q1,v2_audit_filtered,2026YTD sample,ThirdWave_v2_audit_filtered_BOTH_all_5m,33,16,17,48.48,483.62,1.638,14.66,197.67,1.93,0.265,194.6,475,1686594,90.91,508.96,21,101.35,12,382.27,1,3,0,29,0,0,0
2026-Q1,v3_entry_timing,2026YTD sample,ThirdWave_v3_entry_timing_BOTH_all_5m,2,1,1,50.0,23.58,1.506,11.79,46.62,0.47,0.262,194.2,645,1712878,100.0,23.58,2,23.58,0,0,1,1,0,0,0,0,0
2026-Q1,v4_early_reversal,2026YTD sample,ThirdWave_v4_early_reversal_BOTH_all_5m,96,43,53,44.79,1047.07,1.397,10.91,541.77,4.72,0.131,205.5,2327,2917797,78.12,960.11,36,-169.9,60,1216.97,1,3,4,87,0,0,1
