period,scenario,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,LONG,2,0,2,0.0,-87.02,0.0,-43.51,-1.016,87.02,0.87,-48.66,-38.36,-87.02,0,1.199,1.321,100.0,50.0,0.0,50.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,SHORT,4,1,3,25.0,-52.88,0.639,-13.22,-0.249,146.33,1.46,-7.72,-45.16,0,-52.88,1.133,1.157,75.0,50.0,25.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,14,1,13,7.14,-516.66,0.16,-36.9,-0.796,516.66,5.17,-372.62,-144.04,-516.66,0,0.817,1.321,50.0,42.86,7.14,71.43
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,13,3,10,23.08,-200.02,0.559,-15.39,-0.314,357.25,3.54,-101.04,-98.98,0,-200.02,1.38,1.088,84.62,61.54,30.77,46.15
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,LONG,14,1,13,7.14,-515.34,0.161,-36.81,-0.796,515.34,5.15,-371.3,-144.04,-515.34,0,0.817,1.321,50.0,42.86,7.14,71.43
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,SHORT,11,2,9,18.18,-247.74,0.388,-22.52,-0.462,404.97,4.01,-148.76,-98.98,0,-247.74,1.268,1.144,81.82,54.55,18.18,54.55
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,6,1,5,16.67,-123.55,0.444,-20.59,-0.513,126.14,1.26,-45.04,-78.51,-123.55,0,1.046,1.144,83.33,66.67,16.67,66.67
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,SHORT,11,2,9,18.18,-224.42,0.464,-20.4,-0.464,247.1,2.47,-101.12,-123.3,0,-224.42,1.078,1.182,72.73,45.45,18.18,54.55
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,LONG,6,1,5,16.67,-123.55,0.444,-20.59,-0.513,126.14,1.26,-45.04,-78.51,-123.55,0,1.046,1.144,83.33,66.67,16.67,66.67
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,SHORT,9,1,8,11.11,-277.61,0.252,-30.85,-0.678,292.17,2.92,-154.31,-123.3,0,-277.61,1.01,1.255,77.78,44.44,11.11,66.67
