period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,AUDJPY,2,0,2,0.0,-106.14,0.0,-106.14,0.0,-53.07,0.0,-53.07
2024,all,10,EURJPY,8,1,7,12.5,-282.59,75.36,-357.95,0.211,-35.32,75.36,-51.14
2024,all,10,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,all,10,GBPJPY,12,8,4,66.67,403.88,605.67,-201.79,3.001,33.66,75.71,-50.45
2024,all,10,GBPUSD,1,0,1,0.0,-50.4,0.0,-50.4,0.0,-50.4,0.0,-50.4
2024,all,10,USDJPY,15,8,7,53.33,255.4,620.75,-365.35,1.699,17.03,77.59,-52.19
2024,all,10,XAUUSD,93,42,51,45.16,395.59,3011.68,-2616.09,1.151,4.25,71.71,-51.3
2024,all,15,AUDJPY,1,0,1,0.0,-42.85,0.0,-42.85,0.0,-42.85,0.0,-42.85
2024,all,15,EURJPY,9,2,7,22.22,-196.14,144.18,-340.32,0.424,-21.79,72.09,-48.62
2024,all,15,GBPJPY,11,6,5,54.55,187.5,438.08,-250.58,1.748,17.05,73.01,-50.12
2024,all,15,GBPUSD,3,0,3,0.0,-157.56,0.0,-157.56,0.0,-52.52,0.0,-52.52
2024,all,15,USDJPY,10,3,7,30.0,-134.97,212.14,-347.11,0.611,-13.5,70.71,-49.59
2024,all,15,XAUUSD,65,29,36,44.62,100.67,1897.9,-1797.23,1.056,1.55,65.44,-49.92
2024,all,5,AUDJPY,2,0,2,0.0,-106.14,0.0,-106.14,0.0,-53.07,0.0,-53.07
2024,all,5,EURJPY,12,3,9,25.0,-258.3,231.44,-489.74,0.473,-21.52,77.15,-54.42
2024,all,5,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,all,5,GBPJPY,19,11,8,57.89,428.99,828.4,-399.41,2.074,22.58,75.31,-49.93
2024,all,5,GBPUSD,3,0,3,0.0,-161.57,0.0,-161.57,0.0,-53.86,0.0,-53.86
2024,all,5,USDJPY,19,10,9,52.63,303.58,770.52,-466.94,1.65,15.98,77.05,-51.88
2024,all,5,XAUUSD,122,54,68,44.26,557.61,4028.58,-3470.97,1.161,4.57,74.6,-51.04
2024,best,10,AUDJPY,1,0,1,0.0,-52.2,0.0,-52.2,0.0,-52.2,0.0,-52.2
2024,best,10,EURJPY,5,0,5,0.0,-247.36,0.0,-247.36,0.0,-49.47,0.0,-49.47
2024,best,10,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,best,10,GBPJPY,9,6,3,66.67,295.93,446.49,-150.56,2.966,32.88,74.41,-50.19
2024,best,10,GBPUSD,1,0,1,0.0,-50.4,0.0,-50.4,0.0,-50.4,0.0,-50.4
2024,best,10,USDJPY,14,8,6,57.14,305.86,620.75,-314.89,1.971,21.85,77.59,-52.48
2024,best,10,XAUUSD,91,41,50,45.05,382.77,2950.8,-2568.03,1.149,4.21,71.97,-51.36
2024,best,15,AUDJPY,1,0,1,0.0,-42.85,0.0,-42.85,0.0,-42.85,0.0,-42.85
2024,best,15,EURJPY,7,1,6,14.29,-221.33,73.33,-294.66,0.249,-31.62,73.33,-49.11
2024,best,15,GBPJPY,9,4,5,44.44,37.7,288.03,-250.33,1.151,4.19,72.01,-50.07
2024,best,15,GBPUSD,3,0,3,0.0,-157.56,0.0,-157.56,0.0,-52.52,0.0,-52.52
2024,best,15,USDJPY,8,3,5,37.5,-32.5,215.74,-248.24,0.869,-4.06,71.91,-49.65
2024,best,15,XAUUSD,64,29,35,45.31,151.5,1897.9,-1746.4,1.087,2.37,65.44,-49.9
2024,best,5,AUDJPY,1,0,1,0.0,-52.2,0.0,-52.2,0.0,-52.2,0.0,-52.2
2024,best,5,EURJPY,7,0,7,0.0,-351.77,0.0,-351.77,0.0,-50.25,0.0,-50.25
2024,best,5,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,0.0,-49.92,0.0,-49.92
2024,best,5,GBPJPY,13,8,5,61.54,345.3,594.72,-249.42,2.384,26.56,74.34,-49.88
2024,best,5,GBPUSD,3,0,3,0.0,-160.37,0.0,-160.37,0.0,-53.46,0.0,-53.46
2024,best,5,USDJPY,15,10,5,66.67,498.12,767.51,-269.39,2.849,33.21,76.75,-53.88
2024,best,5,XAUUSD,119,53,66,44.54,603.25,4009.87,-3406.62,1.177,5.07,75.66,-51.62
2025,all,10,AUDJPY,1,0,1,0.0,-52.31,0.0,-52.31,0.0,-52.31,0.0,-52.31
2025,all,10,EURJPY,3,0,3,0.0,-151.19,0.0,-151.19,0.0,-50.4,0.0,-50.4
2025,all,10,EURUSD,4,1,3,25.0,-76.14,69.0,-145.14,0.475,-19.04,69.0,-48.38
2025,all,10,GBPJPY,1,0,1,0.0,-46.47,0.0,-46.47,0.0,-46.47,0.0,-46.47
2025,all,10,GBPUSD,4,1,3,25.0,-79.54,67.36,-146.9,0.459,-19.89,67.36,-48.97
2025,all,10,USDJPY,27,7,20,25.93,-460.07,516.85,-976.92,0.529,-17.04,73.84,-48.85
2025,all,10,XAUUSD,162,65,97,40.12,103.09,4463.71,-4360.62,1.024,0.64,68.67,-44.95
2025,all,15,AUDJPY,1,0,1,0.0,-50.85,0.0,-50.85,0.0,-50.85,0.0,-50.85
2025,all,15,EURJPY,5,1,4,20.0,-127.5,70.56,-198.06,0.356,-25.5,70.56,-49.52
2025,all,15,EURUSD,4,3,1,75.0,169.94,219.99,-50.05,4.395,42.48,73.33,-50.05
2025,all,15,GBPUSD,3,1,2,33.33,-25.55,72.88,-98.43,0.74,-8.52,72.88,-49.22
2025,all,15,USDJPY,21,6,15,28.57,-300.48,450.66,-751.14,0.6,-14.31,75.11,-50.08
2025,all,15,XAUUSD,113,49,64,43.36,215.53,3290.25,-3074.72,1.07,1.91,67.15,-48.04
2025,all,5,AUDJPY,2,1,1,50.0,19.34,71.65,-52.31,1.37,9.67,71.65,-52.31
2025,all,5,EURJPY,8,3,5,37.5,-27.41,217.27,-244.68,0.888,-3.43,72.42,-48.94
2025,all,5,EURUSD,9,3,6,33.33,-76.32,216.09,-292.41,0.739,-8.48,72.03,-48.74
2025,all,5,GBPJPY,2,1,1,50.0,25.03,72.14,-47.11,1.531,12.52,72.14,-47.11
2025,all,5,GBPUSD,7,2,5,28.57,-107.8,138.08,-245.88,0.562,-15.4,69.04,-49.18
2025,all,5,USDJPY,37,13,24,35.14,-243.66,953.74,-1197.4,0.797,-6.59,73.36,-49.89
2025,all,5,XAUUSD,204,83,121,40.69,-21.16,5633.88,-5655.04,0.996,-0.1,67.88,-46.74
2025,best,10,AUDJPY,1,0,1,0.0,-52.31,0.0,-52.31,0.0,-52.31,0.0,-52.31
2025,best,10,EURJPY,2,0,2,0.0,-100.77,0.0,-100.77,0.0,-50.39,0.0,-50.39
2025,best,10,EURUSD,3,1,2,33.33,-27.0,69.0,-96.0,0.719,-9.0,69.0,-48.0
2025,best,10,GBPJPY,1,0,1,0.0,-46.47,0.0,-46.47,0.0,-46.47,0.0,-46.47
2025,best,10,GBPUSD,3,0,3,0.0,-146.78,0.0,-146.78,0.0,-48.93,0.0,-48.93
2025,best,10,USDJPY,24,6,18,25.0,-436.54,444.03,-880.57,0.504,-18.19,74.0,-48.92
