period,run_id,scenario,source,symbol,direction,time,close_time,entry_price,sl,tp,result_R,net_profit,fx_bucket,session,month,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok,audit_h4_bias_ok,audit_h1_pullback_ok,audit_h1_clean_pullback_type,audit_m15_reversal_ok,audit_dow_structure_ok,audit_room_to_target_ok,audit_fractal_entry_quality,audit_failure_type
2025-02,A,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,condition_factorial,EURJPY,SHORT,2025.02.04 17:20:00,2025.02.05 01:46:44,160.423,160.674,159.921,2.008,96.23,FX,server_16_23,2025-02,USDJPY,2.331,0.721,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.01,last_higher_low,160.172,m15_prev_extreme_bos,2.12,1.06,h4_impulse_low,159.892,1.58,0.0,1.58,condition_factorial_candidate,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
2025-02,A,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,condition_factorial,EURUSD,SHORT,2025.02.07 17:35:00,2025.02.07 18:40:15,1.03767,1.0401,1.03281,2.0,97.2,FX,server_16_23,2025-02,USDJPY,2.296,0.374,true,true,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.74,weak_higher_low,1.03719,m15_true_bos_close,0.2,0.1,h1_counter_low,1.03719,1.81,0.0,0.36,condition_factorial_candidate,true,false,true,true,false,true,true,false,true,false,false,true,true,true,prev_extreme_break,true,true,false,unclear,
2025-02,A,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,condition_factorial,USDJPY,LONG,2025.02.19 19:50:00,2025.02.19 21:08:21,151.744,151.525,152.182,-1.005,-50.82,FX,server_16_23,2025-02,USDJPY,0.361,1.644,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.37,weak_lower_high,151.948,m15_prev_extreme_bos,0.93,0.47,h1_counter_high,151.948,1.84,0.0,1.72,condition_factorial_candidate,false,true,false,true,false,true,true,true,false,false,false,true,true,true,prev_extreme_break,true,true,false,chasing,target_blocked
2025-02,A,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,condition_factorial,XAUUSD,SHORT,2025.02.21 22:05:00,2025.02.24 01:02:04,2935.86,2939.19,2929.2,-1.039,-47.84,XAUUSD,server_16_23,2025-02,USDJPY,1.165,1.396,true,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.77,last_higher_low,2921.59,m15_prev_extreme_bos,3.54,1.77,h4_impulse_low,2924.08,1.14,0.0,4.89,condition_factorial_candidate,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
2025-02,A,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,condition_factorial,USDJPY,SHORT,2025.02.24 16:50:00,2025.02.24 17:06:13,149.423,149.506,149.257,2.0,102.32,FX,server_16_23,2025-02,USDJPY,2.434,1.133,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.5,last_higher_low,149.226,m15_prev_extreme_bos,2.04,1.02,h4_impulse_low,149.254,0.61,0.0,1.45,condition_factorial_candidate,true,true,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
2025-02,B,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,EURJPY,SHORT,2025.02.04 17:20:00,2025.02.05 01:46:44,160.423,160.674,159.921,2.008,96.23,FX,server_16_23,2025-02,USDJPY,2.331,0.721,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.01,last_higher_low,160.172,m15_prev_extreme_bos,2.12,1.06,h4_impulse_low,159.892,1.58,0.0,1.58,fixed_room2r,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
2025-02,B,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,XAUUSD,SHORT,2025.02.21 22:05:00,2025.02.24 01:02:04,2935.86,2939.19,2929.2,-1.039,-47.84,XAUUSD,server_16_23,2025-02,USDJPY,1.165,1.396,true,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.77,last_higher_low,2921.59,m15_prev_extreme_bos,3.54,1.77,h4_impulse_low,2924.08,1.14,0.0,4.89,fixed_room2r,false,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,other
2025-02,B,Nested_Fixed_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,USDJPY,SHORT,2025.02.24 16:50:00,2025.02.24 17:06:13,149.423,149.506,149.257,2.0,100.1,FX,server_16_23,2025-02,USDJPY,2.434,1.133,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.5,last_higher_low,149.226,m15_prev_extreme_bos,2.04,1.02,h4_impulse_low,149.254,0.61,0.0,1.45,fixed_room2r,true,true,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
2025-02,C,Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,EURJPY,SHORT,2025.02.04 17:20:00,2025.02.05 01:46:44,160.423,160.674,159.921,2.008,96.23,FX,server_16_23,2025-02,USDJPY,2.331,0.721,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.01,last_higher_low,160.172,m15_prev_extreme_bos,2.12,1.06,h4_impulse_low,159.892,1.58,0.0,1.58,fixed_h4ma_room2r,true,true,false,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
2025-02,C,Nested_Fixed_H4MA_Room2R_BOTH_all_H4_H1_M15_2R,fixed_condition,USDJPY,SHORT,2025.02.24 16:50:00,2025.02.24 17:06:13,149.423,149.506,149.257,2.0,100.1,FX,server_16_23,2025-02,USDJPY,2.434,1.133,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.5,last_higher_low,149.226,m15_prev_extreme_bos,2.04,1.02,h4_impulse_low,149.254,0.61,0.0,1.45,fixed_h4ma_room2r,true,true,true,true,true,true,true,true,false,true,true,true,true,true,prev_extreme_break,true,true,true,clean_fractal,
