period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,2025-02,16,10,6,62.5,373.68,2.293,23.36,,102.46,0.99
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,2025-02,27,13,14,48.15,278.18,1.422,10.3,,199.11,1.95
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,2025-02,12,3,9,25.0,-166.94,0.626,-13.91,,207.03,2.07
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,2025-02,13,4,9,30.77,-71.42,0.84,-5.49,,207.03,2.07
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,2025-08,13,5,8,38.46,-40.11,0.899,-3.09,,247.81,2.45
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,2025-08,33,15,18,45.45,195.88,1.215,5.94,,385.97,3.67
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,2025-08,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,2025-08,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,2025-10,20,11,9,55.0,345.18,1.823,17.26,,176.76,1.75
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,2025-10,38,16,22,42.11,79.24,1.077,2.09,,253.1,2.48
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,2025-10,4,3,1,75.0,212.7,5.306,53.17,,49.4,0.49
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,2025-10,5,4,1,80.0,313.57,7.348,62.71,,49.4,0.49
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,2026-01,21,10,11,47.62,243.37,1.475,11.59,,277.88,2.67
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,2026-02,18,7,11,38.89,129.28,1.268,7.18,,198.96,1.94
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,2026-03,21,10,11,47.62,237.56,1.454,11.31,,193.39,1.87
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,2026-01,33,17,16,51.52,752.63,1.986,22.81,,334.12,3.22
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,2026-02,32,14,18,43.75,328.69,1.355,10.27,,408.51,3.8
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,2026-03,31,12,19,38.71,-34.25,0.964,-1.1,,216.26,2.14
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,2026-01,8,2,6,25.0,-109.87,0.644,-13.73,,194.18,1.93
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,2026-02,8,0,8,0.0,-373.04,0.0,-46.63,,373.04,3.73
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,2026-03,9,1,8,11.11,-280.17,0.17,-31.13,,280.17,2.8
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,2026-01,9,2,7,22.22,-160.63,0.553,-17.85,,217.15,2.16
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,2026-02,9,1,8,11.11,-274.56,0.26,-30.51,,274.56,2.75
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,2026-03,9,1,8,11.11,-281.49,0.169,-31.28,,281.49,2.81
