run,scenario,prefix,elapsed_seconds
A,current_thirdwave_current_sl_1_5R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_A_cur15,72.9
B,v4_micro_or_candle_current_sl_1_5R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_B_mc_cur15,62.9
C,v4_micro_or_candle_lower_tf_sl_1_2R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_C_mc_l12,62.8
D,v4_micro_or_candle_lower_tf_sl_1_3R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_D_mc_l13,62.8
E,v4_micro_or_candle_lower_tf_sl_1_5R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_E_mc_l15,62.8
F,v4_without_weak_lower_tf_sl_1_2R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_F_nw_l12,62.8
G,v4_without_weak_lower_tf_sl_1_3R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_2502_G_nw_l13,62.8
