scenario,condition,state,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,cond_room_to_2r,ON,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
A_current_broad_fx_only,cond_room_to_2r,OFF,35,20.0,0.488,-0.404,-712.7,1042.09,10.09,1.079,1.099,57.14,42.86,20.0,17,18,-252.99,-459.71,-0.298,-0.505,6,12,AUDJPY:1;EURJPY:6;EURUSD:4;GBPJPY:2;GBPUSD:8;USDJPY:14,2025-01:3;2025-02:2;2025-03:4;2025-04:4;2025-05:1;2025-06:3;2025-07:1;2025-08:7;2025-09:2;2025-10:2;2025-11:4;2025-12:2,LONG:17;SHORT:18
B_broad_hard_gate_reduced,cond_room_to_2r,ON,3143,28.83,0.788,-0.112,-9112.41,10021.29,92.14,1.401,1.345,70.35,51.26,29.81,1575,1568,-5744.53,-3367.88,-0.084,-0.14,6,12,AUDJPY:172;EURJPY:408;EURUSD:446;GBPJPY:407;GBPUSD:505;USDJPY:1205,2025-01:332;2025-02:303;2025-03:387;2025-04:478;2025-05:319;2025-06:242;2025-07:219;2025-08:186;2025-09:160;2025-10:232;2025-11:149;2025-12:136,LONG:1575;SHORT:1568
B_broad_hard_gate_reduced,cond_room_to_2r,OFF,856,31.66,0.989,-0.038,-115.21,912.15,8.47,1.182,1.147,65.54,46.5,23.83,419,437,57.52,-172.73,0.018,-0.092,6,12,AUDJPY:48;EURJPY:110;EURUSD:130;GBPJPY:109;GBPUSD:168;USDJPY:291,2025-01:81;2025-02:74;2025-03:97;2025-04:132;2025-05:83;2025-06:69;2025-07:47;2025-08:44;2025-09:56;2025-10:61;2025-11:73;2025-12:39,LONG:419;SHORT:437
C_sweep_reclaim_only,cond_room_to_2r,ON,1315,28.75,0.796,-0.075,-5996.59,6659.05,62.99,1.358,1.259,70.57,49.43,29.51,575,740,-3527.08,-2469.51,-0.172,0.001,6,12,AUDJPY:56;EURJPY:132;EURUSD:196;GBPJPY:139;GBPUSD:204;USDJPY:588,2025-01:129;2025-02:105;2025-03:186;2025-04:251;2025-05:143;2025-06:105;2025-07:95;2025-08:63;2025-09:51;2025-10:94;2025-11:48;2025-12:45,LONG:575;SHORT:740
C_sweep_reclaim_only,cond_room_to_2r,OFF,500,32.0,0.936,-0.053,-676.23,1980.53,17.85,1.281,1.14,70.8,49.6,27.6,261,239,38.52,-714.75,0.003,-0.114,6,12,AUDJPY:33;EURJPY:65;EURUSD:66;GBPJPY:68;GBPUSD:87;USDJPY:181,2025-01:46;2025-02:54;2025-03:73;2025-04:91;2025-05:46;2025-06:39;2025-07:25;2025-08:21;2025-09:22;2025-10:35;2025-11:30;2025-12:18,LONG:261;SHORT:239
D_bos_retest_only,cond_room_to_2r,ON,995,30.35,0.836,-0.11,-3329.52,4167.21,38.76,1.35,1.227,68.34,48.94,31.36,492,503,-1695.17,-1634.35,-0.11,-0.111,6,12,AUDJPY:60;EURJPY:112;EURUSD:137;GBPJPY:119;GBPUSD:166;USDJPY:401,2025-01:106;2025-02:105;2025-03:115;2025-04:164;2025-05:107;2025-06:80;2025-07:79;2025-08:51;2025-09:55;2025-10:66;2025-11:32;2025-12:35,LONG:492;SHORT:503
D_bos_retest_only,cond_room_to_2r,OFF,640,27.66,0.741,-0.192,-3526.48,3584.51,35.85,1.27,1.174,66.25,48.59,27.66,314,326,-2036.94,-1489.54,-0.161,-0.222,6,12,AUDJPY:40;EURJPY:75;EURUSD:86;GBPJPY:81;GBPUSD:114;USDJPY:244,2025-01:78;2025-02:71;2025-03:86;2025-04:102;2025-05:50;2025-06:49;2025-07:36;2025-08:43;2025-09:23;2025-10:41;2025-11:37;2025-12:24,LONG:314;SHORT:326
E_first_pullback_after_reclaim_only,cond_room_to_2r,ON,1803,29.78,0.842,-0.058,-4988.58,5530.47,52.89,1.367,1.296,68.44,49.31,29.84,890,913,-2340.49,-2648.09,-0.024,-0.091,6,12,AUDJPY:105;EURJPY:200;EURUSD:287;GBPJPY:213;GBPUSD:303;USDJPY:695,2025-01:206;2025-02:210;2025-03:201;2025-04:271;2025-05:185;2025-06:132;2025-07:122;2025-08:96;2025-09:90;2025-10:141;2025-11:91;2025-12:58,LONG:890;SHORT:913
E_first_pullback_after_reclaim_only,cond_room_to_2r,OFF,1085,30.23,0.828,-0.074,-3199.89,3938.52,37.26,1.225,1.182,67.47,47.74,26.36,553,532,-1385.59,-1814.3,-0.035,-0.116,6,12,AUDJPY:65;EURJPY:146;EURUSD:146;GBPJPY:140;GBPUSD:211;USDJPY:377,2025-01:116;2025-02:112;2025-03:154;2025-04:162;2025-05:97;2025-06:91;2025-07:52;2025-08:54;2025-09:49;2025-10:85;2025-11:67;2025-12:46,LONG:553;SHORT:532
F_combined_new_triggers,cond_room_to_2r,ON,2586,29.97,0.854,-0.033,-4846.47,5935.29,53.66,1.399,1.328,70.96,50.73,29.43,1221,1365,-2248.34,-2598.13,-0.062,-0.007,6,12,AUDJPY:144;EURJPY:292;EURUSD:386;GBPJPY:310;GBPUSD:420;USDJPY:1034,2025-01:280;2025-02:263;2025-03:320;2025-04:392;2025-05:277;2025-06:200;2025-07:190;2025-08:140;2025-09:119;2025-10:193;2025-11:117;2025-12:95,LONG:1221;SHORT:1365
F_combined_new_triggers,cond_room_to_2r,OFF,1311,28.07,0.75,-0.056,-4344.46,4533.22,44.59,1.231,1.184,69.18,48.13,24.33,671,640,-2153.09,-2191.37,-0.042,-0.071,6,12,AUDJPY:86;EURJPY:169;EURUSD:179;GBPJPY:168;GBPUSD:249;USDJPY:460,2025-01:148;2025-02:139;2025-03:169;2025-04:188;2025-05:119;2025-06:104;2025-07:65;2025-08:74;2025-09:66;2025-10:100;2025-11:83;2025-12:56,LONG:671;SHORT:640
G_combined_new_triggers_room_to_2r,cond_room_to_2r,ON,2586,29.97,0.854,-0.033,-4846.47,5935.29,53.66,1.399,1.328,70.96,50.73,29.43,1221,1365,-2248.34,-2598.13,-0.062,-0.007,6,12,AUDJPY:144;EURJPY:292;EURUSD:386;GBPJPY:310;GBPUSD:420;USDJPY:1034,2025-01:280;2025-02:263;2025-03:320;2025-04:392;2025-05:277;2025-06:200;2025-07:190;2025-08:140;2025-09:119;2025-10:193;2025-11:117;2025-12:95,LONG:1221;SHORT:1365
G_combined_new_triggers_room_to_2r,cond_room_to_2r,OFF,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
H_combined_new_triggers_h4_ma_bias,cond_room_to_2r,ON,831,29.24,0.881,-0.127,-1322.41,1962.97,18.46,1.374,1.399,69.68,49.46,27.8,396,435,-813.57,-508.84,-0.2,-0.06,6,12,AUDJPY:56;EURJPY:93;EURUSD:141;GBPJPY:86;GBPUSD:130;USDJPY:325,2025-01:99;2025-02:86;2025-03:117;2025-04:133;2025-05:95;2025-06:57;2025-07:44;2025-08:30;2025-09:30;2025-10:65;2025-11:37;2025-12:38,LONG:396;SHORT:435
H_combined_new_triggers_h4_ma_bias,cond_room_to_2r,OFF,560,27.14,0.68,-0.13,-2486.28,2600.9,25.75,1.207,1.225,68.04,46.96,22.14,313,247,-1356.11,-1130.17,-0.154,-0.1,6,12,AUDJPY:35;EURJPY:76;EURUSD:84;GBPJPY:65;GBPUSD:109;USDJPY:191,2025-01:57;2025-02:64;2025-03:81;2025-04:75;2025-05:51;2025-06:43;2025-07:35;2025-08:25;2025-09:29;2025-10:32;2025-11:40;2025-12:28,LONG:313;SHORT:247
