period,variant,fx_vs_xauusd,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
2024,current_thirdwave_current_sl_1_5R,FX,56,24,32,42.86,156.64,1.094,2.8,0.06,408.86,3.9,8,-408.86,156.64,0,5.15,151.49,0.0,51.79,411.2,3.041,616.7,4.561,0.276,0.69,50.58
2024,current_thirdwave_current_sl_1_5R,XAUUSD,122,54,68,44.26,557.61,1.161,4.57,0.13,531.98,5.01,5,-267.41,0,557.61,537.73,19.88,100.0,64.75,522.6,3.163,783.9,4.744,0.122,0.36,48.97
2024,v4_micro_or_candle_lower_tf_sl_1_2R,FX,80,35,45,43.75,-159.16,0.927,-1.99,-0.038,339.47,3.35,5,-248.11,-159.16,0,-3.74,-155.42,0.0,56.25,285.1,2.181,342.1,2.617,0.321,0.96,47.81
2024,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,160,74,86,46.25,-263.19,0.937,-1.64,0.016,1120.56,10.9,10,-491.28,0,-263.19,-45.79,-217.4,100.0,63.75,403.1,2.411,483.7,2.893,0.14,0.42,45.06
2024,v4_micro_or_candle_lower_tf_sl_1_3R,FX,79,34,45,43.04,-60.79,0.972,-0.77,-0.013,356.75,3.49,5,-248.11,-60.79,0,120.02,-180.81,0.0,56.96,281.1,2.172,365.4,2.824,0.322,0.96,47.65
2024,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,159,70,89,44.03,-306.26,0.929,-1.93,0.011,998.2,9.89,10,-488.89,0,-306.26,1.69,-307.95,100.0,63.52,403.2,2.413,524.2,3.136,0.14,0.42,45.14
2024,v4_without_weak_lower_tf_sl_1_3R,FX,106,42,64,39.62,-451.51,0.852,-4.26,-0.084,529.3,5.25,7,-341.41,-451.51,0,112.84,-564.35,0.0,67.92,303.3,2.145,394.3,2.788,0.308,0.95,46.45
2024,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,179,77,102,43.02,-460.37,0.903,-2.57,-0.012,1119.92,11.11,11,-518.58,0,-460.37,40.62,-500.99,100.0,56.42,393.4,2.346,511.4,3.05,0.144,0.52,43.95
2025,current_thirdwave_current_sl_1_5R,FX,65,23,42,35.38,-410.82,0.802,-6.32,-0.117,784.23,7.72,9,-455.23,-410.82,0,-210.91,-199.91,0.0,55.38,382.3,2.876,573.5,4.314,0.218,0.8,48.74
2025,current_thirdwave_current_sl_1_5R,XAUUSD,204,83,121,40.69,-21.16,0.996,-0.1,0.025,725.27,6.83,7,-341.98,0,-21.16,-339.61,318.45,100.0,64.22,908.9,3.23,1363.4,4.844,0.067,0.26,45.03
2025,v4_micro_or_candle_lower_tf_sl_1_2R,FX,90,40,50,44.44,-83.16,0.967,-0.92,-0.012,493.71,4.9,6,-309.31,-83.16,0,264.82,-347.98,0.0,64.44,267.5,2.243,321.1,2.691,0.328,0.83,49.78
2025,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,247,123,124,49.8,926.77,1.153,3.75,0.101,411.64,3.91,5,-259.22,0,926.77,1124.41,-197.64,100.0,63.16,731.7,2.421,878.1,2.905,0.089,0.38,46.98
2025,v4_micro_or_candle_lower_tf_sl_1_3R,FX,89,36,53,40.45,-284.66,0.892,-3.2,-0.058,686.75,6.82,6,-305.78,-284.66,0,172.12,-456.78,0.0,65.17,266.8,2.221,346.8,2.887,0.324,0.83,48.97
2025,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,246,118,128,47.97,1009.51,1.164,4.1,0.109,500.11,4.48,5,-259.22,0,1009.51,1103.14,-93.63,100.0,63.01,733.9,2.423,954.1,3.15,0.087,0.38,46.33
2025,v4_without_weak_lower_tf_sl_1_3R,FX,120,47,73,39.17,-520.63,0.855,-4.34,-0.082,897.19,8.92,10,-480.41,-520.63,0,175.32,-695.95,0.0,74.17,276.4,2.223,359.3,2.89,0.311,0.85,48.62
