enabled_conditions,condition_count,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
cond_h4_bias_ma+cond_h4_fib_382_618+cond_room_to_2r,3,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_room_to_2r,4,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_room_to_2r,4,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_wave_atr+cond_room_to_2r,4,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_true_bos_level+cond_room_to_2r,4,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_m15_prev_extreme_bos+cond_room_to_2r,4,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_true_bos_level+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_m15_prev_extreme_bos+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
