variant,entry_distance_band,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,xauusd_trade_share_pct,xauusd_net_profit
current,0.75-1.00ATR,2,1,1,50.0,24.49,1.473,12.25,0.274,51.73,0.51,50.0,-51.73
current,1.00-1.50ATR,7,4,3,57.14,146.71,1.905,20.96,0.448,66.66,0.66,57.14,-91.86
current,1.50-2.00ATR,7,4,3,57.14,145.08,2.069,20.73,0.43,86.09,0.84,100.0,145.08
current,2.00-3.00ATR,38,17,21,44.74,178.47,1.18,4.7,0.108,301.41,2.9,78.95,208.11
current,3.00ATR+,55,27,28,49.09,794.21,1.618,14.44,0.247,357.26,3.45,89.09,838.03
v2_audit_filtered,0.50-0.75ATR,1,0,1,0.0,-51.0,0.0,-51.0,-1.027,51.0,0.51,100.0,-51.0
v2_audit_filtered,0.75-1.00ATR,2,1,1,50.0,25.44,1.492,12.72,0.274,51.73,0.51,50.0,-51.73
v2_audit_filtered,1.00-1.50ATR,5,3,2,60.0,123.74,2.297,24.75,0.504,48.78,0.48,60.0,-25.2
v2_audit_filtered,1.50-2.00ATR,1,1,0,100.0,70.14,,70.14,1.51,0.0,0.0,100.0,70.14
v2_audit_filtered,2.00-3.00ATR,16,10,6,62.5,482.49,2.787,30.16,0.611,97.44,0.93,81.25,382.6
v2_audit_filtered,3.00ATR+,33,17,16,51.52,549.45,1.759,16.65,0.322,187.22,1.81,90.91,566.25
v3_entry_timing,0.50-0.75ATR,1,0,1,0.0,-51.0,0.0,-51.0,-1.027,51.0,0.51,100.0,-51.0
v3_entry_timing,1.00-1.50ATR,3,2,1,66.67,97.35,3.088,32.45,0.676,46.62,0.46,66.67,23.58
