run,year,scenario,from,to,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,gross_profit,gross_loss,avg_win,avg_loss,max_balance_dd,max_balance_dd_pct,max_balance_dd_time,max_consecutive_losses,max_consecutive_losses_amount,xauusd_trades,xauusd_trade_share_pct,xauusd_net_profit,major_winning_symbols,major_losing_symbols,score_detail_rows,entry_score_ok_rows,best_candidate_rows,new_bar_scans,same_bar_skips,avg_scan_elapsed_ms,max_scan_elapsed_ms,structure_evaluations,structure_detail_rows,structure_pass_rate,structure_top_fail_reason
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,2024.01.01,2024.12.31,1424.7,510,196,314,38.43,-1305.43,0.908,-2.56,12939.26,-14244.69,66.02,-45.37,1920.99,18.55,2024.11.08 03:10:50,10,-431.16,350,68.63,-585.39,EURJPY:310.35; GBPJPY:296.60,USDJPY:-735.63; XAUUSD:-585.39; GBPUSD:-339.37,149121,1643,74279,74279,353,17.5,40531,519953,169844,10.38,no_trend_up
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,2024.01.01,2024.12.31,1184.2,357,142,215,39.78,-401.11,0.961,-1.12,9785.14,-10186.25,68.91,-47.38,975.36,9.69,2024.11.08 03:10:50,9,-436.5,357,100.0,-401.11,,XAUUSD:-401.11,148928,1110,74279,74279,353,15.08,1250,74279,148928,11.0,no_trend_up
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,2026.01.01,2026.06.02,596.9,181,73,108,40.33,36.7,1.007,0.2,5134.71,-5098.01,70.34,-47.2,901.47,8.34,2026.05.01 17:35:54,10,-496.09,160,88.4,495.2,XAUUSD:495.20,USDJPY:-193.77; EURUSD:-177.83; AUDJPY:-59.48,61576,564,30696,30696,143,16.95,20469,214872,70008,10.29,no_trend_up
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,2026.01.01,2026.06.02,496.9,162,68,94,41.98,381.21,1.086,2.35,4813.1,-4431.89,70.78,-47.15,701.49,6.43,2026.02.27 18:24:08,8,-385.3,162,100.0,381.21,XAUUSD:381.21,,61554,486,30696,30696,143,14.53,1281,30696,61554,10.96,no_trend_up
