variant,sl_mode,direction,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,LONG,180,180,88,92,48.89,1092.22,1.258,6.07,0.138,908.69,7.72,48.89,51.11,0,0,0,0,0.837,1.044,13456333333.333,17941777777.778,0.069
current_thirdwave,CURRENT_SL,SHORT,147,147,75,72,51.02,1802.64,1.534,12.26,0.183,593.43,5.14,50.34,42.86,0,0,0,0,0.776,1.025,20694425102.041,27592566802.721,0.102
current_thirdwave,LOWER_TF_REVERSAL_SL,LONG,180,138,54,84,39.13,-285.4,0.921,-2.07,-0.062,1266.38,11.84,30.0,43.33,0,3,36,3,0.905,0.826,9290369565.217,12387159420.29,0.102
current_thirdwave,LOWER_TF_REVERSAL_SL,SHORT,147,99,42,57,42.42,-158.1,0.942,-1.6,-0.033,1148.66,11.44,27.21,38.78,0,0,45,3,0.819,0.989,10048873636.364,13398498181.818,0.154
current_thirdwave,MID_TF_STRUCTURE_SL,LONG,180,180,88,92,48.89,1092.22,1.258,6.07,0.138,908.69,7.72,48.89,51.11,0,0,0,0,0.837,1.044,13456333333.333,17941777777.778,0.069
current_thirdwave,MID_TF_STRUCTURE_SL,SHORT,147,147,75,72,51.02,1802.64,1.534,12.26,0.183,593.43,5.14,50.34,42.86,0,0,0,0,0.776,1.025,20694425102.041,27592566802.721,0.102
v4_all_signals,CURRENT_SL,LONG,297,297,134,163,45.12,737.58,1.097,2.48,0.057,1355.29,11.44,45.12,53.87,0,0,0,0,0.915,0.994,9883419898.99,13177893198.653,0.109
v4_all_signals,CURRENT_SL,SHORT,285,285,152,133,53.33,4603.22,1.694,16.15,0.242,1043.51,8.94,53.33,45.61,0,0,0,0,0.715,1.06,19528562842.105,26038083789.474,0.163
v4_all_signals,LOWER_TF_REVERSAL_SL,LONG,297,264,119,145,45.08,479.11,1.072,1.81,0.05,1038.72,9.33,36.7,45.79,0,3,18,12,0.924,0.954,10404097386.364,13872129848.485,0.098
v4_all_signals,LOWER_TF_REVERSAL_SL,SHORT,285,255,137,118,53.73,4138.54,1.753,16.23,0.258,798.27,5.55,46.32,37.19,0,3,21,6,0.699,1.059,16187537058.824,21583382745.098,0.164
v4_all_signals,MID_TF_STRUCTURE_SL,LONG,297,297,134,163,45.12,737.58,1.097,2.48,0.057,1355.29,11.44,45.12,53.87,0,0,0,0,0.915,0.994,9883419898.99,13177893198.653,0.109
v4_all_signals,MID_TF_STRUCTURE_SL,SHORT,285,285,152,133,53.33,4603.22,1.694,16.15,0.242,1043.51,8.94,53.33,45.61,0,0,0,0,0.715,1.06,19528562842.105,26038083789.474,0.163
v4_candle_reversal_only,CURRENT_SL,LONG,177,177,83,94,46.89,576.21,1.129,3.26,0.091,1041.56,8.97,46.89,53.11,0,0,0,0,0.895,1.094,10607616949.153,14143489265.537,0.096
v4_candle_reversal_only,CURRENT_SL,SHORT,192,192,104,88,54.17,3767.6,1.882,19.62,0.26,1049.76,9.38,54.17,45.83,0,0,0,0,0.68,1.06,22060234218.75,29413645625.0,0.138
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,LONG,177,150,74,76,49.33,833.99,1.237,5.56,0.144,704.65,6.24,39.55,41.24,0,6,21,0,0.845,1.071,10512808000.0,14017077333.333,0.097
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,SHORT,192,150,78,72,52.0,2477.51,1.749,16.52,0.215,842.64,6.57,39.06,34.38,0,3,33,6,0.677,1.013,19620815200.0,26161086933.333,0.151
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,LONG,177,177,83,94,46.89,576.21,1.129,3.26,0.091,1041.56,8.97,46.89,53.11,0,0,0,0,0.895,1.094,10607616949.153,14143489265.537,0.096
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,SHORT,192,192,104,88,54.17,3767.6,1.882,19.62,0.26,1049.76,9.38,54.17,45.83,0,0,0,0,0.68,1.06,22060234218.75,29413645625.0,0.138
v4_micro_break_only,CURRENT_SL,LONG,108,108,55,53,50.93,974.81,1.412,9.03,0.182,405.72,3.7,50.93,49.07,1,0,0,0,0.793,1.135,10199349166.667,13599132222.222,0.077
v4_micro_break_only,CURRENT_SL,SHORT,96,96,44,52,45.83,127.75,1.048,1.33,0.067,616.14,5.79,45.83,51.04,0,0,0,0,0.814,1.038,20102975000.0,26803966666.667,0.131
v4_micro_break_only,LOWER_TF_REVERSAL_SL,LONG,108,90,49,41,54.44,1039.27,1.589,11.55,0.265,319.8,2.9,39.81,32.41,0,0,12,6,0.797,1.089,10370385666.667,13827180888.889,0.089
v4_micro_break_only,LOWER_TF_REVERSAL_SL,SHORT,96,81,41,40,50.62,608.05,1.317,7.51,0.184,330.19,3.19,41.67,38.54,0,0,15,0,0.776,1.083,16915751111.111,22554334814.815,0.114
v4_micro_break_only,MID_TF_STRUCTURE_SL,LONG,108,108,55,53,50.93,974.81,1.412,9.03,0.182,405.72,3.7,50.93,49.07,1,0,0,0,0.793,1.135,10199349166.667,13599132222.222,0.077
v4_micro_break_only,MID_TF_STRUCTURE_SL,SHORT,96,96,44,52,45.83,127.75,1.048,1.33,0.067,616.14,5.79,45.83,51.04,0,0,0,0,0.814,1.038,20102975000.0,26803966666.667,0.131
v4_micro_or_candle,CURRENT_SL,LONG,213,213,105,108,49.3,1303.03,1.253,6.12,0.147,1165.45,9.69,49.3,50.7,0,0,0,0,0.862,1.113,10331233380.282,13774977840.376,0.092
v4_micro_or_candle,CURRENT_SL,SHORT,213,213,119,94,55.87,4412.62,1.963,20.72,0.3,1000.24,8.75,55.87,44.13,0,0,0,0,0.684,1.091,21007290845.07,28009721126.761,0.148
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,LONG,213,180,94,86,52.22,1771.99,1.453,9.84,0.222,792.72,6.66,40.85,36.15,0,6,24,3,0.794,1.085,10653309500.0,14204412666.667,0.092
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,SHORT,213,183,102,81,55.74,3588.8,1.965,19.61,0.299,629.92,4.55,46.01,35.21,0,3,21,6,0.675,1.067,17597972950.82,23463963934.426,0.156
v4_micro_or_candle,MID_TF_STRUCTURE_SL,LONG,213,213,105,108,49.3,1303.03,1.253,6.12,0.147,1165.45,9.69,49.3,50.7,0,0,0,0,0.862,1.113,10331233380.282,13774977840.376,0.092
v4_micro_or_candle,MID_TF_STRUCTURE_SL,SHORT,213,213,119,94,55.87,4412.62,1.963,20.72,0.3,1000.24,8.75,55.87,44.13,0,0,0,0,0.684,1.091,21007290845.07,28009721126.761,0.148
v4_without_weak_signals,CURRENT_SL,LONG,213,213,105,108,49.3,1359.35,1.264,6.38,0.147,1165.45,9.69,49.3,50.7,0,0,0,0,0.862,1.113,10331233380.282,13774977840.376,0.092
v4_without_weak_signals,CURRENT_SL,SHORT,285,285,152,133,53.33,4574.38,1.681,16.05,0.242,1023.27,8.78,53.33,45.61,0,0,0,0,0.715,1.06,19528562842.105,26038083789.474,0.164
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,LONG,213,180,94,86,52.22,1828.31,1.467,10.16,0.222,792.72,6.66,40.85,36.15,0,6,24,3,0.794,1.085,10653309500.0,14204412666.667,0.092
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,SHORT,285,255,137,118,53.73,4082.85,1.73,16.01,0.258,878.26,6.1,46.32,37.19,0,3,21,6,0.699,1.059,16187537058.824,21583382745.098,0.164
v4_without_weak_signals,MID_TF_STRUCTURE_SL,LONG,213,213,105,108,49.3,1359.35,1.264,6.38,0.147,1165.45,9.69,49.3,50.7,0,0,0,0,0.862,1.113,10331233380.282,13774977840.376,0.092
v4_without_weak_signals,MID_TF_STRUCTURE_SL,SHORT,285,285,152,133,53.33,4574.38,1.681,16.05,0.242,1023.27,8.78,53.33,45.61,0,0,0,0,0.715,1.06,19528562842.105,26038083789.474,0.164
