time,symbol,direction,event,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2026.01.02 03:04:59,XAUUSD,LONG,order_attempt,0,,4348.20,4341.04,4358.94,0.06,7.16,1.50,,,,0.0432,0.2000,true,false,19.0,4.40,DowFractal_ThirdWave
2026.01.02 03:04:59,XAUUSD,LONG,order_sent,10009,order_sent,4348.20,4341.04,4358.94,0.06,7.16,1.50,,,,0.0432,0.2000,true,false,19.0,4.40,DowFractal_ThirdWave
2026.01.02 19:09:59,XAUUSD,LONG,order_attempt,0,,4328.48,4314.47,4349.50,0.03,14.01,1.50,,,,0.0276,0.2000,true,false,20.0,7.24,DowFractal_ThirdWave
2026.01.02 19:09:59,XAUUSD,LONG,order_sent,10009,order_sent,4328.48,4314.47,4349.50,0.03,14.01,1.50,,,,0.0276,0.2000,true,false,20.0,7.24,DowFractal_ThirdWave
2026.01.02 19:19:59,XAUUSD,LONG,order_blocked,0,max_positions,4329.51,4314.48,4352.06,0.03,15.03,1.50,max_positions,,max_positions,0.0311,0.2000,true,false,20.0,6.44,DowFractal_ThirdWave
2026.01.05 06:54:59,XAUUSD,LONG,order_attempt,0,,4404.15,4396.82,4415.15,0.06,7.33,1.50,,,,0.0587,0.2000,true,false,19.0,3.23,DowFractal_ThirdWave
2026.01.05 06:54:59,XAUUSD,LONG,order_sent,10009,order_sent,4404.15,4396.82,4415.15,0.06,7.33,1.50,,,,0.0587,0.2000,true,false,19.0,3.23,DowFractal_ThirdWave
2026.01.05 07:24:59,XAUUSD,LONG,order_blocked,0,max_positions,4408.41,4396.86,4425.74,0.04,11.55,1.50,max_positions,,max_positions,0.0733,0.2000,true,false,19.0,2.59,DowFractal_ThirdWave
2026.01.05 07:34:59,XAUUSD,LONG,order_blocked,0,max_positions,4409.79,4396.90,4429.13,0.03,12.89,1.50,max_positions,,max_positions,0.0716,0.2000,true,false,19.0,2.65,DowFractal_ThirdWave
2026.01.05 16:04:59,XAUUSD,LONG,order_attempt,0,,4422.69,4410.46,4441.04,0.04,12.23,1.50,,,,0.0288,0.2000,true,false,19.0,6.59,DowFractal_ThirdWave
2026.01.05 16:04:59,XAUUSD,LONG,order_sent,10009,order_sent,4422.69,4410.46,4441.04,0.04,12.23,1.50,,,,0.0288,0.2000,true,false,19.0,6.59,DowFractal_ThirdWave
2026.01.05 16:09:59,XAUUSD,LONG,order_blocked,0,max_positions,4423.48,4410.46,4443.01,0.03,13.02,1.50,max_positions,,max_positions,0.0302,0.2000,true,false,20.0,6.61,DowFractal_ThirdWave
2026.01.05 16:14:59,XAUUSD,LONG,order_blocked,0,max_positions,4426.44,4410.46,4450.41,0.03,15.98,1.50,max_positions,,max_positions,0.0298,0.2000,true,false,20.0,6.71,DowFractal_ThirdWave
2026.01.05 23:14:58,XAUUSD,LONG,order_attempt,0,,4447.19,4434.54,4466.17,0.04,12.65,1.50,,,,0.0553,0.2000,true,false,20.0,3.62,DowFractal_ThirdWave
