period,scenario,setup_failure_layer,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,M15_neckline_quality_problem,9,0,9,0.0,-446.89,0.0,-49.65,-1.006,446.89,4.47,-401.82,-45.07,-248.69,-198.2,0.605,1.313,33.33,22.22,0.0,77.78
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,n/a_win,4,4,0,100.0,375.47,,93.87,2.003,0.0,0.0,192.84,182.63,85.05,290.42,2.461,0.247,100.0,100.0,100.0,25.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,M15_neckline_quality_problem,9,0,9,0.0,-446.89,0.0,-49.65,-1.006,446.89,4.47,-401.82,-45.07,-248.69,-198.2,0.605,1.313,33.33,22.22,0.0,77.78
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,n/a_win,3,3,0,100.0,279.95,,93.32,2.004,0.0,0.0,97.32,182.63,85.05,194.9,2.548,0.184,100.0,100.0,100.0,33.33
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,M15_neckline_quality_problem,1,0,1,0.0,-52.77,0.0,-52.77,-1.006,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,n/a_win,1,1,0,100.0,79.91,,79.91,2.009,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,M15_neckline_quality_problem,1,0,1,0.0,-52.77,0.0,-52.77,-1.006,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,n/a_win,1,1,0,100.0,79.91,,79.91,2.009,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,M15_neckline_quality_problem,1,0,1,0.0,-49.4,0.0,-49.4,-1.001,49.4,0.49,0,-49.4,0,-49.4,1.412,1.932,100.0,100.0,0.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,n/a_win,4,4,0,100.0,362.97,,90.74,2.006,0.0,0.0,199.43,163.54,163.54,199.43,2.262,0.589,100.0,100.0,100.0,25.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,M15_neckline_quality_problem,1,0,1,0.0,-49.4,0.0,-49.4,-1.001,49.4,0.49,0,-49.4,0,-49.4,1.412,1.932,100.0,100.0,0.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,n/a_win,3,3,0,100.0,262.1,,87.37,2.0,0.0,0.0,98.56,163.54,163.54,98.56,2.271,0.581,100.0,100.0,100.0,33.33
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,M15_neckline_quality_problem,16,0,16,0.0,-755.35,0.0,-47.21,-1.012,755.35,7.55,-523.98,-231.37,-533.44,-221.91,0.615,1.399,43.75,25.0,0.0,93.75
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SL_TP_design_problem,5,0,5,0.0,-212.26,0.0,-42.45,-1.016,212.26,2.12,-143.32,-68.94,-81.77,-130.49,1.546,1.239,100.0,100.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,entry_timing_problem,2,0,2,0.0,-101.48,0.0,-50.74,-1.008,101.48,1.01,-101.48,0,0,-101.48,1.308,1.179,100.0,50.0,50.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,n/a_win,4,4,0,100.0,352.41,,88.1,2.016,0.0,0.0,295.12,57.29,98.55,253.86,2.296,0.427,100.0,100.0,100.0,25.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,M15_neckline_quality_problem,16,0,16,0.0,-754.03,0.0,-47.13,-1.012,754.03,7.54,-522.66,-231.37,-532.12,-221.91,0.615,1.399,43.75,25.0,0.0,93.75
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,SL_TP_design_problem,5,0,5,0.0,-211.7,0.0,-42.34,-1.016,211.7,2.12,-142.76,-68.94,-81.77,-129.93,1.62,1.242,100.0,100.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,entry_timing_problem,1,0,1,0.0,-53.13,0.0,-53.13,-1.011,53.13,0.53,-53.13,0,0,-53.13,0.549,1.466,100.0,0.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,n/a_win,3,3,0,100.0,255.78,,85.26,2.02,0.0,0.0,198.49,57.29,98.55,157.23,2.297,0.344,100.0,100.0,100.0,33.33
