period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,server_00_07,71,29,42,40.85,88.87,2030.57,-1941.7,1.046,1.25,70.02,-46.23
2024,ThirdWave_original_BOTH,server_08_15,156,61,95,39.1,-44.7,4373.19,-4417.89,0.99,-0.29,71.69,-46.5
2024,ThirdWave_original_BOTH,server_16_23,128,46,82,35.94,-958.21,2947.23,-3905.44,0.755,-7.49,64.07,-47.63
2024,ThirdWave_regime_BOTH,server_00_07,32,12,20,37.5,-115.79,924.01,-1039.8,0.889,-3.62,77.0,-51.99
2024,ThirdWave_regime_BOTH,server_08_15,67,33,34,49.25,926.49,2643.77,-1717.28,1.54,13.83,80.11,-50.51
2024,ThirdWave_regime_BOTH,server_16_23,60,26,34,43.33,21.71,1804.32,-1782.61,1.012,0.36,69.4,-52.43
2024,ThirdWave_regime_LONG_ONLY,server_00_07,18,6,12,33.33,-150.35,459.64,-609.99,0.754,-8.35,76.61,-50.83
2024,ThirdWave_regime_LONG_ONLY,server_08_15,42,19,23,45.24,353.2,1514.3,-1161.1,1.304,8.41,79.7,-50.48
2024,ThirdWave_regime_LONG_ONLY,server_16_23,40,21,19,52.5,392.98,1413.88,-1020.9,1.385,9.82,67.33,-53.73
2024,ThirdWave_regime_SHORT_ONLY,server_00_07,15,7,8,46.67,116.5,515.64,-399.14,1.292,7.77,73.66,-49.89
2024,ThirdWave_regime_SHORT_ONLY,server_08_15,29,15,14,51.72,437.64,1123.58,-685.94,1.638,15.09,74.91,-49.0
2024,ThirdWave_regime_SHORT_ONLY,server_16_23,21,6,15,28.57,-296.21,419.59,-715.8,0.586,-14.11,69.93,-47.72
2025,ThirdWave_original_BOTH,server_00_07,99,37,62,37.37,-296.79,2459.78,-2756.57,0.892,-3.0,66.48,-44.46
2025,ThirdWave_original_BOTH,server_08_15,175,76,99,43.43,687.74,5145.54,-4457.8,1.154,3.93,67.7,-45.03
2025,ThirdWave_original_BOTH,server_16_23,177,66,111,37.29,-855.36,4395.28,-5250.64,0.837,-4.83,66.6,-47.3
2025,ThirdWave_regime_BOTH,server_00_07,60,21,39,35.0,-358.47,1417.35,-1775.82,0.798,-5.97,67.49,-45.53
2025,ThirdWave_regime_BOTH,server_08_15,95,43,52,45.26,591.18,2970.46,-2379.28,1.248,6.22,69.08,-45.76
2025,ThirdWave_regime_BOTH,server_16_23,92,31,61,33.7,-799.73,2116.73,-2916.46,0.726,-8.69,68.28,-47.81
2025,ThirdWave_regime_LONG_ONLY,server_00_07,37,16,21,43.24,107.72,1067.81,-960.09,1.112,2.91,66.74,-45.72
2025,ThirdWave_regime_LONG_ONLY,server_08_15,62,23,39,37.1,-223.19,1560.73,-1783.92,0.875,-3.6,67.86,-45.74
2025,ThirdWave_regime_LONG_ONLY,server_16_23,57,20,37,35.09,-544.73,1224.54,-1769.27,0.692,-9.56,61.23,-47.82
2025,ThirdWave_regime_SHORT_ONLY,server_00_07,27,7,20,25.93,-446.81,489.42,-936.23,0.523,-16.55,69.92,-46.81
2025,ThirdWave_regime_SHORT_ONLY,server_08_15,35,20,15,57.14,721.61,1423.24,-701.63,2.028,20.62,71.16,-46.78
2025,ThirdWave_regime_SHORT_ONLY,server_16_23,42,13,29,30.95,-350.35,1034.94,-1385.29,0.747,-8.34,79.61,-47.77
2026YTD,ThirdWave_original_BOTH,server_00_07,45,24,21,53.33,882.18,1847.85,-965.67,1.914,19.6,76.99,-45.98
2026YTD,ThirdWave_original_BOTH,server_08_15,75,31,44,41.33,40.34,2101.72,-2061.38,1.02,0.54,67.8,-46.85
2026YTD,ThirdWave_original_BOTH,server_16_23,69,27,42,39.13,-66.41,1972.05,-2038.46,0.967,-0.96,73.04,-48.53
2026YTD,ThirdWave_regime_BOTH,server_00_07,21,13,8,61.9,715.0,1081.78,-366.78,2.949,34.05,83.21,-45.85
2026YTD,ThirdWave_regime_BOTH,server_08_15,35,12,23,34.29,-242.92,858.18,-1101.1,0.779,-6.94,71.51,-47.87
2026YTD,ThirdWave_regime_BOTH,server_16_23,32,16,16,50.0,337.07,1155.23,-818.16,1.412,10.53,72.2,-51.13
2026YTD,ThirdWave_regime_LONG_ONLY,server_00_07,11,6,5,54.55,174.24,417.14,-242.9,1.717,15.84,69.52,-48.58
2026YTD,ThirdWave_regime_LONG_ONLY,server_08_15,16,5,11,31.25,-144.82,332.1,-476.92,0.696,-9.05,66.42,-43.36
2026YTD,ThirdWave_regime_LONG_ONLY,server_16_23,10,5,5,50.0,86.78,381.42,-294.64,1.295,8.68,76.28,-58.93
2026YTD,ThirdWave_regime_SHORT_ONLY,server_00_07,10,7,3,70.0,545.57,664.64,-119.07,5.582,54.56,94.95,-39.69
2026YTD,ThirdWave_regime_SHORT_ONLY,server_08_15,20,7,13,35.0,-124.41,526.08,-650.49,0.809,-6.22,75.15,-50.04
2026YTD,ThirdWave_regime_SHORT_ONLY,server_16_23,22,11,11,50.0,253.77,771.84,-518.07,1.49,11.54,70.17,-47.1
