period,run,scenario,strategy_family,entry_selection_mode,scan_interval,elapsed_seconds,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct,long_net,short_net,fx_net,xauusd_net,xauusd_trade_share_pct,best_symbol,worst_symbol,best_label,worst_label
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,ALL_SCORE_PASSING,5m_timer_new_execution_bar,,16,10,6,62.5,373.68,2.293,23.36,,102.46,0.99,237.09,136.59,102.97,270.71,81.25,XAUUSD:270.71; EURJPY:75.07; USDJPY:27.90,,unclear:373.68,
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,ALL_SCORE_PASSING,5m_timer_new_execution_bar,,27,13,14,48.15,278.18,1.422,10.3,,199.11,1.95,-26.73,304.91,199.98,78.2,48.15,USDJPY:102.64; XAUUSD:78.20; EURJPY:74.27,,early_higher_low:253.21; candle_reversal:107.65; micro_break:37.92,early_lower_high:-75.92; momentum_turn:-44.68
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,BEST_ONLY,5m_timer_new_execution_bar,62.8,12,3,9,25.0,-166.94,0.626,-13.91,,207.03,2.07,-163.64,-3.3,-304.5,137.56,25.0,XAUUSD:137.56,GBPJPY:-148.95; EURUSD:-103.97; USDJPY:-51.38,neckline_break_initial:52.25,neckline_break_late:-168.37; clean_nested_nwave_entry:-50.82
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,ALL_SCORE_PASSING,5m_timer_new_execution_bar,52.6,13,4,9,30.77,-71.42,0.84,-5.49,,207.03,2.07,-163.64,92.22,-208.98,137.56,23.08,XAUUSD:137.56; AUDJPY:95.52,GBPJPY:-148.95; EURUSD:-103.97; USDJPY:-51.38,neckline_break_initial:52.25,neckline_break_late:-72.85; clean_nested_nwave_entry:-50.82
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,ALL_SCORE_PASSING,5m_timer_new_execution_bar,,13,5,8,38.46,-40.11,0.899,-3.09,,247.81,2.45,-70.61,30.5,76.22,-116.33,92.31,USDJPY:76.22,XAUUSD:-116.33,,unclear:-40.11
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,ALL_SCORE_PASSING,5m_timer_new_execution_bar,,33,15,18,45.45,195.88,1.215,5.94,,385.97,3.67,276.69,-80.81,-126.92,322.8,84.85,XAUUSD:322.80,USDJPY:-126.92,candle_reversal:183.69; early_lower_high:50.16; micro_break:48.79,early_higher_low:-86.76
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,BEST_ONLY,5m_timer_new_execution_bar,52.6,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52,79.91,-52.77,-52.77,79.91,50.0,XAUUSD:79.91,GBPJPY:-52.77,neckline_break_late:27.14,
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,ALL_SCORE_PASSING,5m_timer_new_execution_bar,52.5,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52,79.91,-52.77,-52.77,79.91,50.0,XAUUSD:79.91,GBPJPY:-52.77,neckline_break_late:27.14,
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,ALL_SCORE_PASSING,5m_timer_new_execution_bar,,20,11,9,55.0,345.18,1.823,17.26,,176.76,1.75,236.4,108.78,52.5,292.68,80.0,XAUUSD:292.68; USDJPY:52.50,,unclear:345.18,
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,ALL_SCORE_PASSING,5m_timer_new_execution_bar,,38,16,22,42.11,79.24,1.077,2.09,,253.1,2.48,222.62,-143.38,-14.86,94.1,73.68,XAUUSD:94.10; USDJPY:36.21,GBPJPY:-51.07,micro_break:141.86; early_higher_low:78.16,candle_reversal:-123.14; early_lower_high:-17.64
