time,event,symbol,direction,entry_price,sl,tp,result_R,profit,regime,session,scan_interval,entry_selection_mode,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name
2026.01.02 14:14:59,v3_blocked_candidate,AUDJPY,LONG,105.044,105.002,105.107,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,104.928,105.266,104.385,104.667,HH_HL,5,0.040,0.149,PERIOD_M15,104.928,105.266,105.030,69.82,3.58,10,false,105.030,0.46,4.14,PERIOD_M5,104.988,105.015,1,0.95,29.0,late,75.00,1.38,0.042,1.50,0.9180,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.97,1,0.72,unclear,,0,1,0.95,4.14,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.02 16:04:59,v3_blocked_candidate,GBPJPY,LONG,211.129,210.863,211.528,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,210.732,211.429,210.710,211.336,HH_HL,8,0.036,0.210,PERIOD_M15,210.732,211.429,210.901,75.75,4.00,3,false,210.901,3.17,32.71,PERIOD_M5,211.090,211.143,1,0.19,14.0,early,75.00,3.70,0.266,1.50,0.5288,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,35.00,false,1.16,4,0.86,unclear,,0,1,0.19,32.71,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 04:14:59,v3_blocked_candidate,GBPUSD,SHORT,1.34375,1.34496,1.34194,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.34363,1.34660,1.34456,1.35013,LL_LH,5,-0.00021,0.00165,PERIOD_M15,1.34660,1.34363,1.34481,39.73,1.39,3,false,1.34481,2.50,35.69,PERIOD_M5,1.34378,1.34349,1,0.61,26.0,unclear,100.00,2.85,0.00121,1.50,0.3535,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.20,1,0.73,unclear,,0,1,0.61,35.69,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 04:24:59,v3_blocked_candidate,GBPUSD,SHORT,1.34320,1.34499,1.34052,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.34363,1.34660,1.34456,1.35013,LL_LH,5,-0.00021,0.00165,PERIOD_M15,1.34660,1.34363,1.34481,39.73,1.39,4,false,1.34481,4.02,54.21,PERIOD_M5,1.34378,1.34347,1,0.67,27.0,unclear,100.00,4.47,0.00179,1.50,0.4492,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.25,1,0.57,unclear,,0,1,0.67,54.21,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 04:29:59,v3_blocked_candidate,GBPUSD,SHORT,1.34329,1.34496,1.34079,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.34363,1.34660,1.34456,1.35013,LL_LH,5,-0.00021,0.00165,PERIOD_M15,1.34660,1.34363,1.34481,39.73,1.39,4,false,1.34481,3.75,51.18,PERIOD_M5,1.34378,1.34320,1,0.22,9.0,early,100.00,4.12,0.00167,1.50,0.3697,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,0.00,false,0.71,2,0.59,unclear,,0,1,0.22,51.18,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 06:54:59,v3_blocked_candidate,XAUUSD,LONG,4404.15,4396.82,4415.15,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,PERIOD_H1,4310.01,4421.34,4304.53,4402.26,HH_HL,9,4.84,21.81,PERIOD_M15,4310.01,4421.34,4397.29,21.60,2.54,3,false,4397.29,2.12,6.16,PERIOD_M5,4406.31,4407.00,1,0.88,285.0,unclear,100.00,2.27,7.33,1.50,0.0587,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,0.61,4,1.07,unclear,,0,1,0.88,6.16,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 07:24:59,v3_blocked_candidate,XAUUSD,LONG,4408.41,4396.86,4425.74,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,PERIOD_H1,4310.01,4421.34,4304.53,4402.26,HH_HL,10,5.92,19.73,PERIOD_M15,4310.01,4421.34,4397.29,21.60,2.82,5,false,4397.29,4.29,9.99,PERIOD_M5,4408.36,4408.54,1,0.05,13.0,early,75.00,4.46,11.55,1.50,0.0733,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,0.00,false,1.15,2,0.46,unclear,,0,1,0.05,9.99,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 07:34:59,v3_blocked_candidate,XAUUSD,LONG,4409.79,4396.90,4429.13,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,PERIOD_H1,4310.01,4421.34,4304.53,4402.26,HH_HL,10,5.92,19.73,PERIOD_M15,4310.01,4421.34,4397.29,21.60,3.06,6,false,4397.29,4.71,11.23,PERIOD_M5,4408.36,4412.56,1,1.04,277.0,late,100.00,4.86,12.89,1.50,0.0716,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.69,1,1.10,unclear,,0,1,1.04,11.23,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 08:09:59,v3_blocked_candidate,AUDJPY,LONG,104.931,104.802,105.125,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,104.791,105.077,104.611,105.034,HH_HL,5,0.018,0.173,PERIOD_M15,104.791,105.077,104.830,86.36,3.44,3,false,104.830,2.77,35.31,PERIOD_M5,104.886,104.933,1,0.05,2.0,early,100.00,3.53,0.129,1.50,0.7671,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,70.00,true,1.86,5,0.60,unclear,,0,1,0.05,35.31,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2026.01.05 10:59:59,v3_blocked_candidate,EURUSD,SHORT,1.16827,1.16929,1.16674,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,1.16716,1.17536,1.17135,1.17640,LL_LH,16,-0.00056,0.00109,PERIOD_M15,1.17536,1.16716,1.16913,24.02,3.47,6,false,1.16913,1.88,10.49,PERIOD_M5,1.16821,1.16815,1,0.26,12.0,acceptable,100.00,2.23,0.00102,1.50,0.3495,v3_chasing_entry,,true,,false,v3_chasing_entry,0.00,false,0.94,1,0.52,unclear,,0,1,0.26,10.49,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
