run,scenario,prefix,elapsed_seconds
A,current_thirdwave_current_sl_1_5R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_A_cur15,195.1
B,v4_micro_or_candle_current_sl_1_5R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_B_mc_cur15,184.9
C,v4_micro_or_candle_lower_tf_sl_1_2R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_C_mc_l12,174.8
D,v4_micro_or_candle_lower_tf_sl_1_3R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_D_mc_l13,174.8
E,v4_micro_or_candle_lower_tf_sl_1_5R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_E_mc_l15,174.8
F,v4_without_weak_lower_tf_sl_1_2R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_F_nw_l12,184.8
G,v4_without_weak_lower_tf_sl_1_3R,ExpectedValue_MultiCurrency_ScoreScanner_ltfsl_26q1_G_nw_l13,185.0
