period,variant,adx_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,medium_0.35-0.55,39,19,20,48.72,457.13,1.464,11.72,0.234,238.01,2.27,4,-201.06,119.94,337.19,179.21,277.92,61.54,61.54,3.129,4.693,0.1414,0.461,46.32,2.982,0.2,0.69
2024,current_thirdwave_current_sl_1_5R,strong_0.55-0.75,36,14,22,38.89,-17.87,0.984,-0.5,0.029,423.12,4.13,6,-309.71,54.24,-72.11,305.65,-323.52,75.0,75.0,3.126,4.69,0.1259,0.6355,55.75,2.996,0.151,0.43
2024,current_thirdwave_current_sl_1_5R,very_strong_0.75+,28,15,13,53.57,449.23,1.676,16.04,0.356,229.82,2.18,4,-206.34,124.1,325.13,542.65,-93.42,82.14,75.0,2.913,4.369,0.1277,1.0449,49.22,2.774,0.154,0.45
2024,current_thirdwave_current_sl_1_5R,weak_<0.35,75,30,45,40.0,-174.24,0.927,-2.32,-0.012,626.85,6.21,9,-469.8,-141.64,-32.6,-484.63,310.39,64.0,45.33,3.2,4.801,0.1387,0.1864,56.16,3.056,0.171,0.55
2024,v4_micro_or_candle_lower_tf_sl_1_2R,medium_0.35-0.55,55,23,32,41.82,-254.09,0.837,-4.62,-0.075,526.2,5.25,7,-333.67,-212.33,-41.76,-80.37,-173.72,63.64,56.36,2.453,2.943,0.1385,0.4545,53.63,2.428,0.187,0.51
2024,v4_micro_or_candle_lower_tf_sl_1_2R,strong_0.55-0.75,52,23,29,44.23,-140.73,0.899,-2.71,0.003,304.49,3.02,4,-185.47,-135.31,-5.42,118.2,-258.93,69.23,73.08,2.431,2.917,0.1354,0.6353,52.08,2.543,0.207,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,very_strong_0.75+,43,25,18,58.14,500.31,1.55,11.64,0.257,177.61,1.76,3,-151.0,10.54,489.77,493.57,6.74,65.12,51.16,2.094,2.512,0.1355,1.0334,53.67,2.167,0.199,0.56
2024,v4_micro_or_candle_lower_tf_sl_1_2R,weak_<0.35,90,38,52,42.22,-527.84,0.788,-5.86,-0.084,975.68,9.35,9,-442.44,177.94,-705.78,-580.93,53.09,67.78,51.11,2.32,2.784,0.1389,0.1963,62.2,2.346,0.206,0.83
2024,v4_micro_or_candle_lower_tf_sl_1_3R,medium_0.35-0.55,54,22,32,40.74,-204.82,0.869,-3.79,-0.054,485.29,4.85,6,-288.63,-133.93,-70.89,-92.44,-112.38,64.81,55.56,2.445,3.179,0.1377,0.4553,53.81,2.423,0.187,0.51
2024,v4_micro_or_candle_lower_tf_sl_1_3R,strong_0.55-0.75,52,23,29,44.23,-36.88,0.973,-0.71,0.046,259.62,2.57,4,-185.48,-103.81,66.93,201.01,-237.89,69.23,73.08,2.431,3.16,0.1354,0.6353,52.08,2.543,0.206,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,very_strong_0.75+,42,22,20,52.38,335.12,1.334,7.98,0.177,185.25,1.8,4,-202.62,-66.02,401.14,508.89,-173.77,64.29,50.0,2.091,2.718,0.1358,1.0391,53.57,2.169,0.2,0.56
2024,v4_micro_or_candle_lower_tf_sl_1_3R,weak_<0.35,90,37,53,41.11,-460.47,0.818,-5.12,-0.068,876.68,8.45,9,-438.59,242.97,-703.44,-495.75,35.28,67.78,51.11,2.322,3.018,0.1389,0.196,62.26,2.346,0.205,0.82
2024,v4_without_weak_lower_tf_sl_1_3R,medium_0.35-0.55,59,25,34,42.37,-125.4,0.922,-2.13,-0.022,281.62,2.82,5,-260.59,2.52,-127.92,-71.51,-53.89,61.02,50.85,2.481,3.226,0.1384,0.4498,54.53,2.444,0.18,0.49
2024,v4_without_weak_lower_tf_sl_1_3R,strong_0.55-0.75,64,28,36,43.75,-59.6,0.964,-0.93,0.029,329.8,3.28,6,-274.72,-70.51,10.91,201.03,-260.63,65.62,59.38,2.325,3.022,0.1358,0.6355,54.61,2.37,0.208,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,very_strong_0.75+,47,23,24,48.94,266.65,1.232,5.67,0.13,316.55,3.04,7,-316.55,38.67,227.98,499.95,-233.3,65.96,44.68,2.057,2.674,0.1342,1.0284,52.42,2.123,0.194,0.56
2024,v4_without_weak_lower_tf_sl_1_3R,weak_<0.35,115,43,72,37.39,-993.53,0.707,-8.64,-0.154,1262.53,12.34,10,-479.21,-422.19,-571.34,-476.01,-517.52,60.87,40.0,2.222,2.888,0.1415,0.1969,59.92,2.229,0.221,0.87
2025,current_thirdwave_current_sl_1_5R,medium_0.35-0.55,59,22,37,37.29,-327.37,0.818,-5.55,-0.084,687.8,6.8,8,-389.27,-189.68,-137.69,-129.35,-198.02,72.88,61.02,3.06,4.59,0.0941,0.457,49.21,2.944,0.099,0.45
2025,current_thirdwave_current_sl_1_5R,strong_0.55-0.75,61,25,36,40.98,-70.52,0.959,-1.16,0.024,668.75,6.55,7,-344.4,-230.9,160.38,-214.48,143.96,80.33,68.85,3.339,5.008,0.1004,0.6453,55.96,3.209,0.099,0.51
2025,current_thirdwave_current_sl_1_5R,very_strong_0.75+,45,16,29,35.56,-118.68,0.912,-2.64,-0.055,461.17,4.46,7,-350.11,142.39,-261.07,-519.56,400.88,84.44,84.44,3.108,4.662,0.0903,0.9327,51.3,2.996,0.095,0.41
2025,current_thirdwave_current_sl_1_5R,weak_<0.35,104,43,61,41.35,84.59,1.03,0.81,0.033,482.46,4.57,7,-317.02,-132.63,217.22,312.87,-228.28,71.15,42.31,3.093,4.64,0.1047,0.1814,59.79,2.97,0.113,0.8
2025,v4_micro_or_candle_lower_tf_sl_1_2R,medium_0.35-0.55,79,39,40,49.37,297.97,1.149,3.77,0.085,549.16,5.4,6,-290.45,157.91,140.06,610.64,-312.67,74.68,56.96,2.441,2.93,0.0936,0.455,52.54,2.417,0.134,0.72
2025,v4_micro_or_candle_lower_tf_sl_1_2R,strong_0.55-0.75,69,36,33,52.17,419.12,1.256,6.07,0.149,191.01,1.84,3,-148.75,71.44,347.68,355.44,63.68,76.81,57.97,2.443,2.932,0.0916,0.6479,57.15,2.405,0.133,0.75
2025,v4_micro_or_candle_lower_tf_sl_1_2R,very_strong_0.75+,60,26,34,43.33,-134.59,0.918,-2.24,-0.031,369.99,3.69,3,-144.22,-108.66,-25.93,60.14,-194.73,81.67,78.33,2.397,2.877,0.0943,0.9069,50.27,2.393,0.141,0.54
2025,v4_micro_or_candle_lower_tf_sl_1_2R,weak_<0.35,129,62,67,48.06,261.11,1.079,2.02,0.068,340.23,3.28,7,-340.23,-203.85,464.96,363.01,-101.9,66.67,43.41,2.283,2.74,0.1085,0.1833,58.76,2.261,0.181,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,medium_0.35-0.55,79,37,42,46.84,273.58,1.133,3.46,0.079,618.38,6.07,10,-492.29,-26.4,299.98,623.3,-349.72,74.68,56.96,2.441,3.174,0.0936,0.455,52.54,2.417,0.132,0.71
2025,v4_micro_or_candle_lower_tf_sl_1_3R,strong_0.55-0.75,68,34,34,50.0,417.33,1.253,6.14,0.15,148.75,1.48,3,-148.75,46.88,370.45,281.12,136.21,77.94,57.35,2.42,3.146,0.0902,0.6481,57.96,2.383,0.129,0.72
2025,v4_micro_or_candle_lower_tf_sl_1_3R,very_strong_0.75+,60,25,35,41.67,-137.2,0.919,-2.29,-0.025,342.58,3.41,3,-144.22,-88.23,-48.97,31.28,-168.48,81.67,78.33,2.397,3.117,0.0943,0.9069,50.27,2.393,0.139,0.53
2025,v4_micro_or_candle_lower_tf_sl_1_3R,weak_<0.35,128,58,70,45.31,171.14,1.05,1.34,0.053,332.02,3.25,7,-332.02,-216.91,388.05,339.56,-168.42,66.41,42.97,2.285,2.97,0.1082,0.1843,58.59,2.263,0.178,0.83
2025,v4_without_weak_lower_tf_sl_1_3R,medium_0.35-0.55,100,47,53,47.0,399.63,1.153,4.0,0.094,567.0,5.5,10,-484.53,176.66,222.97,627.71,-228.08,65.0,45.0,2.397,3.115,0.1016,0.4478,52.89,2.357,0.152,0.73
2025,v4_without_weak_lower_tf_sl_1_3R,strong_0.55-0.75,69,38,31,55.07,801.17,1.531,11.61,0.268,147.79,1.4,3,-147.79,119.73,681.44,262.54,538.63,73.91,56.52,2.48,3.223,0.0941,0.6434,56.96,2.325,0.138,0.74
2025,v4_without_weak_lower_tf_sl_1_3R,very_strong_0.75+,64,26,38,40.62,-102.93,0.944,-1.61,-0.007,351.54,3.51,3,-149.48,-235.83,132.9,32.68,-135.61,78.12,73.44,2.339,3.041,0.0989,0.9105,51.78,2.338,0.148,0.55
2025,v4_without_weak_lower_tf_sl_1_3R,weak_<0.35,155,68,87,43.87,20.48,1.005,0.13,0.019,733.62,7.29,8,-391.11,-581.19,601.67,344.35,-323.87,65.81,35.48,2.274,2.957,0.1081,0.1807,58.08,2.184,0.176,0.85
2026YTD,current_thirdwave_current_sl_1_5R,medium_0.35-0.55,20,10,10,50.0,346.88,1.71,17.34,0.283,108.69,1.06,2,-94.8,-51.62,398.5,-12.16,359.04,95.0,30.0,3.074,4.612,0.0603,0.4583,50.89,2.967,0.053,0.27
2026YTD,current_thirdwave_current_sl_1_5R,strong_0.55-0.75,18,7,11,38.89,102.08,1.209,5.67,-0.024,228.81,2.27,4,-170.62,108.62,-6.54,-223.03,325.11,83.33,44.44,2.862,4.293,0.0547,0.6518,66.48,2.759,0.068,0.44
2026YTD,current_thirdwave_current_sl_1_5R,very_strong_0.75+,15,8,7,53.33,198.67,1.583,13.24,0.332,154.49,1.54,3,-154.49,-49.59,248.26,209.1,-10.43,93.33,66.67,3.239,4.859,0.0422,0.8588,47.35,3.13,0.034,0.14
2026YTD,current_thirdwave_current_sl_1_5R,weak_<0.35,42,19,23,45.24,218.12,1.192,5.19,0.121,315.09,3.02,5,-217.06,2.23,215.89,130.09,88.03,88.1,30.95,2.78,4.17,0.0611,0.1742,61.37,2.67,0.058,0.3
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,medium_0.35-0.55,27,17,10,62.96,560.58,2.107,20.76,0.417,268.23,2.49,3,-144.89,380.02,180.56,95.25,465.33,77.78,25.93,2.477,2.973,0.0822,0.4527,51.29,2.473,0.092,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,strong_0.55-0.75,26,9,17,34.62,-419.6,0.551,-16.14,-0.24,564.78,5.57,6,-264.91,-154.45,-265.15,-287.04,-132.56,73.08,42.31,2.403,2.883,0.0612,0.6703,60.3,2.48,0.093,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,very_strong_0.75+,11,7,4,63.64,232.94,2.273,21.18,0.414,54.09,0.53,1,-40.54,60.41,172.53,161.31,71.63,90.91,54.55,2.63,3.156,0.0507,0.8933,48.88,2.651,0.051,0.17
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,weak_<0.35,58,30,28,51.72,547.74,1.385,9.44,0.144,495.86,4.58,9,-403.83,120.2,427.54,11.75,535.99,91.38,34.48,2.307,2.768,0.056,0.1846,59.43,2.286,0.071,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,medium_0.35-0.55,26,15,11,57.69,441.16,1.773,16.97,0.355,262.77,2.47,3,-144.89,283.42,157.74,99.54,341.62,76.92,26.92,2.515,3.269,0.0837,0.4529,49.97,2.458,0.093,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,strong_0.55-0.75,28,9,19,32.14,-453.27,0.551,-16.19,-0.264,624.71,6.14,6,-266.42,-145.9,-307.37,-273.92,-179.35,75.0,39.29,2.366,3.076,0.06,0.668,61.61,2.431,0.089,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,very_strong_0.75+,10,6,4,60.0,194.52,2.071,19.45,0.379,103.95,1.01,2,-103.95,64.64,129.88,59.18,135.34,90.0,60.0,2.55,3.315,0.0523,0.9075,49.22,2.582,0.054,0.17
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,weak_<0.35,58,29,29,50.0,602.43,1.415,10.39,0.151,581.42,5.31,9,-417.96,131.88,470.55,47.53,554.9,91.38,34.48,2.291,2.979,0.056,0.1851,59.43,2.274,0.071,0.61
2026YTD,v4_without_weak_lower_tf_sl_1_3R,medium_0.35-0.55,32,18,14,56.25,536.74,1.802,16.77,0.314,242.35,2.28,3,-143.94,302.73,234.01,114.37,422.37,75.0,21.88,2.392,3.109,0.0859,0.4487,50.93,2.317,0.107,0.43
2026YTD,v4_without_weak_lower_tf_sl_1_3R,strong_0.55-0.75,29,11,18,37.93,-264.24,0.718,-9.11,-0.129,431.21,4.24,4,-193.5,-143.6,-120.64,-270.36,6.12,75.86,37.93,2.536,3.296,0.0613,0.6654,60.62,2.577,0.073,0.38
2026YTD,v4_without_weak_lower_tf_sl_1_3R,very_strong_0.75+,16,7,9,43.75,-19.64,0.955,-1.23,0.002,154.51,1.52,3,-143.74,-42.02,22.38,59.18,-78.82,81.25,37.5,2.386,3.101,0.0675,0.8664,44.49,2.499,0.093,0.48
2026YTD,v4_without_weak_lower_tf_sl_1_3R,weak_<0.35,70,33,37,47.14,422.03,1.23,6.03,0.067,568.04,5.23,9,-397.76,99.03,323.0,55.04,366.99,88.57,28.57,2.239,2.911,0.0575,0.171,59.18,2.214,0.086,1.0
