time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason
2025.02.01 00:00:00,blocked_candidate,USDJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_trigger,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,false,true,true,false,false,155.601,153.782,53.66,0.558,0.251,0.140,0.3000,42.0,155.106,155.084,155.203,155.164,0.000,0.000,0.00,0.000,0.00,4,0.058,0.00,0.039,0.00,0.0,0.00,0.0,0.00,0.00,true,true,true,false,false,2025.01.31 22:45:00,2025.01.31 23:00:00,,1,3,0.01,0.50,155.106,0.01,true,deep_retest_but_reclaim_missing,no_retest_trigger
2025.02.03 00:04:58,blocked_candidate,EURJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,sl_too_wide,sl_too_wide,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,true,true,true,true,false,false,false,true,true,false,false,161.829,159.892,42.49,0.700,0.422,0.202,0.6879,139.0,160.873,160.518,161.068,158.572,161.207,0.000,0.00,2.635,0.00,5,2.301,11.39,2.496,12.35,2635.0,13.04,0.0,0.00,43.01,true,true,true,true,false,2025.01.31 23:00:00,2025.01.31 23:15:00,2025.01.31 23:45:00,1,3,0.09,0.50,160.873,0.09,false,shallow_retest_then_go,
2025.02.03 00:04:58,blocked_candidate,GBPJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,sl_too_wide,sl_too_wide,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,true,true,true,true,false,false,false,true,true,false,false,193.342,191.178,48.01,0.800,0.486,0.224,0.9723,218.0,192.233,192.092,192.525,190.594,192.743,0.000,0.00,2.149,0.00,5,1.639,7.31,1.931,8.61,2149.0,9.58,0.0,0.00,70.14,true,true,true,true,false,2025.01.31 23:00:00,2025.01.31 23:15:00,2025.01.31 23:45:00,1,3,0.64,0.50,192.233,0.64,true,deep_retest_but_reclaim,
2025.02.03 00:04:58,blocked_candidate,AUDJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_trigger,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,false,true,true,false,false,96.851,95.595,58.44,0.469,0.248,0.136,1.4427,196.0,96.344,96.321,96.514,95.318,0.000,0.000,0.00,0.000,0.00,5,1.026,0.00,1.196,0.00,0.0,0.00,0.0,0.00,0.00,true,true,true,false,false,2025.01.31 23:30:00,2025.01.31 23:45:00,,1,1,0.26,0.50,96.344,0.26,false,shallow_retest_no_trigger,no_retest_trigger
2025.02.03 00:19:59,blocked_candidate,EURJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,sl_too_wide,sl_too_wide,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,true,true,true,true,false,false,false,true,true,false,false,161.829,159.892,42.49,0.700,0.422,0.355,0.5636,200.0,160.873,160.518,161.068,158.906,161.268,0.000,0.00,2.362,0.00,6,1.967,5.54,2.162,6.09,2362.0,6.66,0.0,0.00,90.15,true,true,true,true,false,2025.01.31 23:00:00,2025.01.31 23:15:00,2025.02.03 00:00:00,1,4,0.05,0.50,160.516,0.05,false,shallow_retest_then_go,
2025.02.03 00:19:59,blocked_candidate,GBPJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_confirmation_break,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,false,true,true,false,false,193.342,191.178,48.01,0.800,0.486,0.349,0.8931,312.0,192.053,0.000,192.388,190.825,0.000,0.000,0.00,0.000,0.00,3,0.000,0.00,0.000,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,no_retest_confirmation_break
2025.02.03 00:19:59,blocked_candidate,AUDJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,sl_too_wide,sl_too_wide,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,true,true,true,true,false,false,false,true,true,false,false,96.851,95.595,58.44,0.469,0.248,0.213,0.7418,158.0,96.344,96.321,96.514,95.465,96.672,0.000,0.00,1.207,0.00,6,0.879,4.13,1.049,4.92,1207.0,5.67,0.0,0.00,100.30,true,true,true,true,false,2025.01.31 23:30:00,2025.01.31 23:45:00,2025.02.03 00:00:00,1,2,0.17,0.50,96.306,0.17,false,shallow_retest_then_go,
2025.02.03 00:34:59,blocked_candidate,EURJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,sl_too_wide,sl_too_wide,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,true,true,true,true,false,false,false,true,true,false,false,161.829,159.892,42.49,0.700,0.422,0.355,0.5635,200.0,160.873,160.518,161.068,158.760,161.268,0.000,0.00,2.508,0.00,7,2.113,5.95,2.308,6.50,2508.0,7.07,0.0,0.00,84.87,true,true,true,true,false,2025.01.31 23:00:00,2025.01.31 23:15:00,2025.02.03 00:15:00,1,5,0.05,0.50,160.873,0.05,false,shallow_retest_then_go,
2025.02.03 00:34:59,blocked_candidate,GBPJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,h1_counter_trend_nwave,no_retest_detected,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmation_wait,true,true,true,false,false,false,false,true,true,false,false,193.342,191.178,48.01,0.800,0.486,0.350,0.7611,266.0,192.053,190.787,192.388,190.726,0.000,0.000,0.00,0.000,0.00,4,0.000,0.00,0.000,0.00,0.0,0.00,0.0,0.00,0.00,true,false,false,false,false,2025.02.03 00:00:00,,,0,1,0.00,0.50,0.000,0.00,false,no_retest_break_and_go,no_retest_detected
2025.02.03 00:34:59,blocked_candidate,AUDJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_RetestConfirmation,sl_too_wide,sl_too_wide,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,true,true,true,true,false,false,false,true,true,false,false,96.851,95.595,58.44,0.469,0.248,0.219,0.7472,164.0,96.344,96.321,96.514,95.344,96.678,0.000,0.00,1.334,0.00,7,1.000,4.56,1.170,5.33,1334.0,6.08,0.0,0.00,96.91,true,true,true,true,false,2025.01.31 23:30:00,2025.01.31 23:45:00,2025.02.03 00:15:00,1,3,0.16,0.50,96.344,0.16,false,shallow_retest_then_go,
