period,scenario,winning_type,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,clean_break_and_go,2,2,0,100.0,180.57,,90.28,0.0,0.0,0.0,95.52,85.05,85.05,95.52,2.352,0.327,100.0,100.0,100.0,0.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fast_follow_through,1,1,0,100.0,97.58,,97.58,0.0,0.0,0.0,0,97.58,0,97.58,2.833,0.28,100.0,100.0,100.0,100.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,97.32,,97.32,0.0,0.0,0.0,97.32,0,0,97.32,2.308,0.055,100.0,100.0,100.0,0.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,clean_break_and_go,1,1,0,100.0,85.05,,85.05,0.0,0.0,0.0,0,85.05,85.05,0,2.503,0.216,100.0,100.0,100.0,0.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fast_follow_through,1,1,0,100.0,97.58,,97.58,0.0,0.0,0.0,0,97.58,0,97.58,2.833,0.28,100.0,100.0,100.0,100.0
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,97.32,,97.32,0.0,0.0,0.0,97.32,0,0,97.32,2.308,0.055,100.0,100.0,100.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,h1_counter_trend_exhausted,1,1,0,100.0,88.04,,88.04,0.0,0.0,0.0,0,88.04,88.04,0,2.138,0.057,100.0,100.0,100.0,0.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,h1_counter_trend_exhausted,1,1,0,100.0,88.04,,88.04,0.0,0.0,0.0,0,88.04,88.04,0,2.138,0.057,100.0,100.0,100.0,0.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,79.91,,79.91,0.0,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,79.91,,79.91,0.0,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fast_follow_through,1,1,0,100.0,100.87,,100.87,0.0,0.0,0.0,100.87,0,0,100.87,2.234,0.614,100.0,100.0,100.0,0.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,retest_then_go,3,3,0,100.0,262.1,,87.37,0.0,0.0,0.0,98.56,163.54,163.54,98.56,2.271,0.581,100.0,100.0,100.0,33.33
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,retest_then_go,3,3,0,100.0,262.1,,87.37,0.0,0.0,0.0,98.56,163.54,163.54,98.56,2.271,0.581,100.0,100.0,100.0,33.33
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_then_go,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,clean_break_and_go,1,1,0,100.0,96.63,,96.63,0.0,0.0,0.0,96.63,0,0,96.63,2.293,0.678,100.0,100.0,100.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,retest_then_go,2,2,0,100.0,198.49,,99.25,0.0,0.0,0.0,198.49,0,98.55,99.94,2.42,0.435,100.0,100.0,100.0,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,strong_body_breakout,1,1,0,100.0,57.29,,57.29,0.0,0.0,0.0,0,57.29,0,57.29,2.053,0.162,100.0,100.0,100.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,retest_then_go,2,2,0,100.0,198.49,,99.25,0.0,0.0,0.0,198.49,0,98.55,99.94,2.42,0.435,100.0,100.0,100.0,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,strong_body_breakout,1,1,0,100.0,57.29,,57.29,0.0,0.0,0.0,0,57.29,0,57.29,2.053,0.162,100.0,100.0,100.0,0.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,h1_counter_trend_exhausted,1,1,0,100.0,100.83,,100.83,0.0,0.0,0.0,100.83,0,0,100.83,2.293,0.678,100.0,100.0,100.0,0.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_then_go,2,2,0,100.0,192.0,,96.0,0.0,0.0,0.0,192.0,0,98.55,93.45,2.298,0.571,100.0,100.0,100.0,50.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_then_go,2,2,0,100.0,192.0,,96.0,0.0,0.0,0.0,192.0,0,98.55,93.45,2.298,0.571,100.0,100.0,100.0,50.0
