period,run,scenario,trade_index,open_time,close_time,symbol,direction,net_profit,final_result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,time_to_SL,would_1R_take_profit_help,would_1_5R_take_profit_help,would_2R_take_profit_work,did_price_reverse_after_1R,did_price_reverse_after_1_5R,mfe_bucket,failure_type,winning_type
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,21,2026.03.20 09:05:00,2026.03.20 11:19:23,XAUUSD,SHORT,-30.59,-1.043,1.146,1.274,1,1,0,0,0,20.0,35.0,,,,130.0,1,0,0,1,0,1-1.5R,target_too_far,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,22,2026.03.20 11:50:00,2026.03.20 13:56:26,XAUUSD,SHORT,57.29,2.004,2.053,0.162,1,1,1,1,0,40.0,55.0,70.0,125.0,,,0,0,1,0,0,2R+,,strong_body_breakout
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,23,2026.03.24 11:20:00,2026.03.24 12:30:01,GBPUSD,LONG,-47.36,-1.035,0.0,1.133,0,0,0,0,0,,,,,,70.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,24,2026.03.24 12:50:00,2026.03.24 16:07:17,GBPUSD,LONG,-46.41,-1.0,1.622,2.546,1,1,1,0,0,5.0,30.0,80.0,,,195.0,1,1,0,1,1,1.5-2R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,25,2026.03.26 14:05:00,2026.03.26 19:21:27,XAUUSD,LONG,-34.93,-1.073,1.019,1.812,1,1,0,0,0,195.0,210.0,,,,315.0,1,0,0,1,0,1-1.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2026.01.14 20:05:00,2026.01.16 04:40:12,USDJPY,LONG,-43.419999999999995,-1.004,1.914,1.5,1,1,1,0,0,100.0,545.0,1170.0,,,1955.0,1,1,0,1,1,1.5-2R,target_too_far,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2026.01.16 15:35:00,2026.01.16 17:39:05,GBPUSD,SHORT,99.94,2.039,2.69,0.566,1,1,1,1,0,100.0,105.0,110.0,120.0,,,0,0,1,0,0,2R+,,retest_then_go
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2026.01.16 18:05:00,2026.01.19 01:43:29,GBPUSD,SHORT,-48.94,-1.005,1.864,1.077,1,1,1,0,0,3235.0,3235.0,3235.0,,,3335.0,1,1,0,1,1,1.5-2R,target_too_far,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2026.01.21 16:05:00,2026.01.21 21:31:09,GBPUSD,LONG,-47.96,-1.0,1.22,1.032,1,1,0,0,0,25.0,35.0,,,,325.0,1,0,0,1,0,1-1.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2026.01.28 13:05:00,2026.01.28 13:08:17,GBPUSD,LONG,-49.28,-1.0,0.0,1.013,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2026.01.28 20:05:00,2026.01.28 20:38:13,GBPUSD,LONG,-48.0,-1.0,0.146,1.177,0,0,0,0,0,,,,,,30.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2026.01.29 01:05:00,2026.01.29 09:03:55,EURUSD,LONG,98.55,2.017,2.149,0.304,1,1,1,1,0,15.0,30.0,85.0,475.0,,,0,0,1,0,0,2R+,,retest_then_go
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2026.01.29 03:05:00,2026.01.29 09:41:04,USDJPY,SHORT,-50.76,-1.006,2.068,0.892,1,1,1,1,0,0.0,80.0,140.0,170.0,,,1,1,1,0,0,2R+,late_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2026.01.30 01:50:00,2026.01.30 03:07:19,XAUUSD,LONG,-70.76,-1.007,0.11,2.009,0,0,0,0,0,,,,,,75.0,0,0,0,0,0,<0.5R,no_follow_through,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2026.02.03 13:50:00,2026.02.03 14:00:55,XAUUSD,SHORT,-36.92,-1.013,0.433,1.593,0,0,0,0,0,,,,,,10.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2026.02.12 18:50:00,2026.02.13 03:05:06,USDJPY,SHORT,-50.72,-1.011,0.549,1.466,1,0,0,0,0,30.0,,,,,495.0,0,0,0,0,0,0.5-1R,late_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2026.02.13 16:50:00,2026.02.13 17:10:40,GBPJPY,SHORT,-48.41,-1.014,0.694,1.541,1,0,0,0,0,0.0,,,,,20.0,0,0,0,0,0,0.5-1R,false_breakout,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2026.02.13 16:50:00,2026.02.16 09:17:13,EURJPY,SHORT,-50.96,-1.018,1.348,1.097,1,1,0,0,0,15.0,335.0,,,,3865.0,1,0,0,1,0,1-1.5R,target_too_far,
