run,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,gross_profit,gross_loss,avg_win,avg_loss,max_balance_dd,max_balance_dd_pct,max_balance_dd_time,max_consecutive_wins,max_consecutive_wins_amount,max_consecutive_losses,max_consecutive_losses_amount,xauusd_trades,xauusd_trade_share_pct,xauusd_net_profit,short_trades,short_net_profit,after_stop_time_trades,after_stop_time_net_profit,same_m5_bar_reentries,score_rows,best_candidate_rows,entry_score_ok_rows,max_drawdown_stop_score_rows,daily_stop_score_rows,weekly_stop_score_rows
stop_on,225,88,137,39.11,-500.21,0.929,-2.22,6569.98,-7070.19,74.66,-51.61,1088.88,10.28,2025.02.25 03:36:42,4,283.1,9,-443.39,154,68.44,-177.53,80,-528.29,0,0,0,733817,104831,259,622650,0,0
stop_off,1692,677,1015,40.01,-672.91,0.984,-0.4,41165.47,-41838.38,60.81,-41.22,3752.55,35.44,2025.09.18 05:07:18,7,372.77,10,-468.83,1224,72.34,2097.29,626,-3402.23,1467,-172.65,0,733817,104831,2530,0,0,0
