variant,symbol,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,EURJPY,1,1,1,0,100.0,75.07,,75.07,1.502,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,EURUSD,3,3,2,1,66.67,110.22,3.135,36.74,0.712,51.62,0.51,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,GBPUSD,3,3,1,2,33.33,-21.29,0.783,-7.1,-0.168,98.09,0.97,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,USDJPY,11,11,5,6,45.45,77.33,1.259,7.03,0.137,123.25,1.21,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,XAUUSD,91,91,44,47,48.35,1047.63,1.481,11.51,0.217,311.85,3.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,EURJPY,2,2,2,0,100.0,155.47,,77.73,1.506,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,EURUSD,6,6,4,2,66.67,214.52,2.897,35.75,0.668,57.2,0.56,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,GBPJPY,6,6,2,4,33.33,-54.25,0.738,-9.04,-0.176,152.12,1.51,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,GBPUSD,6,6,1,5,16.67,-179.99,0.308,-30.0,-0.588,179.99,1.8,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,USDJPY,30,30,12,18,40.0,9.41,1.011,0.31,0.024,318.29,3.11,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,XAUUSD,144,144,66,78,45.83,1455.21,1.387,10.11,0.153,404.61,3.42,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,EURJPY,1,1,1,0,100.0,79.97,,79.97,1.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,EURUSD,3,3,2,1,66.67,108.15,2.904,36.05,0.667,56.8,0.56,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,GBPJPY,4,4,0,4,0.0,-208.94,0.0,-52.23,-1.015,208.94,2.09,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,GBPUSD,4,4,2,2,50.0,51.95,1.496,12.99,0.253,54.27,0.54,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,USDJPY,15,15,7,8,46.67,106.16,1.258,7.08,0.168,254.03,2.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,XAUUSD,96,96,44,52,45.83,1118.4,1.45,11.65,0.154,437.19,3.78,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,EURUSD,3,3,1,2,33.33,-25.91,0.743,-8.64,-0.176,100.65,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
