scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,m15_prev_extreme_bos,47,27.66,0.758,-0.169,-413.83,697.9,6.82,1.199,1.12,68.09,48.94,27.66,18,29,-148.84,-264.99,-0.159,-0.175,6,11,AUDJPY:1;EURJPY:7;EURUSD:3;GBPJPY:5;GBPUSD:9;USDJPY:22,2025-01:6;2025-02:3;2025-03:4;2025-04:10;2025-05:1;2025-06:3;2025-07:5;2025-08:6;2025-09:4;2025-10:2;2025-11:3,LONG:18;SHORT:29
A_current_broad_fx_only,m15_true_bos_close,16,25.0,0.673,-0.251,-189.84,531.83,5.14,1.166,0.997,56.25,50.0,25.0,10,6,-43.36,-146.48,-0.1,-0.503,6,10,AUDJPY:1;EURJPY:2;EURUSD:5;GBPJPY:1;GBPUSD:2;USDJPY:5,2025-01:1;2025-02:1;2025-03:3;2025-06:1;2025-07:1;2025-08:2;2025-09:1;2025-10:1;2025-11:3;2025-12:2,LONG:10;SHORT:6
B_broad_hard_gate_reduced,m15_micro_break,380,28.95,0.9,0.115,-475.51,1349.23,12.41,1.369,1.19,70.79,52.63,29.21,193,187,-577.46,101.95,0.109,0.122,6,12,AUDJPY:14;EURJPY:44;EURUSD:56;GBPJPY:52;GBPUSD:67;USDJPY:147,2025-01:32;2025-02:41;2025-03:37;2025-04:69;2025-05:38;2025-06:32;2025-07:19;2025-08:22;2025-09:14;2025-10:30;2025-11:28;2025-12:18,LONG:193;SHORT:187
B_broad_hard_gate_reduced,m15_prev_extreme_bos,76,23.68,0.736,-0.02,-282.58,364.11,3.64,1.48,1.226,76.32,56.58,18.42,29,47,-134.26,-148.32,0.176,-0.141,6,11,AUDJPY:4;EURJPY:11;EURUSD:10;GBPJPY:9;GBPUSD:20;USDJPY:22,2025-01:8;2025-02:9;2025-03:6;2025-04:15;2025-05:7;2025-06:2;2025-07:5;2025-08:3;2025-09:9;2025-10:5;2025-11:7,LONG:29;SHORT:47
B_broad_hard_gate_reduced,m15_reversal_candle,2555,30.49,0.832,-0.121,-5686.3,5970.62,58.35,1.369,1.334,68.85,50.29,29.51,1327,1228,-3479.64,-2206.66,-0.097,-0.146,6,12,AUDJPY:143;EURJPY:335;EURUSD:374;GBPJPY:330;GBPUSD:425;USDJPY:948,2025-01:267;2025-02:249;2025-03:307;2025-04:376;2025-05:253;2025-06:197;2025-07:188;2025-08:140;2025-09:138;2025-10:191;2025-11:131;2025-12:118,LONG:1327;SHORT:1228
B_broad_hard_gate_reduced,m15_short_ma_reversal,900,27.89,0.806,-0.141,-2388.79,2757.9,26.64,1.318,1.298,70.22,49.78,27.22,395,505,-1195.89,-1192.9,-0.092,-0.179,6,12,AUDJPY:55;EURJPY:113;EURUSD:118;GBPJPY:114;GBPUSD:145;USDJPY:355,2025-01:100;2025-02:74;2025-03:123;2025-04:142;2025-05:93;2025-06:71;2025-07:49;2025-08:59;2025-09:46;2025-10:60;2025-11:46;2025-12:37,LONG:395;SHORT:505
B_broad_hard_gate_reduced,m15_true_bos_close,88,21.59,0.622,0.107,-394.44,545.29,5.37,1.094,1.0,61.36,37.5,19.32,50,38,-299.76,-94.68,0.295,-0.141,6,12,AUDJPY:4;EURJPY:15;EURUSD:18;GBPJPY:11;GBPUSD:16;USDJPY:24,2025-01:6;2025-02:4;2025-03:11;2025-04:8;2025-05:11;2025-06:9;2025-07:5;2025-08:6;2025-09:9;2025-10:7;2025-11:10;2025-12:2,LONG:50;SHORT:38
C_broad_reduced_room_to_2r,m15_micro_break,245,30.2,1.07,0.161,197.68,658.18,6.07,1.511,1.244,72.24,54.69,34.29,121,124,-384.69,582.37,0.182,0.14,6,12,AUDJPY:10;EURJPY:27;EURUSD:38;GBPJPY:34;GBPUSD:36;USDJPY:100,2025-01:22;2025-02:21;2025-03:27;2025-04:48;2025-05:25;2025-06:21;2025-07:12;2025-08:17;2025-09:9;2025-10:19;2025-11:14;2025-12:10,LONG:121;SHORT:124
C_broad_reduced_room_to_2r,m15_prev_extreme_bos,43,27.91,0.944,-0.029,-32.48,169.6,1.69,1.684,1.418,74.42,55.81,18.6,19,24,22.97,-55.45,0.235,-0.237,6,11,AUDJPY:2;EURJPY:6;EURUSD:6;GBPJPY:6;GBPUSD:7;USDJPY:16,2025-01:3;2025-02:8;2025-03:2;2025-04:9;2025-05:4;2025-06:1;2025-07:4;2025-08:1;2025-09:4;2025-10:4;2025-11:3,LONG:19;SHORT:24
C_broad_reduced_room_to_2r,m15_reversal_candle,2161,29.06,0.764,-0.128,-6966.73,7190.42,70.58,1.398,1.36,69.74,50.86,30.03,1113,1048,-4174.51,-2792.22,-0.11,-0.147,6,12,AUDJPY:116;EURJPY:289;EURUSD:310;GBPJPY:281;GBPUSD:361;USDJPY:804,2025-01:224;2025-02:214;2025-03:256;2025-04:313;2025-05:214;2025-06:171;2025-07:162;2025-08:125;2025-09:113;2025-10:167;2025-11:104;2025-12:98,LONG:1113;SHORT:1048
C_broad_reduced_room_to_2r,m15_short_ma_reversal,682,27.71,0.771,-0.16,-2282.63,2695.03,25.92,1.357,1.328,71.41,51.32,28.45,315,367,-1126.97,-1155.66,-0.107,-0.206,6,12,AUDJPY:43;EURJPY:85;EURUSD:88;GBPJPY:86;GBPUSD:100;USDJPY:280,2025-01:83;2025-02:60;2025-03:101;2025-04:105;2025-05:73;2025-06:49;2025-07:39;2025-08:43;2025-09:34;2025-10:40;2025-11:28;2025-12:27,LONG:315;SHORT:367
C_broad_reduced_room_to_2r,m15_true_bos_close,12,25.0,0.72,-0.293,-28.25,51.99,0.52,1.023,1.457,66.67,33.33,16.67,7,5,-81.33,53.08,-0.396,-0.149,5,6,AUDJPY:1;EURJPY:1;EURUSD:4;GBPUSD:1;USDJPY:5,2025-03:1;2025-04:3;2025-05:3;2025-07:2;2025-10:2;2025-12:1,LONG:7;SHORT:5
D_broad_reduced_h4_ma_bias,m15_micro_break,140,26.43,0.872,-0.099,-240.63,417.04,4.1,1.22,1.339,66.43,45.71,24.29,75,65,-177.16,-63.47,-0.018,-0.193,6,12,AUDJPY:5;EURJPY:18;EURUSD:23;GBPJPY:19;GBPUSD:28;USDJPY:47,2025-01:17;2025-02:14;2025-03:19;2025-04:16;2025-05:16;2025-06:13;2025-07:7;2025-08:8;2025-09:7;2025-10:12;2025-11:6;2025-12:5,LONG:75;SHORT:65
D_broad_reduced_h4_ma_bias,m15_prev_extreme_bos,27,18.52,0.443,-0.738,-258.45,270.94,2.71,1.086,1.519,70.37,62.96,11.11,10,17,-154.4,-104.05,-1.177,-0.48,6,11,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:5;GBPUSD:7;USDJPY:8,2025-01:4;2025-02:5;2025-03:1;2025-04:6;2025-05:1;2025-06:1;2025-07:1;2025-08:1;2025-09:2;2025-10:1;2025-11:4,LONG:10;SHORT:17
D_broad_reduced_h4_ma_bias,m15_reversal_candle,926,30.24,0.908,-0.218,-1081.44,1581.35,15.14,1.299,1.4,66.85,48.16,26.89,513,413,-329.31,-752.13,-0.157,-0.294,6,12,AUDJPY:56;EURJPY:124;EURUSD:140;GBPJPY:120;GBPUSD:151;USDJPY:335,2025-01:98;2025-02:81;2025-03:118;2025-04:136;2025-05:96;2025-06:70;2025-07:59;2025-08:46;2025-09:51;2025-10:64;2025-11:55;2025-12:52,LONG:513;SHORT:413
D_broad_reduced_h4_ma_bias,m15_short_ma_reversal,305,29.84,0.946,-0.118,-223.39,635.29,6.11,1.342,1.301,70.16,52.46,27.87,147,158,-406.37,182.98,-0.149,-0.089,6,12,AUDJPY:20;EURJPY:35;EURUSD:41;GBPJPY:38;GBPUSD:43;USDJPY:128,2025-01:39;2025-02:32;2025-03:31;2025-04:49;2025-05:32;2025-06:25;2025-07:16;2025-08:19;2025-09:14;2025-10:19;2025-11:16;2025-12:13,LONG:147;SHORT:158
D_broad_reduced_h4_ma_bias,m15_true_bos_close,33,21.21,0.997,0.269,-0.85,141.33,1.39,1.292,0.966,60.61,42.42,24.24,24,9,-139.17,138.32,0.458,-0.238,6,11,AUDJPY:2;EURJPY:7;EURUSD:8;GBPJPY:2;GBPUSD:7;USDJPY:7,2025-01:1;2025-03:7;2025-04:2;2025-05:5;2025-06:3;2025-07:1;2025-08:3;2025-09:4;2025-10:1;2025-11:5;2025-12:1,LONG:24;SHORT:9
E_broad_reduced_m15_close_bos,m15_true_bos_close,88,21.59,0.622,0.107,-394.44,545.29,5.37,1.094,1.0,61.36,37.5,19.32,50,38,-299.76,-94.68,0.295,-0.141,6,12,AUDJPY:4;EURJPY:15;EURUSD:18;GBPJPY:11;GBPUSD:16;USDJPY:24,2025-01:6;2025-02:4;2025-03:11;2025-04:8;2025-05:11;2025-06:9;2025-07:5;2025-08:6;2025-09:9;2025-10:7;2025-11:10;2025-12:2,LONG:50;SHORT:38
F_broad_reduced_room_to_2r_h4_ma,m15_micro_break,80,28.75,1.165,-0.142,169.32,214.79,2.1,1.384,1.537,68.75,48.75,28.75,42,38,-20.48,189.8,0.013,-0.312,6,12,AUDJPY:3;EURJPY:10;EURUSD:12;GBPJPY:12;GBPUSD:13;USDJPY:30,2025-01:11;2025-02:7;2025-03:13;2025-04:9;2025-05:8;2025-06:7;2025-07:3;2025-08:5;2025-09:4;2025-10:9;2025-11:2;2025-12:2,LONG:42;SHORT:38
F_broad_reduced_room_to_2r_h4_ma,m15_prev_extreme_bos,16,18.75,0.662,-0.97,-88.1,113.08,1.13,1.144,1.733,68.75,68.75,12.5,7,9,-95.49,7.39,-1.472,-0.58,6,7,AUDJPY:1;EURJPY:2;EURUSD:2;GBPJPY:3;GBPUSD:1;USDJPY:7,2025-01:2;2025-02:4;2025-04:4;2025-07:1;2025-09:2;2025-10:1;2025-11:2,LONG:7;SHORT:9
F_broad_reduced_room_to_2r_h4_ma,m15_reversal_candle,735,27.76,0.806,-0.247,-1897.2,2317.89,22.27,1.326,1.44,68.03,48.71,27.35,401,334,-817.99,-1079.21,-0.18,-0.327,6,12,AUDJPY:43;EURJPY:103;EURUSD:109;GBPJPY:89;GBPUSD:126;USDJPY:265,2025-01:77;2025-02:66;2025-03:95;2025-04:102;2025-05:83;2025-06:54;2025-07:46;2025-08:41;2025-09:40;2025-10:54;2025-11:40;2025-12:37,LONG:401;SHORT:334
F_broad_reduced_room_to_2r_h4_ma,m15_short_ma_reversal,218,28.9,0.85,-0.22,-480.91,735.25,7.18,1.34,1.357,66.97,51.38,27.52,105,113,-260.7,-220.21,-0.21,-0.228,6,12,AUDJPY:13;EURJPY:25;EURUSD:31;GBPJPY:27;GBPUSD:25;USDJPY:97,2025-01:30;2025-02:25;2025-03:23;2025-04:33;2025-05:28;2025-06:13;2025-07:10;2025-08:16;2025-09:10;2025-10:10;2025-11:10;2025-12:10,LONG:105;SHORT:113
F_broad_reduced_room_to_2r_h4_ma,m15_true_bos_close,3,33.33,1.286,0.957,10.17,26.66,0.27,1.84,0.726,66.67,66.67,66.67,2,1,-35.61,45.78,0.425,2.021,3,3,EURJPY:1;EURUSD:1;USDJPY:1,2025-03:1;2025-04:1;2025-05:1,LONG:2;SHORT:1
