scenario,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,63,26.98,0.737,-0.19,-603.67,1184.23,11.19,1.19,1.088,65.08,49.21,26.98,28,35,-192.2,-411.47,-0.138,-0.231,6,12,AUDJPY:2;EURJPY:9;EURUSD:8;GBPJPY:6;GBPUSD:11;USDJPY:27,2025-01:7;2025-02:4;2025-03:7;2025-04:10;2025-05:1;2025-06:4;2025-07:6;2025-08:8;2025-09:5;2025-10:3;2025-11:6;2025-12:2,LONG:28;SHORT:35
B_broad_hard_gate_reduced,3999,29.43,0.826,-0.096,-9227.62,10064.01,93.01,1.354,1.303,69.32,50.24,28.53,1994,2005,-5687.01,-3540.61,-0.063,-0.129,6,12,AUDJPY:220;EURJPY:518;EURUSD:576;GBPJPY:516;GBPUSD:673;USDJPY:1496,2025-01:413;2025-02:377;2025-03:484;2025-04:610;2025-05:402;2025-06:311;2025-07:266;2025-08:230;2025-09:216;2025-10:293;2025-11:222;2025-12:175,LONG:1994;SHORT:2005
C_sweep_reclaim_only,1815,29.64,0.833,-0.069,-6672.82,7714.65,70.61,1.337,1.226,70.63,49.48,28.98,836,979,-3488.56,-3184.26,-0.117,-0.027,6,12,AUDJPY:89;EURJPY:197;EURUSD:262;GBPJPY:207;GBPUSD:291;USDJPY:769,2025-01:175;2025-02:159;2025-03:259;2025-04:342;2025-05:189;2025-06:144;2025-07:120;2025-08:84;2025-09:73;2025-10:129;2025-11:78;2025-12:63,LONG:836;SHORT:979
D_bos_retest_only,1635,29.3,0.798,-0.142,-6856.0,7227.03,70.12,1.319,1.206,67.52,48.81,29.91,806,829,-3732.11,-3123.89,-0.13,-0.154,6,12,AUDJPY:100;EURJPY:187;EURUSD:223;GBPJPY:200;GBPUSD:280;USDJPY:645,2025-01:184;2025-02:176;2025-03:201;2025-04:266;2025-05:157;2025-06:129;2025-07:115;2025-08:94;2025-09:78;2025-10:107;2025-11:69;2025-12:59,LONG:806;SHORT:829
E_first_pullback_after_reclaim_only,2888,29.95,0.837,-0.064,-8188.47,9197.42,84.07,1.314,1.253,68.07,48.72,28.53,1443,1445,-3726.08,-4462.39,-0.028,-0.1,6,12,AUDJPY:170;EURJPY:346;EURUSD:433;GBPJPY:353;GBPUSD:514;USDJPY:1072,2025-01:322;2025-02:322;2025-03:355;2025-04:433;2025-05:282;2025-06:223;2025-07:174;2025-08:150;2025-09:139;2025-10:226;2025-11:158;2025-12:104,LONG:1443;SHORT:1445
F_combined_new_triggers,3897,29.33,0.818,-0.041,-9190.93,10291.04,92.83,1.342,1.279,70.36,49.86,27.71,1892,2005,-4401.43,-4789.5,-0.055,-0.028,6,12,AUDJPY:230;EURJPY:461;EURUSD:565;GBPJPY:478;GBPUSD:669;USDJPY:1494,2025-01:428;2025-02:402;2025-03:489;2025-04:580;2025-05:396;2025-06:304;2025-07:255;2025-08:214;2025-09:185;2025-10:293;2025-11:200;2025-12:151,LONG:1892;SHORT:2005
G_combined_new_triggers_room_to_2r,2586,29.97,0.854,-0.033,-4846.47,5935.29,53.66,1.399,1.328,70.96,50.73,29.43,1221,1365,-2248.34,-2598.13,-0.062,-0.007,6,12,AUDJPY:144;EURJPY:292;EURUSD:386;GBPJPY:310;GBPUSD:420;USDJPY:1034,2025-01:280;2025-02:263;2025-03:320;2025-04:392;2025-05:277;2025-06:200;2025-07:190;2025-08:140;2025-09:119;2025-10:193;2025-11:117;2025-12:95,LONG:1221;SHORT:1365
H_combined_new_triggers_h4_ma_bias,1391,28.4,0.798,-0.128,-3808.69,4296.78,41.0,1.307,1.329,69.02,48.45,25.52,709,682,-2169.68,-1639.01,-0.18,-0.075,6,12,AUDJPY:91;EURJPY:169;EURUSD:225;GBPJPY:151;GBPUSD:239;USDJPY:516,2025-01:156;2025-02:150;2025-03:198;2025-04:208;2025-05:146;2025-06:100;2025-07:79;2025-08:55;2025-09:59;2025-10:97;2025-11:77;2025-12:66,LONG:709;SHORT:682
I_combined_new_triggers_h4_ma_room_to_2r,831,29.24,0.881,-0.127,-1322.41,1962.97,18.46,1.374,1.399,69.68,49.46,27.8,396,435,-813.57,-508.84,-0.2,-0.06,6,12,AUDJPY:56;EURJPY:93;EURUSD:141;GBPJPY:86;GBPUSD:130;USDJPY:325,2025-01:99;2025-02:86;2025-03:117;2025-04:133;2025-05:95;2025-06:57;2025-07:44;2025-08:30;2025-09:30;2025-10:65;2025-11:37;2025-12:38,LONG:396;SHORT:435
