trade_band_group,rank,combination_id,enabled_conditions,condition_count,trades,trade_band,win_rate,PF,avg_R,net,maxDD,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,LONG PF,SHORT PF,symbols_count,symbol_distribution,max_symbol_share_pct,months_count,month_distribution,max_month_share_pct,sessions_count,session_distribution,cond_h4_ma_bias,cond_h4_fib_382_618,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_close_bos,cond_room_to_2r,cond_round_or_major_obstacle_clear
50-100_small,1,165,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r,5,89,50-100_small,25.84,0.68,-0.123,-412.0,503.02,1.38,1.368,69.66,52.81,30.34,51,38,-242.21,-169.79,-0.34,0.167,0.558,0.771,6,AUDJPY:9;EURJPY:7;EURUSD:18;GBPJPY:4;GBPUSD:9;USDJPY:42,47.19,12,2025-01:16;2025-02:5;2025-03:5;2025-04:19;2025-05:12;2025-06:6;2025-07:5;2025-08:3;2025-09:4;2025-10:1;2025-11:5;2025-12:8,21.35,3,server_00_07:20;server_08_15:35;server_16_23:34,true,true,true,true,false,false,true,false
50-100_small,2,220,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,6,89,50-100_small,25.84,0.68,-0.123,-412.0,503.02,1.38,1.368,69.66,52.81,30.34,51,38,-242.21,-169.79,-0.34,0.167,0.558,0.771,6,AUDJPY:9;EURJPY:7;EURUSD:18;GBPJPY:4;GBPUSD:9;USDJPY:42,47.19,12,2025-01:16;2025-02:5;2025-03:5;2025-04:19;2025-05:12;2025-06:6;2025-07:5;2025-08:3;2025-09:4;2025-10:1;2025-11:5;2025-12:8,21.35,3,server_00_07:20;server_08_15:35;server_16_23:34,true,true,true,true,true,false,true,false
50-100_small,3,96,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_room_to_2r,4,91,50-100_small,25.27,0.672,-0.143,-428.1,519.12,1.358,1.379,69.23,51.65,29.67,53,38,-258.31,-169.79,-0.365,0.167,0.542,0.771,6,AUDJPY:9;EURJPY:7;EURUSD:18;GBPJPY:4;GBPUSD:9;USDJPY:44,48.35,12,2025-01:16;2025-02:5;2025-03:5;2025-04:19;2025-05:12;2025-06:8;2025-07:5;2025-08:3;2025-09:4;2025-10:1;2025-11:5;2025-12:8,20.88,3,server_00_07:20;server_08_15:37;server_16_23:34,true,true,true,false,false,false,true,false
50-100_small,4,168,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r,5,91,50-100_small,25.27,0.672,-0.143,-428.1,519.12,1.358,1.379,69.23,51.65,29.67,53,38,-258.31,-169.79,-0.365,0.167,0.542,0.771,6,AUDJPY:9;EURJPY:7;EURUSD:18;GBPJPY:4;GBPUSD:9;USDJPY:44,48.35,12,2025-01:16;2025-02:5;2025-03:5;2025-04:19;2025-05:12;2025-06:8;2025-07:5;2025-08:3;2025-09:4;2025-10:1;2025-11:5;2025-12:8,20.88,3,server_00_07:20;server_08_15:37;server_16_23:34,true,true,true,false,true,false,true,false
50-100_small,5,131,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_round_or_major_obstacle_clear,4,90,50-100_small,28.89,0.666,-0.195,-435.98,547.12,1.462,1.458,72.22,51.11,32.22,48,42,-192.33,-243.65,-0.127,-0.273,0.683,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:41,45.56,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:9;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.67,3,server_00_07:21;server_08_15:32;server_16_23:37,false,true,true,true,false,false,false,true
50-100_small,6,200,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_round_or_major_obstacle_clear,5,90,50-100_small,28.89,0.666,-0.195,-435.98,547.12,1.462,1.458,72.22,51.11,32.22,48,42,-192.33,-243.65,-0.127,-0.273,0.683,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:41,45.56,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:9;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.67,3,server_00_07:21;server_08_15:32;server_16_23:37,false,true,true,true,true,false,false,true
50-100_small,7,203,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r;cond_round_or_major_obstacle_clear,5,90,50-100_small,28.89,0.666,-0.195,-435.98,547.12,1.462,1.458,72.22,51.11,32.22,48,42,-192.33,-243.65,-0.127,-0.273,0.683,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:41,45.56,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:9;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.67,3,server_00_07:21;server_08_15:32;server_16_23:37,false,true,true,true,false,false,true,true
50-100_small,8,242,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,6,90,50-100_small,28.89,0.666,-0.195,-435.98,547.12,1.462,1.458,72.22,51.11,32.22,48,42,-192.33,-243.65,-0.127,-0.273,0.683,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:41,45.56,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:9;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.67,3,server_00_07:21;server_08_15:32;server_16_23:37,false,true,true,true,true,false,true,true
50-100_small,9,28,cond_h1_counter_wave_atr;cond_m15_close_bos,2,53,50-100_small,24.53,0.659,0.095,-224.12,278.75,1.081,0.99,62.26,37.74,18.87,29,24,-277.63,53.51,0.259,-0.103,0.37,1.247,6,AUDJPY:2;EURJPY:7;EURUSD:13;GBPJPY:4;GBPUSD:8;USDJPY:19,35.85,12,2025-01:4;2025-02:4;2025-03:5;2025-04:4;2025-05:5;2025-06:3;2025-07:3;2025-08:4;2025-09:7;2025-10:5;2025-11:8;2025-12:1,15.09,3,server_00_07:12;server_08_15:17;server_16_23:24,false,false,false,true,false,true,false,false
50-100_small,10,83,cond_h1_counter_wave_atr;cond_true_bos_level;cond_m15_close_bos,3,53,50-100_small,24.53,0.659,0.095,-224.12,278.75,1.081,0.99,62.26,37.74,18.87,29,24,-277.63,53.51,0.259,-0.103,0.37,1.247,6,AUDJPY:2;EURJPY:7;EURUSD:13;GBPJPY:4;GBPUSD:8;USDJPY:19,35.85,12,2025-01:4;2025-02:4;2025-03:5;2025-04:4;2025-05:5;2025-06:3;2025-07:3;2025-08:4;2025-09:7;2025-10:5;2025-11:8;2025-12:1,15.09,3,server_00_07:12;server_08_15:17;server_16_23:24,false,false,false,true,true,true,false,false
50-100_small,11,62,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_round_or_major_obstacle_clear,3,92,50-100_small,28.26,0.658,-0.213,-452.08,563.22,1.439,1.467,71.74,50.0,31.52,50,42,-208.43,-243.65,-0.162,-0.273,0.665,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:43,46.74,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:11;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.3,3,server_00_07:21;server_08_15:34;server_16_23:37,false,true,true,false,false,false,false,true
