period,scenario,fx_vs_xauusd,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,FX,1,0,1,0.0,-47.83,0.0,-47.83,-1.003,47.83,0.48,1
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,97.58,,97.58,2.009,0.0,0.0,0
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,FX,3,1,2,33.33,-6.8,0.934,-2.27,0.007,102.66,1.03,2
2025-02,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,137.02,3.788,45.67,1.003,49.14,0.49,1
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,10,2,8,20.0,-208.97,0.48,-20.9,-0.405,247.01,2.47,5
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,138.17,4.075,46.06,1.002,44.93,0.45,1
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,FX,4,0,4,0.0,-198.29,0.0,-49.57,-1.012,198.29,1.98,4
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,88.58,,88.58,2.0,0.0,0.0,0
2025-02,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,FX,6,1,5,16.67,-146.94,0.4,-24.49,-0.507,146.94,1.47,3
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,1,0,1,0.0,-52.72,0.0,-52.72,-1.006,52.72,0.53,1
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,80.9,,80.9,2.009,0.0,0.0,0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0
2025-10,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,XAUUSD,3,1,2,33.33,4.76,1.05,1.59,-0.0,94.84,0.94,2
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,2,2,0,100.0,199.43,,99.72,2.013,0.0,0.0,0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,114.18,3.311,38.06,1.0,49.4,0.49,1
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,FX,4,1,3,25.0,-56.37,0.624,-14.09,-0.254,149.83,1.5,3
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,XAUUSD,2,0,2,0.0,-83.47,0.0,-41.73,-1.006,83.47,0.83,2
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,FX,5,2,3,40.0,45.85,1.305,9.17,0.197,150.24,1.49,3
2026-Q1,Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,XAUUSD,5,1,4,20.0,-98.03,0.369,-19.61,-0.419,120.39,1.2,3
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,19,3,16,15.79,-473.44,0.384,-24.92,-0.53,529.96,5.27,7
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,8,1,7,12.5,-242.98,0.191,-30.37,-0.645,265.34,2.65,6
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,FX,12,3,9,25.0,-146.09,0.667,-12.17,-0.253,244.51,2.45,4
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,5,0,5,0.0,-201.76,0.0,-40.35,-1.029,201.76,2.02,5
2026-Q1,Nested_NWave_StructuralBOS_BOTH_all_H4_H1_M15_2R,FX,7,1,6,14.29,-196.0,0.34,-28.0,-0.575,196.0,1.96,3
2026-Q1,Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,FX,4,0,4,0.0,-198.08,0.0,-49.52,-1.004,198.08,1.98,4
