period,month,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,session,label,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,structural_bos_state,m15_confirmation_type,h1_bos_level,true_bos_level,bos_level_source_pivot,distance_bos_to_entry_atr,bars_since_bos,sl_atr,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,h1_counter_wave_atr,h4_correction_depth,room_to_1r,room_to_2r,room_to_target_label,breakout_quality_label,context_quality_label,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:05:00,2025.02.04 09:37:57,EURJPY,FX,SHORT,-50.05,-1.01,server_08_15,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.83,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.399,1.068,False,False,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,2025.02.04 23:02:30,EURUSD,FX,SHORT,-49.3,-1.0,server_16_23,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.37,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.388,0.9,False,False,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:35:00,2025.02.07 03:40:03,XAUUSD,XAUUSD,LONG,85.52,2.0,server_16_23,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.91,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,2.801,0.216,True,True,True,True
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.02.11 18:05:00,2025.02.12 02:52:31,XAUUSD,XAUUSD,LONG,-44.93,-1.002,server_16_23,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,2.03,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.28,1.094,False,False,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.02.13 20:20:00,2025.02.13 20:40:58,GBPJPY,FX,LONG,-50.82,-1.035,server_16_23,clean_nested_nwave_entry,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_nested_nwave_entry,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,0.78,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.581,2.934,True,False,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2025.02.14 11:50:00,2025.02.14 18:20:48,GBPJPY,FX,LONG,-49.37,-1.0,server_08_15,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.92,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,1.024,1.053,True,True,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2025.02.21 06:05:00,2025.02.21 09:31:12,EURJPY,FX,SHORT,-47.47,-1.004,server_00_07,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.33,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.498,1.144,False,False,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2025.02.21 10:35:00,2025.02.21 16:47:32,EURJPY,FX,SHORT,97.32,2.003,server_08_15,neckline_break_initial,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,2.2,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,3.063,0.055,True,True,True,True
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2025.02.24 01:05:00,2025.02.24 02:53:53,XAUUSD,XAUUSD,SHORT,97.58,2.009,server_00_07,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.16,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,4.729,0.28,True,True,True,True
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2025.02.24 18:20:00,2025.02.25 01:10:06,USDJPY,FX,SHORT,-51.38,-1.0,server_16_23,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,2.11,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.444,1.066,False,False,False,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2025.02.24 18:35:00,2025.02.25 10:00:12,AUDJPY,FX,SHORT,95.53,2.0,server_16_23,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.8,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,2.201,0.437,True,True,True,True
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2025.02.25 13:05:00,2025.02.25 17:00:11,GBPJPY,FX,LONG,-48.76,-1.0,server_08_15,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.33,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,1.799,2.207,True,True,True,False
2025-02,2025-02,A,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2025.02.26 19:50:00,2025.02.27 02:58:37,EURUSD,FX,LONG,-54.67,-1.006,server_16_23,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.55,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.31,1.264,False,False,False,False
2025-02,2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:50:00,2025.02.04 09:37:57,EURJPY,FX,SHORT,-50.34,-1.009,server_08_15,retest_confirmation_entry,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.86,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.279,1.062,False,False,False,False
2025-02,2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,2025.02.04 23:02:30,EURUSD,FX,SHORT,-49.3,-1.0,server_16_23,retest_confirmation_entry,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.37,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.388,0.9,False,False,False,False
2025-02,2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:50:00,2025.02.07 03:23:02,XAUUSD,XAUUSD,LONG,88.58,2.0,server_16_23,retest_confirmation_entry,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.93,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,2.701,0.172,True,True,True,True
2025-02,2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,4,2025.02.13 20:20:00,2025.02.13 20:40:58,GBPJPY,FX,LONG,-50.82,-1.035,server_16_23,retest_then_go_after_return_inside,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,retest_confirmed,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,0.78,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.581,2.934,True,False,False,False
2025-02,2025-02,B,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,5,2025.02.21 06:20:00,2025.02.21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,server_00_07,retest_confirmation_entry,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,retest_confirmed,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.61,,,0.0,0.0,0.0,0.0,0.0,,unclassified,not_evaluated,USDJPY,0.249,1.12,False,False,False,False
2025-02,2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,1,2025.02.21 06:20:00,2025.02.21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,server_00_07,strong_breakout,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,router_strong_instant,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.61,,,0.0,0.0,0.0,0.0,0.0,,strong_breakout,clean_context,USDJPY,0.249,1.12,False,False,False,False
2025-02,2025-02,C,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,2,2025.02.24 01:05:00,2025.02.24 02:53:53,XAUUSD,XAUUSD,SHORT,97.58,2.009,server_00_07,strong_breakout,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,router_strong_instant,not_evaluated,not_evaluated,0.0,0.0,,0.0,0,1.16,,,0.0,0.0,0.0,0.0,0.0,,strong_breakout,clean_context,USDJPY,4.729,0.28,True,True,True,True
