period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,2024,355,136,219,38.31,-914.04,9350.99,-10265.03,0.911,-2.57,68.76,-46.87
2024,ThirdWave_regime_BOTH,2024,159,71,88,44.65,832.41,5372.1,-4539.69,1.183,5.24,75.66,-51.59
2024,ThirdWave_regime_LONG_ONLY,2024,100,46,54,46.0,595.83,3387.82,-2791.99,1.213,5.96,73.65,-51.7
2024,ThirdWave_regime_SHORT_ONLY,2024,65,28,37,43.08,257.93,2058.81,-1800.88,1.143,3.97,73.53,-48.67
2025,ThirdWave_original_BOTH,2025,451,179,272,39.69,-464.41,12000.6,-12465.01,0.963,-1.03,67.04,-45.83
2025,ThirdWave_regime_BOTH,2025,247,95,152,38.46,-567.02,6504.54,-7071.56,0.92,-2.3,68.47,-46.52
2025,ThirdWave_regime_LONG_ONLY,2025,156,59,97,37.82,-660.2,3853.08,-4513.28,0.854,-4.23,65.31,-46.53
2025,ThirdWave_regime_SHORT_ONLY,2025,104,40,64,38.46,-75.55,2947.6,-3023.15,0.975,-0.73,73.69,-47.24
2026YTD,ThirdWave_original_BOTH,2026YTD,189,82,107,43.39,856.11,5921.62,-5065.51,1.169,4.53,72.21,-47.34
2026YTD,ThirdWave_regime_BOTH,2026YTD,88,41,47,46.59,809.15,3095.19,-2286.04,1.354,9.19,75.49,-48.64
2026YTD,ThirdWave_regime_LONG_ONLY,2026YTD,37,16,21,43.24,116.2,1130.66,-1014.46,1.115,3.14,70.67,-48.31
2026YTD,ThirdWave_regime_SHORT_ONLY,2026YTD,52,25,27,48.08,674.93,1962.56,-1287.63,1.524,12.98,78.5,-47.69
