period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2026YTD,ThirdWave_original_BOTH,1.50-2.00,25,11,14,44.0,99.23,802.29,-703.06,1.141,3.97,72.94,-50.22
2026YTD,ThirdWave_original_BOTH,2.00+,151,67,84,44.37,918.22,4839.51,-3921.29,1.234,6.08,72.23,-46.68
2026YTD,ThirdWave_regime_BOTH,0.75-1.00,1,0,1,0.0,-51.73,0.0,-51.73,0.0,-51.73,0.0,-51.73
2026YTD,ThirdWave_regime_BOTH,1.00-1.25,1,0,1,0.0,-48.78,0.0,-48.78,0.0,-48.78,0.0,-48.78
2026YTD,ThirdWave_regime_BOTH,1.25-1.50,4,2,2,50.0,24.68,137.96,-113.28,1.218,6.17,68.98,-56.64
2026YTD,ThirdWave_regime_BOTH,1.50-2.00,12,5,7,41.67,19.2,372.29,-353.09,1.054,1.6,74.46,-50.44
2026YTD,ThirdWave_regime_BOTH,2.00+,70,34,36,48.57,865.78,2584.94,-1719.16,1.504,12.37,76.03,-47.75
2026YTD,ThirdWave_regime_LONG_ONLY,0.75-1.00,1,0,1,0.0,-44.34,0.0,-44.34,0.0,-44.34,0.0,-44.34
2026YTD,ThirdWave_regime_LONG_ONLY,1.00-1.25,1,0,1,0.0,-48.78,0.0,-48.78,0.0,-48.78,0.0,-48.78
2026YTD,ThirdWave_regime_LONG_ONLY,1.25-1.50,2,1,1,50.0,23.58,70.2,-46.62,1.506,11.79,70.2,-46.62
2026YTD,ThirdWave_regime_LONG_ONLY,1.50-2.00,2,1,1,50.0,25.46,73.56,-48.1,1.529,12.73,73.56,-48.1
2026YTD,ThirdWave_regime_LONG_ONLY,2.00+,31,14,17,45.16,160.28,986.9,-826.62,1.194,5.17,70.49,-48.62
2026YTD,ThirdWave_regime_SHORT_ONLY,1.25-1.50,2,1,1,50.0,1.1,67.76,-66.66,1.017,0.55,67.76,-66.66
2026YTD,ThirdWave_regime_SHORT_ONLY,1.50-2.00,10,4,6,40.0,-3.42,296.76,-300.18,0.989,-0.34,74.19,-50.03
2026YTD,ThirdWave_regime_SHORT_ONLY,2.00+,40,20,20,50.0,677.25,1598.04,-920.79,1.736,16.93,79.9,-46.04
