variant,pullback_depth_band,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,xauusd_trade_share_pct,xauusd_net_profit
current,18-25,7,5,2,71.43,244.96,3.46,34.99,0.795,99.58,1.0,100.0,244.96
current,25-38.2,11,5,6,45.45,170.01,1.617,15.46,0.139,96.18,0.96,100.0,170.01
current,38.2-50,20,9,11,45.0,140.36,1.282,7.02,0.182,185.84,1.81,90.0,-10.4
current,50-61.8,21,10,11,47.62,240.25,1.457,11.44,0.225,232.66,2.25,76.19,111.73
current,61.8-75,22,12,10,54.55,457.43,1.981,20.79,0.363,117.03,1.15,68.18,429.03
current,75-90,28,12,16,42.86,35.95,1.047,1.28,0.035,316.64,3.09,85.71,102.3
v2_audit_filtered,18-25,4,3,1,75.0,166.28,4.374,41.57,0.886,49.28,0.49,100.0,166.28
v2_audit_filtered,25-38.2,4,3,1,75.0,145.67,3.52,36.42,0.887,57.8,0.57,100.0,145.67
v2_audit_filtered,38.2-50,15,8,7,53.33,249.81,1.79,16.65,0.408,98.94,0.98,86.67,98.1
v2_audit_filtered,50-61.8,15,7,8,46.67,191.17,1.526,12.74,0.215,168.89,1.63,80.0,91.12
v2_audit_filtered,61.8-75,20,11,9,55.0,447.33,2.102,22.37,0.375,104.55,1.03,80.0,389.89
v3_entry_timing,50-61.8,3,1,2,33.33,-23.85,0.756,-7.95,-0.176,97.62,0.97,66.67,-97.62
v3_entry_timing,61.8-75,1,1,0,100.0,70.2,,70.2,1.526,0.0,0.0,100.0,70.2
