run,year,scenario,reason,rows
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,no_trend_up,353262
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,pullback_too_deep,13412
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,pullback_not_valid,4310
2024D,2024,LONG_ONLY_DowFractal_5m_new_bar,no_reclaim,95022
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,no_trend_up,50698
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,pullback_too_deep,1637
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,pullback_not_valid,540
2024E,2024,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,no_reclaim,13233
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,no_trend_up,145873
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,pullback_too_deep,5019
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,pullback_not_valid,1985
2026D,2026YTD,LONG_ONLY_DowFractal_5m_new_bar,no_reclaim,39891
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,no_trend_up,21015
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,pullback_too_deep,482
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,pullback_not_valid,227
2026E,2026YTD,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,no_reclaim,5609
