group,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
AUDJPY,3,3,100.0,,1.607,226.44,0.0,0.0,1.89,0.524,100.0,66.67,226.44,0,137.26,89.18,1,2,2025-10:1;2026-Q1:2,AUDJPY:3,LONG:2;SHORT:1
EURJPY,4,4,75.0,5.935,1.251,239.74,48.58,0.48,1.862,0.663,75.0,75.0,239.74,0,143.51,96.23,1,3,2025-02:1;2025-10:1;2026-Q1:2,EURJPY:4,LONG:3;SHORT:1
EURUSD,5,5,60.0,2.996,0.803,197.86,52.97,0.52,1.771,0.742,80.0,60.0,197.86,0,-52.97,250.83,1,2,2025-02:1;2026-Q1:4,EURUSD:5,LONG:1;SHORT:4
GBPJPY,1,1,0.0,0.0,-1.0,-48.27,48.27,0.48,0.963,0.925,0.0,0.0,-48.27,0,0,-48.27,1,1,2026-Q1:1,GBPJPY:1,SHORT:1
GBPUSD,6,6,0.0,0.0,-1.009,-297.76,297.76,2.98,0.562,1.349,16.67,0.0,-297.76,0,-197.32,-100.44,1,3,2025-08:2;2025-10:1;2026-Q1:3,GBPUSD:6,LONG:4;SHORT:2
USDJPY,17,17,11.76,0.279,-0.609,-514.92,566.42,5.64,0.763,1.318,29.41,11.76,-514.92,0,-402.77,-112.15,1,3,2025-02:2;2025-08:6;2026-Q1:9,USDJPY:17,LONG:8;SHORT:9
XAUUSD,11,11,63.64,3.288,0.91,436.47,95.41,0.91,1.805,0.969,72.73,63.64,0,436.47,15.88,420.59,1,4,2025-02:1;2025-08:4;2025-10:2;2026-Q1:4,XAUUSD:11,LONG:2;SHORT:9
