period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,1.00-1.25,4,1,3,25.0,-78.96,74.12,-153.08,0.484,-19.74,74.12,-51.03
2024,all,10,1.25-1.50,4,0,4,0.0,-202.73,0.0,-202.73,0.0,-50.68,0.0,-50.68
2024,all,10,1.50-2.00,15,7,8,46.67,111.97,534.56,-422.59,1.265,7.46,76.37,-52.82
2024,all,10,2.00+,109,51,58,46.79,735.54,3704.78,-2969.24,1.248,6.75,72.64,-51.19
2024,all,15,1.00-1.25,3,0,3,0.0,-142.39,0.0,-142.39,0.0,-47.46,0.0,-47.46
2024,all,15,1.25-1.50,1,1,0,100.0,73.25,73.25,0.0,,73.25,73.25,0.0
2024,all,15,1.50-2.00,8,0,8,0.0,-399.86,0.0,-399.86,0.0,-49.98,0.0,-49.98
2024,all,15,2.00+,87,39,48,44.83,225.65,2619.05,-2393.4,1.094,2.59,67.16,-49.86
2024,all,5,0.75-1.00,1,0,1,0.0,-53.1,0.0,-53.1,0.0,-53.1,0.0,-53.1
2024,all,5,1.00-1.25,4,2,2,50.0,58.34,154.52,-96.18,1.607,14.59,77.26,-48.09
2024,all,5,1.25-1.50,5,2,3,40.0,-33.21,151.15,-184.36,0.82,-6.64,75.58,-61.45
2024,all,5,1.50-2.00,23,9,14,39.13,-59.25,684.24,-743.49,0.92,-2.58,76.03,-53.11
2024,all,5,2.00+,145,65,80,44.83,801.47,4869.03,-4067.56,1.197,5.53,74.91,-50.84
2024,best,10,1.00-1.25,4,1,3,25.0,-78.96,74.12,-153.08,0.484,-19.74,74.12,-51.03
2024,best,10,1.25-1.50,4,0,4,0.0,-202.73,0.0,-202.73,0.0,-50.68,0.0,-50.68
2024,best,10,1.50-2.00,14,7,7,50.0,165.26,534.56,-369.3,1.447,11.8,76.37,-52.76
2024,best,10,2.00+,100,47,53,47.0,701.11,3409.36,-2708.25,1.259,7.01,72.54,-51.1
2024,best,15,1.00-1.25,2,0,2,0.0,-93.84,0.0,-93.84,0.0,-46.92,0.0,-46.92
2024,best,15,1.50-2.00,8,0,8,0.0,-399.86,0.0,-399.86,0.0,-49.98,0.0,-49.98
2024,best,15,2.00+,82,37,45,45.12,228.66,2475.0,-2246.34,1.102,2.79,66.89,-49.92
2024,best,5,0.75-1.00,1,0,1,0.0,-55.04,0.0,-55.04,0.0,-55.04,0.0,-55.04
2024,best,5,1.00-1.25,3,2,1,66.67,108.37,157.2,-48.83,3.219,36.12,78.6,-48.83
2024,best,5,1.25-1.50,3,1,2,33.33,-26.01,75.72,-101.73,0.744,-8.67,75.72,-50.86
2024,best,5,1.50-2.00,23,9,14,39.13,-67.37,681.23,-748.6,0.91,-2.93,75.69,-53.47
2024,best,5,2.00+,129,59,70,45.74,872.46,4457.95,-3585.49,1.243,6.76,75.56,-51.22
2025,all,10,0.75-1.00,2,1,1,50.0,22.12,73.36,-51.24,1.432,11.06,73.36,-51.24
2025,all,10,1.00-1.25,2,0,2,0.0,-96.61,0.0,-96.61,0.0,-48.3,0.0,-48.3
2025,all,10,1.25-1.50,1,0,1,0.0,-48.84,0.0,-48.84,0.0,-48.84,0.0,-48.84
2025,all,10,1.50-2.00,17,3,14,17.65,-449.14,210.41,-659.55,0.319,-26.42,70.14,-47.11
2025,all,10,2.00+,180,70,110,38.89,-190.16,4833.15,-5023.31,0.962,-1.06,69.05,-45.67
2025,all,15,0.75-1.00,2,1,1,50.0,24.25,75.27,-51.02,1.475,12.12,75.27,-51.02
2025,all,15,1.00-1.25,3,1,2,33.33,-23.29,74.61,-97.9,0.762,-7.76,74.61,-48.95
2025,all,15,1.25-1.50,4,3,1,75.0,177.21,226.22,-49.01,4.616,44.3,75.41,-49.01
2025,all,15,1.50-2.00,10,2,8,20.0,-271.88,140.65,-412.53,0.341,-27.19,70.33,-51.57
2025,all,15,2.00+,128,53,75,41.41,-25.2,3587.59,-3612.79,0.993,-0.2,67.69,-48.17
2025,all,5,0.75-1.00,2,1,1,50.0,24.98,76.22,-51.24,1.488,12.49,76.22,-51.24
2025,all,5,1.00-1.25,2,0,2,0.0,-97.4,0.0,-97.4,0.0,-48.7,0.0,-48.7
2025,all,5,1.25-1.50,6,4,2,66.67,194.55,290.11,-95.56,3.036,32.43,72.53,-47.78
2025,all,5,1.50-2.00,24,4,20,16.67,-693.97,286.01,-979.98,0.292,-28.92,71.5,-49.0
2025,all,5,2.00+,235,97,138,41.28,139.86,6650.51,-6510.65,1.021,0.6,68.56,-47.18
2025,best,10,0.75-1.00,2,1,1,50.0,23.07,74.31,-51.24,1.45,11.54,74.31,-51.24
2025,best,10,1.00-1.25,2,0,2,0.0,-95.01,0.0,-95.01,0.0,-47.5,0.0,-47.5
2025,best,10,1.25-1.50,1,0,1,0.0,-50.32,0.0,-50.32,0.0,-50.32,0.0,-50.32
2025,best,10,1.50-2.00,16,3,13,18.75,-391.3,210.41,-601.71,0.35,-24.46,70.14,-46.29
2025,best,10,2.00+,172,67,105,38.95,-194.86,4609.04,-4803.9,0.959,-1.13,68.79,-45.75
2025,best,15,0.75-1.00,2,1,1,50.0,24.25,75.27,-51.02,1.475,12.12,75.27,-51.02
2025,best,15,1.00-1.25,3,1,2,33.33,-23.29,74.61,-97.9,0.762,-7.76,74.61,-48.95
2025,best,15,1.25-1.50,4,3,1,75.0,166.03,215.04,-49.01,4.388,41.51,71.68,-49.01
2025,best,15,1.50-2.00,10,2,8,20.0,-265.41,140.65,-406.06,0.346,-26.54,70.33,-50.76
2025,best,15,2.00+,123,50,73,40.65,-121.82,3375.71,-3497.53,0.965,-0.99,67.51,-47.91
2025,best,5,0.75-1.00,2,1,1,50.0,24.98,76.22,-51.24,1.488,12.49,76.22,-51.24
2025,best,5,1.00-1.25,2,0,2,0.0,-97.4,0.0,-97.4,0.0,-48.7,0.0,-48.7
2025,best,5,1.25-1.50,6,4,2,66.67,187.65,281.73,-94.08,2.995,31.27,70.43,-47.04
2025,best,5,1.50-2.00,24,4,20,16.67,-692.33,272.49,-964.82,0.282,-28.85,68.12,-48.24
2025,best,5,2.00+,213,86,127,40.38,10.08,5874.1,-5864.02,1.002,0.05,68.3,-46.17
2026YTD,all,10,1.00-1.25,1,0,1,0.0,-46.08,0.0,-46.08,0.0,-46.08,0.0,-46.08
2026YTD,all,10,1.25-1.50,5,2,3,40.0,-7.57,143.22,-150.79,0.95,-1.51,71.61,-50.26
2026YTD,all,10,1.50-2.00,7,2,5,28.57,-114.95,127.41,-242.36,0.526,-16.42,63.7,-48.47
2026YTD,all,10,2.00+,48,25,23,52.08,773.54,1851.09,-1077.55,1.718,16.12,74.04,-46.85
