run,scenario,prefix,elapsed_seconds
A,ThirdWave_regime_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_v4sig_2502_A_cur,72.9
B,ThirdWave_v4_all_signals_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_v4sig_2502_B_v4all,62.9
C,ThirdWave_v4_micro_break_only_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_v4sig_2502_C_micro,62.7
D,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_v4sig_2502_D_candle,62.8
E,ThirdWave_v4_micro_or_candle_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_v4sig_2502_E_microcandle,62.8
F,ThirdWave_v4_without_weak_signals_BOTH_all_5m,ExpectedValue_MultiCurrency_ScoreScanner_v4sig_2502_F_noweak,62.9
