variant,reversal_signal_type,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,xauusd_trade_share_pct,xauusd_net_profit
current,unclear,109,53,56,48.62,1288.96,1.491,11.83,0.224,278.5,2.49,83.49,1047.63
v2_audit_filtered,unclear,58,32,26,55.17,1200.26,2.006,20.69,0.413,197.67,1.8,84.48,891.06
v3_entry_timing,unclear,4,2,2,50.0,46.35,1.475,11.59,0.25,97.62,0.97,75.0,-27.42
v4_early_reversal,candle_reversal,80,36,44,45.0,905.1,1.422,11.31,0.137,413.87,3.68,77.5,930.16
v4_early_reversal,confirmed_fractal_reclaim,3,1,2,33.33,-16.37,0.808,-5.46,-0.163,85.07,0.84,100.0,-16.37
v4_early_reversal,early_higher_low,49,19,30,38.78,-44.57,0.968,-0.91,-0.024,509.94,4.87,83.67,-170.3
v4_early_reversal,early_lower_high,41,18,23,43.9,231.44,1.194,5.64,0.107,203.55,1.97,58.54,344.48
v4_early_reversal,micro_break,20,13,7,65.0,569.45,2.589,28.47,0.625,103.65,1.03,65.0,411.92
v4_early_reversal,momentum_turn,1,0,1,0.0,-44.68,0.0,-44.68,-1.002,44.68,0.45,100.0,-44.68
