period,scenario,breakout_quality_label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,strong_breakout,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,-47.83,97.58,0,49.75,1.541,0.602,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,strong_breakout,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,-47.83,97.58,0,49.75,1.541,0.602,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_recorded,13,4,9,30.77,-71.42,0.84,-5.49,-0.08,207.03,2.07,-208.98,137.56,-163.64,92.22,1.146,0.903,53.85,46.15,30.77,61.54
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_recorded,12,3,9,25.0,-166.94,0.626,-13.91,-0.254,207.03,2.07,-304.5,137.56,-163.64,-3.3,1.058,0.942,50.0,41.67,25.0,66.67
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,not_recorded,5,1,4,20.0,-110.25,0.444,-22.05,-0.409,110.25,1.1,-198.29,88.04,37.22,-147.47,0.616,0.963,40.0,20.0,20.0,40.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,not_recorded,5,1,4,20.0,-110.25,0.444,-22.05,-0.409,110.25,1.1,-198.29,88.04,37.22,-147.47,0.616,0.963,40.0,20.0,20.0,40.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_recorded,2,1,1,50.0,27.14,1.514,13.57,0.501,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_recorded,2,1,1,50.0,27.14,1.514,13.57,0.501,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,not_recorded,1,1,0,100.0,79.88,,79.88,2.009,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,not_recorded,1,1,0,100.0,79.88,,79.88,2.009,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,strong_breakout,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0,93.96,93.96,0,2.057,0.941,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,strong_breakout,1,1,0,100.0,93.96,,93.96,2.0,0.0,0.0,0,93.96,93.96,0,2.057,0.941,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_recorded,5,4,1,80.0,313.57,7.348,62.71,1.405,49.4,0.49,199.43,114.14,163.54,150.03,2.092,0.858,100.0,100.0,80.0,40.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_recorded,4,3,1,75.0,212.7,5.306,53.17,1.25,49.4,0.49,98.56,114.14,163.54,49.16,2.056,0.918,100.0,100.0,75.0,50.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,not_recorded,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,not_recorded,1,1,0,100.0,99.6,,99.6,2.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,strong_breakout,5,1,4,20.0,-91.24,0.506,-18.25,-0.401,184.69,1.85,-7.72,-83.52,-38.36,-52.88,1.198,1.174,80.0,60.0,20.0,80.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,weak_breakout,1,0,1,0.0,-48.66,0.0,-48.66,-1.022,48.66,0.49,-48.66,0,-48.66,0,0.939,1.398,100.0,0.0,0.0,100.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,strong_breakout,5,1,4,20.0,-91.24,0.506,-18.25,-0.401,184.69,1.85,-7.72,-83.52,-38.36,-52.88,1.198,1.174,80.0,60.0,20.0,80.0
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,weak_breakout,1,0,1,0.0,-48.66,0.0,-48.66,-1.022,48.66,0.49,-48.66,0,-48.66,0,0.939,1.398,100.0,0.0,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,not_recorded,27,4,23,14.81,-716.68,0.33,-26.54,-0.564,773.2,7.69,-473.66,-243.02,-516.66,-200.02,1.088,1.209,66.67,51.85,18.52,59.26
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,not_recorded,25,3,22,12.0,-763.08,0.251,-30.52,-0.649,819.6,8.15,-520.06,-243.02,-515.34,-247.74,1.015,1.243,64.0,48.0,12.0,64.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,not_recorded,17,3,14,17.65,-347.97,0.457,-20.47,-0.481,347.97,3.48,-146.16,-201.81,-123.55,-224.42,1.067,1.168,76.47,52.94,17.65,58.82
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,not_recorded,15,2,13,13.33,-401.16,0.324,-26.74,-0.612,401.16,4.01,-199.35,-201.81,-123.55,-277.61,1.025,1.21,80.0,53.33,13.33,66.67
