period,run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2025,A,ThirdWave_BOTH,0.05-0.10,179,67,112,37.43,-618.14,4438.62,-5056.76,0.878,-3.45,66.25,-45.15
2025,A,ThirdWave_BOTH,0.10-0.15,98,34,64,34.69,-697.38,2412.98,-3110.36,0.776,-7.12,70.97,-48.6
2025,A,ThirdWave_BOTH,0.15-0.20,88,38,50,43.18,334.88,2785.29,-2450.41,1.137,3.81,73.3,-49.01
2025,A,ThirdWave_BOTH,<0.05,86,40,46,46.51,516.23,2363.71,-1847.48,1.279,6.0,59.09,-40.16
2025,B,ThirdWave_LONG_ONLY,0.05-0.10,109,44,65,40.37,-90.87,2740.52,-2831.39,0.968,-0.83,62.28,-43.56
2025,B,ThirdWave_LONG_ONLY,0.10-0.15,59,17,42,28.81,-867.12,1128.35,-1995.47,0.565,-14.7,66.37,-47.51
2025,B,ThirdWave_LONG_ONLY,0.15-0.20,50,17,33,34.0,-493.88,1121.46,-1615.34,0.694,-9.88,65.97,-48.95
2025,B,ThirdWave_LONG_ONLY,<0.05,53,23,30,43.4,87.31,1266.63,-1179.32,1.074,1.65,55.07,-39.31
2025,C,ThirdWave_SHORT_ONLY,0.05-0.10,80,26,54,32.5,-747.36,1763.82,-2511.18,0.702,-9.34,67.84,-46.5
2025,C,ThirdWave_SHORT_ONLY,0.10-0.15,43,17,26,39.53,-1.55,1242.83,-1244.38,0.999,-0.04,73.11,-47.86
2025,C,ThirdWave_SHORT_ONLY,0.15-0.20,49,22,27,44.9,398.58,1727.0,-1328.42,1.3,8.13,78.5,-49.2
2025,C,ThirdWave_SHORT_ONLY,<0.05,36,20,16,55.56,597.03,1294.34,-697.31,1.856,16.58,64.72,-43.58
