sl_atr_band,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct
0.75-1.00,2,1,1,50.0,24.49,1.473,12.25,0.274,51.73,0.51
1.00-1.25,1,0,1,0.0,-48.78,0.0,-48.78,-1.005,48.78,0.49
1.25-1.50,4,2,2,50.0,31.99,1.282,8.0,0.254,66.66,0.66
1.50-2.00,9,6,3,66.67,308.58,3.274,34.29,0.682,86.09,0.84
2.00+,93,44,49,47.31,972.68,1.427,10.46,0.191,277.88,2.58
