period,variant,v2_filter_evaluations,v2_filter_pass,v2_filter_fail,v2_filter_deep_pullback,v2_filter_trend_too_old,v2_filter_reclaim_chase_too_far,top_v2_filter_fail_reason,top_v2_filter_fail_reason_rows,v3_filter_evaluations,v3_filter_pass,v3_filter_fail,v3_filter_invalid_position,v3_filter_late_entry,v3_filter_chasing_entry,v3_filter_reclaim_chase,v3_filter_pullback_chase,v3_filter_momentum_exhausted,top_v3_filter_fail_reason,top_v3_filter_fail_reason_rows
2025-02,current,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0
2025-02,v2_audit_filtered,199,84,115,56,54,5,v2_pullback_too_deep_audit,56,0,0,0,0,0,0,0,0,0,,0
2025-02,v3_entry_timing,0,0,0,0,0,0,,0,199,5,194,0,0,19,69,99,7,v3_pullback_entry_too_far,99
2025-08,current,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0
2025-08,v2_audit_filtered,148,81,67,34,26,7,v2_pullback_too_deep_audit,34,0,0,0,0,0,0,0,0,0,,0
2025-08,v3_entry_timing,0,0,0,0,0,0,,0,148,3,145,6,0,15,53,60,11,v3_pullback_entry_too_far,60
2025-10,current,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0
2025-10,v2_audit_filtered,215,122,93,40,46,7,v2_trend_too_old,46,0,0,0,0,0,0,0,0,0,,0
2025-10,v3_entry_timing,0,0,0,0,0,0,,0,215,5,210,3,0,36,76,83,12,v3_pullback_entry_too_far,83
2026-Q1,current,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0
2026-Q1,v2_audit_filtered,641,369,272,125,136,11,v2_trend_too_old,136,0,0,0,0,0,0,0,0,0,,0
2026-Q1,v3_entry_timing,0,0,0,0,0,0,,0,641,6,635,3,0,69,245,287,31,v3_pullback_entry_too_far,287
