period,run,scenario,direction,evaluations,higher_tf_trend_pass,higher_tf_trend_fail,mid_tf_pullback_pass,mid_tf_pullback_fail_after_higher,lower_tf_reversal_pass,lower_tf_reversal_fail_after_mid,structure_sl_pass,structure_sl_fail_after_lower,rr_pass,rr_fail_after_sl,spread_guard_pass,spread_guard_blocked,final_entry_pass,final_entry_rate_pct
2025,A,ThirdWave_BOTH,ALL,1031072,264302,766770,159050,105252,20599,138451,5741,14858,5741,0,199728,831344,1340,0.13
2025,A,ThirdWave_BOTH,LONG,515536,144075,371461,85451,58624,11703,73748,2716,8987,2716,0,99864,415672,748,0.1451
2025,A,ThirdWave_BOTH,SHORT,515536,120227,395309,73599,46628,8896,64703,3025,5871,3025,0,99864,415672,592,0.1148
2025,B,ThirdWave_LONG_ONLY,ALL,515536,144075,371461,85451,58624,11703,73748,2716,8987,2716,0,99864,415672,748,0.1451
2025,B,ThirdWave_LONG_ONLY,LONG,515536,144075,371461,85451,58624,11703,73748,2716,8987,2716,0,99864,415672,748,0.1451
2025,B,ThirdWave_LONG_ONLY,SHORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,C,ThirdWave_SHORT_ONLY,ALL,515536,120227,395309,73599,46628,8896,64703,3025,5871,3025,0,99864,415672,592,0.1148
2025,C,ThirdWave_SHORT_ONLY,LONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,C,ThirdWave_SHORT_ONLY,SHORT,515536,120227,395309,73599,46628,8896,64703,3025,5871,3025,0,99864,415672,592,0.1148
2024,A,ThirdWave_BOTH,ALL,1039906,257952,781954,156212,101740,20000,136212,5387,14613,5387,0,173448,866458,956,0.0919
2024,A,ThirdWave_BOTH,LONG,519953,145215,374738,88209,57006,12179,76030,2678,9501,2678,0,86724,433229,531,0.1021
2024,A,ThirdWave_BOTH,SHORT,519953,112737,407216,68003,44734,7821,60182,2709,5112,2709,0,86724,433229,425,0.0817
2024,B,ThirdWave_LONG_ONLY,ALL,519953,145215,374738,88209,57006,12179,76030,2678,9501,2678,0,86724,433229,531,0.1021
2024,B,ThirdWave_LONG_ONLY,LONG,519953,145215,374738,88209,57006,12179,76030,2678,9501,2678,0,86724,433229,531,0.1021
2024,B,ThirdWave_LONG_ONLY,SHORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024,C,ThirdWave_SHORT_ONLY,ALL,519953,112737,407216,68003,44734,7821,60182,2709,5112,2709,0,86724,433229,425,0.0817
2024,C,ThirdWave_SHORT_ONLY,LONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024,C,ThirdWave_SHORT_ONLY,SHORT,519953,112737,407216,68003,44734,7821,60182,2709,5112,2709,0,86724,433229,425,0.0817
2026YTD,A,ThirdWave_BOTH,ALL,429744,112515,317229,67485,45030,8635,58850,2208,6427,2208,0,73632,356112,536,0.1247
2026YTD,A,ThirdWave_BOTH,LONG,214872,60948,153924,36559,24389,4977,31582,1063,3914,1063,0,36816,178056,292,0.1359
2026YTD,A,ThirdWave_BOTH,SHORT,214872,51567,163305,30926,20641,3658,27268,1145,2513,1145,0,36816,178056,244,0.1136
2026YTD,B,ThirdWave_LONG_ONLY,ALL,214872,60948,153924,36559,24389,4977,31582,1063,3914,1063,0,36816,178056,292,0.1359
2026YTD,B,ThirdWave_LONG_ONLY,LONG,214872,60948,153924,36559,24389,4977,31582,1063,3914,1063,0,36816,178056,292,0.1359
2026YTD,B,ThirdWave_LONG_ONLY,SHORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026YTD,C,ThirdWave_SHORT_ONLY,ALL,214872,51567,163305,30926,20641,3658,27268,1145,2513,1145,0,36816,178056,244,0.1136
2026YTD,C,ThirdWave_SHORT_ONLY,LONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2026YTD,C,ThirdWave_SHORT_ONLY,SHORT,214872,51567,163305,30926,20641,3658,27268,1145,2513,1145,0,36816,178056,244,0.1136
