period,run,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,winning_type,failure_type,neckline_price,neckline_source_type,neckline_touch_count,neckline_age_bars,neckline_range_points,neckline_range_atr,right_shoulder_or_right_bottom_distance_points,right_shoulder_or_right_bottom_distance_atr,entry_close_distance_from_neckline_points,entry_close_distance_from_neckline_atr,breakout_body_points,breakout_body_atr,breakout_body_ratio,breakout_wick_ratio,breakout_close_strength,close_position_in_bar,breakout_volume_proxy,bars_since_pattern_completed,bars_since_neckline_defined,bars_since_counter_trend_nwave_completed,immediate_retest_within_4_bars,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,-1.01,neckline_break_late,,no_follow_through,160.016,double_top,16,7,115.0,0.685,115.0,0.685,163.0,0.97,66.0,0.393,0.564,0.436,0.368,0.368,386,7,7,7,0,0,,0.399,1.068,0,0,0,0,,,,90.0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,-1.0,neckline_break_late,,false_breakout,1.03726,double_top,14,3,141.0,1.137,141.0,1.137,11.0,0.089,3.0,0.024,0.038,0.962,0.165,0.165,318,3,3,3,1,1,3,0.112,0.9,0,0,0,0,,,,
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,2.0,neckline_break_late,clean_break_and_go,,2853.65,double_bottom,8,4,325.0,1.332,325.0,1.332,124.0,0.508,34.0,0.139,0.459,0.541,0.527,0.527,482,4,4,4,0,0,,2.503,0.216,1,1,1,1,165.0,220.0,305.0,
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,-1.002,neckline_break_initial,,false_breakout,2904.35,double_bottom,39,4,1353.0,1.938,1353.0,1.938,28.0,0.04,26.0,0.037,0.133,0.867,0.369,0.369,762,4,4,4,1,1,7,0.28,1.094,0,0,0,0,,,,525.0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,-1.035,clean_nested_nwave_entry,,false_breakout,191.902,double_bottom,21,7,227.0,0.89,227.0,0.89,67.0,0.263,119.0,0.467,0.529,0.471,0.324,0.324,621,7,7,7,1,1,0,0.581,2.934,1,0,0,0,5.0,,,20.0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,-1.0,neckline_break_late,,false_breakout,191.971,double_bottom,41,8,292.0,1.346,292.0,1.346,87.0,0.401,39.0,0.18,0.696,0.304,0.107,0.107,456,8,8,8,1,1,1,1.024,1.053,1,1,0,0,190.0,205.0,,390.0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,-1.004,neckline_break_late,,no_follow_through,157.876,double_top,9,3,206.0,0.958,206.0,0.958,49.0,0.228,39.0,0.181,0.574,0.426,0.735,0.735,291,3,3,3,0,0,,0.498,0.909,0,0,0,0,,,,
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,2.003,neckline_break_initial,retest_then_go,,157.761,double_top,23,3,392.0,2.361,392.0,2.361,58.0,0.349,255.0,1.536,0.951,0.049,0.049,0.049,781,3,3,3,1,0,,2.308,0.055,1,1,1,1,10.0,55.0,370.0,
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,2.009,neckline_break_late,fast_follow_through,,2937.76,double_top,1,13,507.0,1.701,507.0,1.701,178.0,0.597,431.0,1.446,0.671,0.329,0.146,0.146,581,13,13,13,0,1,0,2.833,0.28,1,1,1,1,25.0,70.0,105.0,
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,-1.0,neckline_break_late,,false_breakout,149.6,double_top,25,10,266.0,1.612,266.0,1.612,67.0,0.406,68.0,0.412,0.66,0.34,0.068,0.068,539,10,10,10,1,1,1,0.444,1.066,0,0,0,0,,,,410.0
