scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,LONG,28,28.57,0.806,-0.138,-192.2,647.85,6.2,1.181,1.072,60.71,50.0,28.57,28,0,-192.2,0,-0.138,0.0,6,11,AUDJPY:1;EURJPY:3;EURUSD:5;GBPJPY:2;GBPUSD:3;USDJPY:14,2025-01:1;2025-02:1;2025-03:5;2025-04:2;2025-06:2;2025-07:3;2025-08:5;2025-09:2;2025-10:3;2025-11:3;2025-12:1,LONG:28
A_current_broad_fx_only,SHORT,35,25.71,0.684,-0.231,-411.47,598.7,5.88,1.198,1.102,68.57,48.57,25.71,0,35,0,-411.47,0.0,-0.231,6,11,AUDJPY:1;EURJPY:6;EURUSD:3;GBPJPY:4;GBPUSD:8;USDJPY:13,2025-01:6;2025-02:3;2025-03:2;2025-04:8;2025-05:1;2025-06:2;2025-07:3;2025-08:3;2025-09:3;2025-11:3;2025-12:1,SHORT:35
B_broad_hard_gate_reduced,LONG,1994,28.89,0.79,-0.063,-5687.01,5699.21,56.99,1.293,1.362,66.35,48.5,28.03,1994,0,-5687.01,0,-0.063,0.0,6,12,AUDJPY:116;EURJPY:261;EURUSD:268;GBPJPY:271;GBPUSD:330;USDJPY:748,2025-01:213;2025-02:197;2025-03:239;2025-04:289;2025-05:210;2025-06:146;2025-07:124;2025-08:115;2025-09:107;2025-10:151;2025-11:111;2025-12:92,LONG:1994
B_broad_hard_gate_reduced,SHORT,2005,29.98,0.864,-0.129,-3540.61,5073.86,44.08,1.415,1.244,72.27,51.97,29.03,0,2005,0,-3540.61,0.0,-0.129,6,12,AUDJPY:104;EURJPY:257;EURUSD:308;GBPJPY:245;GBPUSD:343;USDJPY:748,2025-01:200;2025-02:180;2025-03:245;2025-04:321;2025-05:192;2025-06:165;2025-07:142;2025-08:115;2025-09:109;2025-10:142;2025-11:111;2025-12:83,SHORT:2005
C_sweep_reclaim_only,LONG,836,29.07,0.814,-0.117,-3488.56,4604.46,41.98,1.193,1.285,65.43,46.29,24.88,836,0,-3488.56,0,-0.117,0.0,6,12,AUDJPY:46;EURJPY:88;EURUSD:112;GBPJPY:99;GBPUSD:127;USDJPY:364,2025-01:87;2025-02:77;2025-03:129;2025-04:148;2025-05:98;2025-06:62;2025-07:52;2025-08:31;2025-09:34;2025-10:54;2025-11:35;2025-12:29,LONG:836
C_sweep_reclaim_only,SHORT,979,30.13,0.849,-0.027,-3184.26,3828.16,36.17,1.46,1.176,75.08,52.2,32.48,0,979,0,-3184.26,0.0,-0.027,6,12,AUDJPY:43;EURJPY:109;EURUSD:150;GBPJPY:108;GBPUSD:164;USDJPY:405,2025-01:88;2025-02:82;2025-03:130;2025-04:194;2025-05:91;2025-06:82;2025-07:68;2025-08:53;2025-09:39;2025-10:75;2025-11:43;2025-12:34,SHORT:979
D_bos_retest_only,LONG,806,29.28,0.78,-0.13,-3732.11,3831.01,38.17,1.262,1.276,64.39,46.4,29.03,806,0,-3732.11,0,-0.13,0.0,6,12,AUDJPY:47;EURJPY:98;EURUSD:103;GBPJPY:98;GBPUSD:132;USDJPY:328,2025-01:89;2025-02:91;2025-03:109;2025-04:119;2025-05:76;2025-06:60;2025-07:64;2025-08:42;2025-09:38;2025-10:52;2025-11:37;2025-12:29,LONG:806
D_bos_retest_only,SHORT,829,29.31,0.816,-0.154,-3123.89,3565.66,34.26,1.375,1.139,70.57,51.15,30.76,0,829,0,-3123.89,0.0,-0.154,6,12,AUDJPY:53;EURJPY:89;EURUSD:120;GBPJPY:102;GBPUSD:148;USDJPY:317,2025-01:95;2025-02:85;2025-03:92;2025-04:147;2025-05:81;2025-06:69;2025-07:51;2025-08:52;2025-09:40;2025-10:55;2025-11:32;2025-12:30,SHORT:829
E_first_pullback_after_reclaim_only,LONG,1443,30.91,0.851,-0.028,-3726.08,4444.0,41.91,1.254,1.296,64.24,47.61,28.62,1443,0,-3726.08,0,-0.028,0.0,6,12,AUDJPY:87;EURJPY:178;EURUSD:211;GBPJPY:186;GBPUSD:241;USDJPY:540,2025-01:167;2025-02:168;2025-03:180;2025-04:206;2025-05:138;2025-06:99;2025-07:90;2025-08:75;2025-09:69;2025-10:115;2025-11:89;2025-12:47,LONG:1443
E_first_pullback_after_reclaim_only,SHORT,1445,29.0,0.822,-0.1,-4462.39,5181.01,48.69,1.373,1.21,71.9,49.83,28.44,0,1445,0,-4462.39,0.0,-0.1,6,12,AUDJPY:83;EURJPY:168;EURUSD:222;GBPJPY:167;GBPUSD:273;USDJPY:532,2025-01:155;2025-02:154;2025-03:175;2025-04:227;2025-05:144;2025-06:124;2025-07:84;2025-08:75;2025-09:70;2025-10:111;2025-11:69;2025-12:57,SHORT:1445
