entry_distance_band,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct
0.75-1.00ATR,2,1,1,50.0,24.49,1.473,12.25,0.274,51.73,0.51
1.00-1.50ATR,7,4,3,57.14,146.71,1.905,20.96,0.448,66.66,0.66
1.50-2.00ATR,7,4,3,57.14,145.08,2.069,20.73,0.43,86.09,0.84
2.00-3.00ATR,38,17,21,44.74,178.47,1.18,4.7,0.108,301.41,2.9
3.00ATR+,55,27,28,49.09,794.21,1.618,14.44,0.247,357.26,3.45
